|autores|titulo|ano
1|Bernard Gendron&Abilio Lucena&Alexandre Salles da Cunha&Luidi Simonetti|bender decomposition branch cut hybrid algorithm minimum connect dominate set problem|2014.0
4|WANICK SARINHO, SILVIA&MENEZES JÚNIOR, JÚLIO VENÂNCIO&Cristine Martins Gomes de Gusmão&LYRA, NILZA R.S.|experience development mobile diagnosis support system asthma|2014.0
5|Nemésio Freitas Duarte Filho&Lucas Bortolini Fronza&Ellen Francine Barbosa|contribution architectural design mobile learn environment|2014.0
6|UEYAMA, JO&FREITAS, HEITOR&FAICAL, BRUNO S.&FILHO, GERALDO P.R.&FINI, PEDRO&PESSIN, GUSTAVO&GOMES, PEDRO H.&Leandro Aparecido Villas|exploit use vehicle provide resilience sensor network|2014.0
7|Luiz Olmes de Carvalho&Willian Dener de Oliveira&Ives Renê Venturini Pola&Agma Juci Machado Traina&Caetano Traina Junior|concept similarity join|2014.0
10|Gilberto Câmara&Max J. Egenhofer&Karine Reis Ferreira&Pedro Ribeiro Andrade&Gilberto Ribeiro Queiroz&Alber Sanchez&Jim Jones&Lubia Vinhas|field generic datum type big spatial datum|2014.0
11|Jeongyeon Seo&Jae-Kwan Kim&Joonghyun Ryu&Carlile Campos Lavor&Antonio Mucherino&Deok-Soo Kim|protein structure determination algorithm base beta complex|2014.0
12|Fabiano Belem&Eder Martins&Jussara Marques Almeida&Marcos André Gonçalves|personalize object center tag recommendation method web application|2014.0
13|SOUZA SANTANA-VIEIRA, DAYSE DRIELLY&PEREIRA MILORI, DÉBORA MARCONDES BASTOS&Paulino Ribeiro Villas Boas&SILVA, MARINA FRANÇA E&SANTOS, MAGNO GUIMARÃES&GAIOTTO, FERNANDA AMATO&SOARES FILHO, WALTER DOS SANTOS&SILVA GESTEIRA, ABELMON DA|rapid differentiation closely citrus fluorescence spectroscopy|2014.0
19|Antônio Vicente Lourenço Damaso&Nelson Rosa&Paulo Romero Martins Maciel|use net evaluate power consumption wireless sensor network|2014.0
20|Thiago Silva&Pedro Olmo Vaz de Melo&Jussara M Almeida&Antonio Alfredo F Loureiro|scale study city dynamic behavior use participatory sense|2014.0
21|Cinara Guelner Ghedini&Carlos Henrique Costa Ribeiro|improve resilience complex network face attack failure mechanism|2014.0
22|Márcio de Oliveira Barros|evaluation importance randomness hill climb search apply software engineer problem|2014.0
23|Gilda Aparecida de Assis&Ana Grasielle Dionísio Corrêa&MARTINS, MARIA BERNARDETE RODRIGUES&PEDROZO, WENDEL GOES&LOPES, ROSELI DE DEUS|augment reality system limb post stroke motor rehabilitation feasibility study|2014.0
24|Luciano Vargas Flores&Marcelo Soares Pimenta&Damián Keller|pattern musical interaction compute device|2014.0
27|Marlon Henrique Scalabrin&Rafael Stubs Parpinelli&Cesar Vargas Benitez&Heitor Silvério Lopes|population base harmony search use apply protein structure prediction|2014.0
29|Carlos Eduardo de Andrade&TOSO, RODRIGO FRANCO&RESENDE, MAURICIO G. C.&MIYAZAWA, FLÁVIO KEIDI|bias random key genetic algorithm winner determination problem auction|2014.0
30|AFSAR, H. MURAT&PRINS, CHRISTIAN&Andrea Cynthia Santos|algorithm solve generalize vehicle rout problem fleet size|2014.0
31|Michele Campagna&IVANOV, KONSTANTIN&MASSA, PIERANGELO|implement business process management|2014.0
32|GARCIA, FERNANDO&Rossana Maria de Castro Andrade&OLIVEIRA, CARINA&Jose Neuman de Souza|energy efficient passive monitor system wireless sensor network|2014.0
33|Fernanda Cristina Corrêa&Jony Javorski Eckert&Ludmila Corrêa de Alckmin e Silva&Fabio Mazzariol Santiciolli&Franco Giuseppe Dedini|application fuzzy logic power management hybrid vehicle|2014.0
36|Victor Borges Ferreira Gomes&Armstrong, Alasdair&Struth, Georg|algebra test demonic refinement algebra|2014.0
37|MACHADO, THAIS CRISTINA SAMPAIO&Pinheiro, Plácido Rogerio&Isabelle Tamanini|tool base classification methodology verbal decision analysis framework|2014.0
