|autores|titulo|ano
0|GARCIA, LUAN FONSECA&GRACIOLLI, VINICIUS&DE ROS, LUIZ FERNANDO&Mara Abel|conceptual framework rock datum integration reservoir model base ontology|2017
1|Araújo, Ricardo de A.&Adriano Lorena Inacio de Oliveira&Meira, Silvio|network classification problem|2017
2|ALVES PEREIRA, LUIS F.&JANSSENS, ELINE&George Darmiton da Cunha Cavalcanti&TSANG, ING REN&VAN DAEL, MATTIAS&VERBOVEN, PIETER&NICOLAI, BART&SIJBERS, JAN|tomography system application product inspection|2017
3|Túlio Ângelo Machado Toffolo&ESPRIT, ELINE&Tony Wauters&Greet Vanden Berghe|decomposition approach container load problem|2017
5|MAROTTA, MARCELO A.&KIST, MAICON&WICKBOLDT, JULIANO A.&GRANVILLE, LISANDRO Z.&Juergen Rochol&BOTH, CRISTIANO B.|design consideration software define network cloud radio access network|2017
13|FERNANDES, CHRYSTINNE OLIVEIRA&Carlos José Pereira de Lucena|software framework remote patient monitor use multi agent system support|2017
15|Julio Cesar Santos dos Anjos&Tatiana Galibus&Claudio Fernando Resin Geyer&Gilles Fedak&COSTA, JOAO PAULO C. L.&PEREIRA, RUBEM&EDISON PIGNATON, DE FREITAS|sec approach secure big datum process cloud|2017
17|Leyvison Rafael V. da Conceição&Livia M. Carneiro&Domingos Sávio Giordani&de Castro, H. F.|synthesis macaw palm oil use catalyst comprise acid|2017
19|Gildárcio Sousa Gonçalves&Luiz Alberto Vieira Dias&Rodrigo Monteiro de Barros Santana&Rafael Augusto Lopes Shigemura&Paulo Diego Barbosa da Silva&Erlon Silva&Alheri Dakwat&Fernando Jose Miguel&Paulo Marcelo Tasinaffo&Adilson Marques da Cunha|agile interdisciplinary approach safety critical embed system|2017
20|THOMAZINHO, HELLEN CHRISTINE SERODIO&Alexandre L'Erario&FABRI, JOSE A.|case study strategy maintain software numb user|2017
21|Victor Hugo C. de Albuquerque&Robertas Dasmasevicius&Nuno M. Garcia&Plácido Rogério Pinheiro&Pedro P. Rebouças Filho|brain computer interface system method application|2017
23|Rafael Queiroz Gonçalves&VON WANGENHEIM, CHRISTIANE A. GRESSE&HAUCK, JEAN C. R.&ZANELLA, ANDREIA|instructional feedback technique teach project management tool align|2017
24|Willian Massami Watanabe&FORTES, RENATA P. M.&DIAS, ANA LUIZA|acceptance test validate aria requirement widget|2017
28|Danilo Sipoli Sanches&CASTOLDI, MARCELO FAVORETTO&LONDON, JOÃO BOSCO AUGUSTO&DELBEM, ALEXANDRE CLÁUDIO BOTAZZO|analysis solution quality evolutionary algorithm service restoration distribution system|2017
29|COSTA, RAQUEL L.&Luiz Manoel Rocha Gadelha Júnior&RIBEIRO-ALVES, MARCELO&PORTO, F?BIO|integrate platform unify workflow graph database datum analysis|2017
30|POTJE, GUILHERME&RESENDE, GABRIEL&CAMPOS, MARIO&Erickson Rangel do Nascimento|model estimation methodology grind image|2017
31|JUNIOR, NIVISON&Daniela Barreiro Claro&LINDOW, JANET|prediction case use classification algorithm|2017
32|CARRIÓN, ABEL&CABALLER, MIGUEL&BLANQUER, IGNACIO&Nelson P Kotowski Filho&Rodrigo Jardim Monteiro da Fonseca&DÁVILA, ALBERTO MARTIN RIVERA|manage workflow cloud compute use environment e science|2017
33|Maicon Melo Alves&PIRMEZ, LUCI&ROSSETTO, SILVANA&DELICATO, FLAVIA C.&DE FARIAS, CLAUDIO M.&PIRES, PAULO F.&DOS SANTOS, IGOR L.&ZOMAYA, ALBERT Y.|damage prediction wind turbine use sensor actuator network|2017
36|BERTOLI, SÁVIO L.&DE SOUZA, CAROLINA K.&Jaci Carlo Schramm Câmara Bastos&DE ALMEIDA, JULIANO&DE ALMEIDA, JUSCELINO&LICODIEDOFF, SILVANA&WIGGERS, VINICYUS R.|parameter analysis criterion heat transfer co bed wall|2017
37|L. D. M. Meneses&P. F. Brito&Rocha, B. M.&Rodrigo Weber dos Santos&Rafael A.B. de Queiroz|construction network consider power law bifurcation level|2017
42|Diego Dermeval&Glauber Leite&João Almeida&Josmário Albuquerque&Ig Ibert Bittencourt Santana Pinto&Sean Wolfgand Matsui Siqueira&Seiji Isotani&Alan Pedro da Silva|ontology drive software product line architecture develop tutor system|2017
43|Eduardo Moscoso Rubino&Alberto José Alvares&Raúl Marín Prades&Pedro Sanz Valero|novel minimum time parallel discrete wavelet transform algorithm general purpose processor|2017
44|Allisson Dantas Oliveira&Jones Oliveira de Albuquerque&Clara Prats&Mateu Espasa Soley&Francesc Z Serrat&Cristina Montañola Sales&Aroa Silgado&Daniel López-Codina&Mercia Eliane Arruda&Jordi Gomez Prat|malaria system new mobile device base tool malaria diagnosis|2017
