|autores|titulo|ano
100|Cordeiro, Filipe R.&SANTOS, WELLINGTON P.&Abel Guilhermino da Silva Filho|semi algorithm segment classify region interest image|2016
101|Vinícius Humberto Serapilha Durelli&Jeff Offutt&Nan Li&Marcio Eduardo Delamaro&Jin Guo&Zengshu Shi&Xinge Ai|expect predicate empirical analysis predicate real world program journal system software|2016
102|SEDRAZ SILVA, JOÃO CARLOS&Jorge Luis Cavalcanti Ramos&Rodrigo Lins Rodrigues&Fernando da Fonseca de Souza&Alex Sandro Gomes|analysis engagement student base distance educational datum mine|2016
103|Felipe Nunes Flores&Viviane Pereira Moreira|assess impact stem accuracy information retrieval perspective|2016
104|FARIAS, CLAUDIO M. DE&LI, WEI&Flávia Coimbra Delicato&Pirmez, Luci&ZOMAYA, ALBERT Y.&Paulo de Figueiredo Pires&SOUZA, JOSÉ N. DE|systematic review share sensor network|2016
106|Willian Zalewski&Fabiano Silva&MALETZKE, A.G.&FERRERO, C.A.|explore transformation time series classification decision tree|2016
107|TADROS, RAMY N.&HUA, WEIZHE&Matheus Trevisan Moreira&Ney Laert Vilar Calazans&BEEREL, PETER A.|low power low area error detect latch resilient architecture|2016
108|NORA DIAS, KARINE&WELFER, DANIEL&Juliano Fontoura Kazienko&CASSOL FERREIRA DA SILVA, RENATO|be health application assist hospital acquire pneumonia diagnosis treatment|2016
109|DE MARTINO, JOSÉ MARIO&POETA, ENZO TELLES&ANGARE, LEANDRO MARTIN GUERTZENSTEIN&FERREIRA, CAROLINA MONTEIRO&DE CONTI, DAVI FARIA&SILVA, IVANI RODRIGUES&BOLOGNINI, CARMEN ZINK&COSTA, PAULA DORNHOFER PARO&KUMADA, KATE MAMHY OLIVEIRA&CORADINE, LUIS CLÁUDIUS&Patrick Henrique da Silva Brito&DO AMARAL, WANESSA MACHADO&BENETTI, ÂNGELO BRANDÃO|sign avatar education|2016
112|Luiz Eduardo Galvão Martins&GORSCHEK, TONY|requirement engineer safety critical system systematic literature review|2016
114|TUSTUMI, WILLIAM H.A.&GOG, SIMON&TELLES, GUILHERME P.&Felipe Alves da Louza|algorithm pair suffix prefix problem|2016
115|QUEIROZ, LUCAS P.&RODRIGUES, FRANCISCO CAIO M.&GOMES, JOAO PAULO P.&Felipe Timbo Brito&Iago Castro Chaves&PAULA, MANOEL RUI P.&SALVADOR, MARCOS R.&Javam de Castro Machado|fault detection method hard disk drive base mixture statistic|2016
116|CANUTO, JÂNIO&DORIZZI, BERNADETTE&MONTALVÃO, JUGURTA&Leonardo Nogueira Matos|clip signature|2016
117|André Silva Chaves&Olívia de Andrade Raponi&Maria Virginia Gelfuso&Daniel Thomazini|pure dope powder obtain ultrasonic synthesis|2016
120|Mohammadreza Hadizadeh&ELSTER, CH.&POLYZOU, W. N.|relativistic body bind state dimension|2016
125|Meggiolaro, M.A.&Jaime Tupiassú Pinho de Castro&Luiz Fernando Campos Ramos Martha&Luiz Fernando Nazare Marques|unify rule estimate notch stress strain phase proportional loading|2016
126|LEITE BASTOS, HENRIQUE ZELAK&Luiz Carlos Pessoa Albini|design communication infrastructure base internet thing transport system|2016
129|TRAJANO, ALEX F.R.&Marcial Porto Fernandez|phase load balance memory key value storage use network function virtualization|2016
132|AFONSO, VLADIMIR&MAICH, HENRIQUE&Luan Audibert&Bruno Zatt&Marcelo Schiavon Porto&AGOSTINI, L.&Susin, Altamiro|hardware implementation fractional motion estimation target real time low energy|2016
133|Cristian Cechinel&Sandro da Silva Camargo&Miguel Angel Sicilia&Salvador Sanchez-Alonso|mine model automate quality assessment learn object|2016
135|pedro henrique juliano nardelli&Iran Ramezanipour&hirley alves&Carlos Héracles Morais de Lima&LATVA-AHO, MATTI|error probability wireless sensor network imperfect sense communication different decision rule|2016
137|Vale, Tassio&CRNKOVIC, IVICA&DE ALMEIDA, EDUARDO SANTANA&Paulo Anselmo da Mota Silveira Neto&CAVALCANTI, YGUARATÃ CERQUEIRA&MEIRA, SILVIO ROMERO DE LEMOS|year component base software engineer|2016
138|Stanislav Tairov&STEVANATTO, L. C.|state charge estimation lead acid battery use multi frequency ac test|2016
139|DE OLIVEIRA, ETIENNE C. R.&SILVA, EDELBERTO FRANCO&Passos, Diego&NAVES, JULIANO&MUCHALUAT-SAADE, DÉBORA CHRISTINA&MORAES, IGOR M.&Célio Vinicius Neves de Albuquerque|context aware rout delay disruption tolerant network|2016
140|Luis Augusto Angelotti Meira&Flávio Keidi Miyazawa&Lehilton|cluster continuous facility location problem|2016
141|Edans Flavius de Oliveira Sandes&Azzedine Boukerche&Alba Cristina Magalhães Alves de Melo|pairwise biological sequence comparison|2016
142|Rogers Reiche de Mendonça&Sergio Manuel Serra da Cruz&Maria Luiza Machado Campos|manage link datum provenance|2016
143|DOS SANTOS-PINTO, JOSÉ ROBERTO APARECIDO&GARCIA, ANA MARIA CAVIQUIOLI&Helen Andrade Arcuri&ESTEVES, FRANCIELE GREGO&SALLES, HELIANA CLARA&LUBEC, GERT&Palma, Mario Sérgio|insight silk spin process spider|2016
144|Gullermo Capitelli&Guillermo Macbeth&Raydonal Ospina Martínez&Fernando Marmolejo-Ramos|strategy use statistical method psychological research|2016
146|Pedro de Alcantara dos Santos Neto&Ricardo de S. Britto&Ricardo de Andrade Lira Rabêlo&Jonathas Jivago Almeida Cruz&Werney Ayala Luz Lira|approach suggest software product line portfolio|2016
148|Marcelo Caggiani Luizelli&Leonardo Richter Bays&Luciana Salete Buriol&Marinho Barcellos&Luciano Paschoal Gaspary|network topology affect network embed quality characterization study base network|2016
150|FAMPA, MARCIA&Jon Lee&Wendel Alexandre Xavier de Melo|optimization quadratic|2016
151|Felipe Gohring de Magalhães&PRITI, RUBANA&NIKDAST, MAHDI&Hessel, Fabiano&LIBOIRON-LADOUCEUR, ODILE&NICOLESCU, GABRIELA|design model low latency centralize controller optical integrate network|2016
152|ALENCAR DA COSTA, DANIEL&MCINTOSH, SHANE&SHANG, WEIYI&KULESZA, UIRA&Roberta de Souza Coelho&HASSAN, AHMED|framework evaluate result approach identify bug introduce change|2016
154|Roberto Egon Heinrich&Cláudio Rodrigo Torres|condition air flow coordination datum center arrangement simulation computational fluid dynamic|2016
155|Guilherme Marmerola&Marina Atsumi Oikawa&Zanoni Dias&GOLDENSTEIN, SIOME&Anderson Rocha|reconstruction text phylogeny tree evaluation analysis textual relationship|2016
157|BRITO LOPES, FERNANDO&DA SILVA, MARCELO CORRÊA&MAGNABOSCO, CLÁUDIO ULHÔA&Marcelo Gonçalves Narciso&SAINZ, ROBERTO DANIEL|selection index multivariate analysis similar result evaluation growth carcass trait beef cattle|2016
158|ARAUJO, JULIO&Havet, Frédéric&Claudia Linhares Sales&Silva, Ana|orientation cactus|2016
159|Rafael Oliveira Vasconcelos&VASCONCELOS, IGOR&ENDLER, MARKUS|software reconfiguration distribute datum stream system|2016
160|ALVARADO, JOSÉ D.&Simone Dantas de Souza&RAUTENBACH, DIETER|equality domination tree|2016
161|Clauber Gomes Bezerra&COSTA, BRUNO SIELLY JALES&Luiz Affonso Guedes&ANGELOV, PLAMEN PARVANOV|evolve approach time fault detection process|2016
162|DE AVILA, ANDERSON B.&Renata Hax Sander Reiser&Maurício Lima Pilla|quantum compute simulation reduction decomposition optimization case study algorithm|2016
163|Marco Aurélio Ferreira de Jesus Leite&Sheilla Tribess&Joilson Meneguci&Jeffer Eidi Sasaki&Renato Ribeiro Mendonça&Jair Sindra Virtuoso Júnior|sit time predictor sleep quality woman|2016
164|Juan Camilo López Amezquita&Marina Lavorato de Oliveira&John Fredy Franco Baquero&Marcos Julio Rider Flores|apply reconfiguration distribution system reliability constraint|2016
166|Alessandra Alaniz Macedo&Hugo Cesar Pessotti&Luciana Farina Almansa&Joaquim C. Felipe&Edna T. Kimura|information reduce gap characterization image thyroid nodule|2016
167|Matheus Ciriaco Cerqueira Cunha&Nabor das Chagas Mendonça&Américo Sampaio|cloud crawler performance evaluation environment infrastructure service cloud|2016
168|FREITAS, CARLOS&Fabrício Benevenuto de Souza&Veloso, Adriano&GHOSH, SAPTARSHI|study infiltration strategy twitter network|2016
169|ARAUJO, J.&Grégory Morel&Leonardo Sampaio Rocha&SOARES, R.&Valentin Weber|hull numb|2016
170|Karem Daiane Marcomini&CARNEIRO, ANTONIO A. O.&Homero Schiabel|application artificial neural network model segmentation classification nodule breast ultrasound digital image|2016
173|Lucas Antunes Tambara&RECH, PAOLO&CHIELLE, EDUARDO&TONFAT, JORGE&KASTENSMIDT, FERNANDA LIMA|analyze impact radiation induce failure programmable|2016
174|Phillipe Rodrigues Sampaio&TOINT, PH. L.|experience trust funnel method optimization problem constraint|2016
175|Ruy Freitas Reis&Rodrigo Weber dos Santos&Marcelo Lobosco|plasma flow model interstitial tissue bacterial infection|2016
177|Lucas Bastos&Ivan César Martins&Rian Gabriel Santos Pinheiro&Luiz Satoru Ochi&Fábio Protti&Anand Subramanian|algorithm cluster edit|2016
183|GOYA, DENISE H.&Nakamura, Dionathan&Routo Terada|key agreement protocol strong model|2016
184|OLIVEIRA, LUCIENE CHAGAS DE&Alcimar Barbosa Soares&Alexandre Cardoso&ANDRADE, ADRIANO DE OLIVEIRA&Edgard Afonso Lamounier Júnior|mobile reality enhance navigation wheelchair user|2016
185|ABEL, MARA&Joel Luis Carbonera&PERRIN, MICHEL&Luan Fonseca Garcia|ontology database model substance|2016
186|Helton Hilderaldo Bíscaro&Jessica dos Santos&Gustavo R. Pereira&Fátima de Lourdes dos Santos Nunes Marques|compare datum structure represent model train|2016
187|LU, ZHI&CARNEIRO, GUSTAVO&BRADLEY, ANDREW&USHIZIMA, DANIELA&NOSRATI, MASOUD S.&Andrea Gomes Campos Bianchi&CARNEIRO, CLAUDIA&HAMARNEH, GHASSAN|evaluation algorithm segmentation overlap cervical cell|2016
188|GUEDES, GUSTAVO PAIVA&OGASAWARA, EDUARDO&BEZERRA, EDUARDO&Geraldo Bonorino Xexéo|discover k cluster graph|2016
191|Rodrigo de Souza Couto&SECCI, STEFANO&CAMPISTA, MIGUEL ELIAS MITRE&COSTA, LUÍS HENRIQUE MACIEL KOSMALSKI|reliability analysis datum center network topology|2016
192|JACOBOSKI, L. I.&Vanderlei Júlio Debastiani&DE MENDONÇA-LIMA, A.&HARTZ, S. M.|diversity bird community respond change landscape cause eucalyptus plantation|2016
194|JAMSHIDI, POOYAN&PAHL, CLAUS&Nabor das Chagas Mendonça|manage uncertainty autonomic cloud elasticity controller|2016
195|Camilo Carromeu&Débora Maria Barroso Paiva&Maria Istela Cagnin|e gov web e gov mobile international journal web information system|2016
198|Julina Martins de Oliveira&Rafael Carneiro Gurgel Fernandes&Plácido Rogério Pinheiro&Sidarta Tollendal Gomes Ribeiro&Victor Hugo Costa de Albuquerque|novel virtual environment alternative treatment child cerebral palsy|2016
199|ALLEN, ANDREW A.&Fabio Moreira Costa&CLARKE, PETER J.|user approach adaptation communication service|2016
201|FERNANDES, FELIPE&BESERRA, DAVID&MORENO, EDWARD DAVID&SCHULZE, BRUNO&Raquel Coelho Gomes Pinto|machine scheduler base o bind feature energy performance compute cloud|2016
202|Claúdio Silva&Eduardo Coelho Cerqueira&Donghyun Kim&NOGUEIRA, MICHELE&Aldri Santos|radio base connectivity management end end communication|2016
203|Lucas Boeira Michels&Roderval Marcelino&Vilson Gruber&Lirio Schaeffer&Luan Carlos da Silva Casagrande|compression test machine experimental teach mechanical form|2016
205|PADILHA, CARLOS ALBERTO DE ARAÚJO&Dante Augusto Couto Barone&NETO, ADRIÃO DUARTE DÓRIA|level approach use algorithm ensemble square support vector machine|2016
206|MANSILLA, LUIS ALVAREZ&BLANCO, PABLO J&Carlos Alberto Bulant&DARI, ENZO A&VENEZIANI, ALESSANDRO&Raúl Antonino Feijóo|enrich pipe element method approach blood flow model|2016
207|CHRIS MAYARA TIBES&Everton Alvares Cherman&Vinicius M A Souza&Yolanda Dora Martinez Évora&Silvia Helena Zem-Mascarenhas|image process mobile device classify pressure injury|2016
208|JUNIOR, JOSE CLAUDIO V. S.&Alisson Vasconcelos de Brito&COSTA, LUIS FELIPHE SILVA&Tiago Pereira do Nascimento&MELCHER, ELMAR UWE KURT|test time embed system use level architecture|2016
209|Leandro Pupo Natale&Nizam Omar|knowledge integration collaborative environment use supervise ontological alignment|2016
212|RODRIGUES, H.W.L.&PRATA, B.A.&Tiberius de Oliveira e Bonates|integrate optimization model location size offshore platform location oil well|2016
213|CARVALHO, TIAGO&SANTOS, LEONARDO B. L.&LUZ, EDUARDO F. P.&Rogério Ishibashi&JORGE, AURELIENNE A. S.&LONDE, LUCIANA R.|source approach watershed delimitation support flood monitor|2016
217|MASSA, ERNESTO&Lima, George&Paul Denis Etienne Regnier|run trend time multiprocessor schedule|2016
219|Antonio Carlos da Rocha Costa|element formal model intentional system|2016
222|Tiago de Oliveira Januario&Sebastián Alberto Urrutia|neighborhood structure robin schedule problem|2016
223|CARVALHO, DAVID B.&CLUA, ESTEBAN G.&POZZER, CESAR T.&Erick Baptista Passos&PAES, ALINE|perception emergent storytelling|2016
224|DIAS LOPES, LUIZ GUSTAVO&DE BRITO, TARCÍSIO GONÇALVES&DE PAIVA, ANDERSON PAULO&PERUCHI, ROGÉRIO SANTANA&Pedro Paulo Balestrassi|experimental design datum collection end mill operation steel|2016
226|Renan Augusto Starke&CARMINATI, ANDREU&OLIVEIRA, RÔMULO SILVA DE|evaluate design processor time system|2016
227|Maxim Topaz&Eunjoo Jeon&Jude L Tayaben&Chiu-Hsiang Kuo&Tasneem Islam&Janine Sommer&Hyunggu Jung&Gabrielle Jacklin Eler&Dari Alhuw Ail&Charlene Ronquillo&Laura-Maria Peltonen&Lisiane Pruinelli&Raymond Francis Sarmiento&Martha k Badger&Samira Ali&Adrienne Lewis&Mattias Georgsson|advance nurse decade recommendation international survey|2016
228|STRICKLER, ANDREI&LIMA, JACKSON A.P.&VERGILIO, SILVIA R.&Aurora Trinidad Ramirez Pozo|derive product variability test feature model hyper heuristic approach|2016
229|PEREZ, MAURICIO&AVILA, SANDRA&Daniel Henriques Moreira&MORAES, DANIEL&TESTONI, VANESSA&VALLE, EDUARDO&GOLDENSTEIN, SIOME&ROCHA, ANDERSON|video pornography detection learn technique motion information|2016
230|CASTILHO, DOUGLAS&VAZ DE MELO, PEDRO O.S.&Fabrício Benevenuto de Souza|strength work tie|2016
231|NAZ, NAJMA&Grace T M Dal Sasso&KHANUM, SABIHA&DE SOUZA, MARIA DE LOURDES&RADÜNZ, VERA|contribution technological approach reduce mortality integrative review|2016
233|GONC CALVES, L.A.M.&Helio Aparecido Navarro|design dimensional structure periodic inelastic material|2016
234|Gilberto Clóvis Antonelli&NEITZEL, IVO|net application cotton yarn industry|2016
237|Fernanda Corte Real Correa&Sílvio César Cazella&Aline A. Vanin|text mine strategy profile use influenza virus genome scientific publication|2016
238|GUTIERREZ, FRANCISCO J.&Sergio Fabian Ochoa&ZURITA, GUSTAVO&BALOIAN, NELSON|understand student participation course community case study|2016
239|HOULISTON, TRENT&FOUNTAIN, JAKE&LIN, YUQING&Alexandre de Sousa Mendes&METCALFE, MITCHELL&WALKER, JOSIAH&CHALUP, STEPHAN K.|nuclear loosely couple software architecture humanoid robot system|2016
240|FERREIRA, JOSÉ ORLANDO&BATALHA, MÁRIO OTÁVIO&Jean Carlos Domingos|plan model agribusiness system use system dynamic|2016
241|Francisco José Aragão Pedroza Cunha&Núbia Moura Ribeiro&MONTEIRO, R.L.S.&Hernane Borges de Barros Pereira|network analysis strategy monitor dissemination information hospital|2016
242|KRIDI, DOUGLAS S.&DE CARVALHO, CARLOS GIOVANNI N.&Danielo Gonçalves Gomes|application sensor network monitor pattern detection|2016
243|ANASTASIADES, CARLOS&SCHMID, TOBIAS&WEBER, JÜRG&Torsten Braun|information content retrieval delay network|2016
244|André Lage Freitas&Parlavantzas, Nikos&PAZAT, JEAN|cloud resource management drive profit augmentation|2016
249|Gustavo Campos Menezes&MATEUS, GERALDO ROBSON&RAVETTI, MARTÍN GÓMEZ|approach solve production plan schedule problem cargo terminal|2016
250|BRITO, SILVANA ROSSY DE&Aleksandra do Socorro da Silva&CRUZ, ADEJARD GAIA&MONTEIRO, MAURÍLIO DE ABREU&VIJAYKUMAR, NANDAMUDI LANKALAPALLI&DA SILVA, MARCELINO SILVA&COSTA, JOÃO CRISÓSTOMO WEYL ALBUQUERQUE&FRANCÊS, CARLOS RENATO LISBOA|concentration access information communication technology municipality legal amazon|2016
251|Thiago H. P. Silva&Alberto Henrique Frade Laender&Clodoveu A. Davis Jr&Ana Paula de Carvalho&Mirella M. Moro|impact academic mobility quality graduate program|2016
253|COELHO, VITOR N.&Frederico Gadelha Guimarães&COELHO, IGOR M.&COELHO, BRUNO N.&DE OLIVEIRA, GLAUBER C.&BARBOSA, ALEXANDRE C.&PEREIRA, LEO&DE FREITAS, ALAN&SANTOS, HAROLDO G.&OCHI, LUIS S.|storage plan system inside scope city|2016
254|REBOUÇAS, ELIZÂNGELA S.&BRAGA, ALAN M.&Regis Cristiano Pinheiro Marques&REBOUÇAS FILHO, PEDRO PEDROSA|approach calculate density cast iron graphite use level set|2016
255|Raphaël Jean Michel LEGER&Damian Alvarez Mallón&Alejandro Duran&Stéphane Lanteri|adapt finite element type solver deep er platform|2016
257|HECK, GUILHERME&HECK, LEANDRO S.&Matheus Trevisan Moreira&MORAES, FERNANDO G.&CALAZANS, NEY L. V.|clock generator globally locally|2016
262|SANTINI, THIAGO&CARRO, LUIGI&RECH WAGNER, FLAVIO&Paolo Rech|reliability analysis operate system software stack embed system|2016
267|Guilherme Domingues&Edmundo A. de Souza e Silva&Rosa Maria Meri Leão&Daniel Sadoc Menasche&Towsley, Don|search placement tier cache network|2016
268|Florindo, J.B.&Odemir Martinez Bruno|texture analysis descriptor wavelet domain use basis decomposition|2016
