|autores|titulo|ano
0|CAMBUIM, LUCAS F.S.&MACIEIRA, RAFAEL M.&NETO, FERNANDO M.P.&BARROS, EDNA&Teresa Bernarda Ludermir&ZANCHETTIN, CLEBER|efficient gesture recognizer embed system base elm pattern recognition algorithm|2016
2|NOGUEIRA, KEILLER&VELOSO, ADRIANO ALONSO&Jefersson Alex dos Santos|pairwise clothe annotation combine feature medium|2016
5|Priscyla Waleska Targino de Azevedo Simões&Gustavo de Agostin&Ricardo Rampinelli Formigoni&Felipe Borges Tomaz&Erik Paul Winnikow|model apply breast cancer base network|2016
6|Simone Dantas de Souza&de Figueiredo, C.M.H.&Giuseppe Mazzuoccolo&Myriam Preissmann&DOS SANTOS, V.F.&Diana Sasaki|numb graph|2016
8|GONÇALVES, BERNARDO&Fabio Andre Machado Porto|note complexity order problem|2016
9|D'ANGELO, MARCOS F.S.V.&PALHARES, REINALDO M.&Renato Dourado Maia&MENDES, JOÃO B.&EKEL, PETR YA.&CANGUSSU, CAMILA K.S.&AGUIAR, LUCAS A.|monitor induction machine possible fault detection fuzzy approach problem time series multiple change point detection|2016
11|Mirela Sechi Moretti Annoni Notare|editorial issue|2016
12|FERREIRA, ANSELMO&FELIPUSSI, SIOVANI C.&ALFARO, CARLOS&FONSECA, PABLO&VARGAS-MUNOZ, JOHN E.&Jefersson Alex dos Santos&ROCHA, ANDERSON|behavior knowledge space base fusion copy forgery detection|2016
13|REISER, RENATA&ZANOTELLI, ROSANA&Simone André da Costa Cavalheiro&Foss, Luciana&BEDREGAL, BENJAMIN|robustness g generate fuzzy case study|2016
15|Fábio Paulo Basso&PILLAT, RAQUEL MAINARDI&Toacy Cavalcante de Oliveira&ROOS-FRANTZ, FABRICIA&FRANTZ, RAFAEL Z.|automate design multi layer web information system|2016
17|Armstrong, Alasdair&Victor Borges Ferreira Gomes&Struth, Georg|build program construction verification tool principle|2016
18|Leonardo Henrique Faria Macedo Possagnolo&Cristiam Victor Villajuan Montes&John Fredy Franco Baquero&Marcos Julio Rider Flores&Rubén Augusto Romero Lázaro|branch flow model concurrent ac multistage transmission expansion reactive power plan security constraint|2016
19|Liviane Ponte Rego&SUMAILI, JEAN&MIRANDA, VLADIMIRO&FRANCÊS, CARLOS&SILVA, MARCELINO&Ádamo Santana|shift datum set term power load forecast day|2016
20|Guy-Emmanuel Rigo&Cristiane Drebes Pedron&Mário Caldeira&Cintia Cristina Silva de Araujo|adoption high education institution|2016
21|BILHIM, TIAGO&PISCO, JOÃO&PEREIRA, JOSÉ A.&COSTA, NUNO VASCO&FERNANDES, LÚCIA&CAMPOS PINHEIRO, LUÍS&DUARTE, MARISA&Antônio Manuel Gouveia de Oliveira|predictor clinical outcome prostate artery embolization spherical polyvinyl alcohol particle patient benign|2016
24|RAJARAMAN, ASHOK&João Paulo Pereira Zanetti&MANUCH, JAN&CHAUVE, CEDRIC|algorithm complexity result map problem|2016
28|RANGEL, ELIZETE G. LOPES&BARROSO, JOAQUIM J.&ROSSI, JOSE O.&Fernanda Sayuri Yamasaki&SILVA NETO, LAURO P.&SCHAMILOGLU, EDL|influence input pulse shape generation nonlinear transmission line|2016
31|Alexandre de Melo Pereira&Marcelo Costa Cardoso&Luciano Pessanha Moreira|effect strain rate deformation mode strain induce martensite transformation steel sheet|2016
34|Ricardo Melo CZEKSTER&Paulo Fernandes&Lucelene Lopes&Afonso Sales&Alan R Santos&Thais Webber|performance analysis global software development team|2016
36|DUENHA, LIANA&MADALOZZO, GUILHERME&MORAES, FERNANDO GEHM&Rodolfo Jardim de Azevedo|exploit performance power energy scale system simulator|2016
37|PALMA, BRUNO&LIMA, CABRAL&Wouter Caarls&VETTORAZZI, DANILO|probabilistic method use robot environment analysis method simulation|2016
39|Rodrigo César Pedrosa Silva&Li, Min&LOWTHER, DAVID A.|role model space map study motor optimization|2016
40|Vinícius Pereira Gonçalves&COSTA, EDUARDO P.&VALEJO, ALAN&FILHO, GERALDO P. R.&JOHNSON, THIENNE M.&PESSIN, GUSTAVO&UEYAMA, JÓ|enhance intelligence emotion assessment|2016
41|SANTOS, DANILO F. S.&Kyller Costa Gorgônio&Angelo Perkusich&Hyggo Oliveira de Almeida|standard base context aware architecture personal healthcare smart gateway|2016
42|Bruno Carlos da Cunha Costa&Paulo de Figueiredo Pires&Flávia Coimbra Delicato&MERSON, PAULO|evaluate rest architecture approach tool guideline|2016
45|VENDRAMIN, ANA CRISTINA KOCHEM&Munaretto, Anelise&DELGADO, MYRIAM REGATTIERI&Mauro Sergio Pereira Fonseca&VIANA, ALINE CARNEIRO|rout protocol network|2016
46|Claudio Ricardo Bettini&Orlando Celso Longo&Luciane Ferreira Alcoforado&Alana Caroline Gamba Maia|method estimate construction cost build base experience|2016
49|SOUSA JÚNIOR, FRANCISCO ANTONIO DE&Cristiane Sonia Arroyo&CAMPOS, LUCIANA SPÍNPOLO|fund management reposition piece fertilizer company|2016
50|Alessandra Dahmer&Rodrigo Alves Tubelo&Luciana Boose Pinheiro&Márcia Rosa da Costa&Maria Eugenia Bresolin Pinto|city content environment family health postgraduate program|2016
51|Nedel, Luciana&Vinícius Costa de Souza&Aline Menin&Lucia Sebben&OLIVEIRA, JACKSON&FARIA, FREDERICO&Anderson Maciel|use immersive reality reduce work accident country|2016
54|Flaulles Boone Bergamaschi&SANTIAGO, REGIVAN H. N.|uniform strong fuzzy set survey|2016
56|PAULO T, R. S.&Sheilla Tribess&Jeffer Eidi Sasaki&Joilson Meneguci&MARTINS, CRISTIANE A.&FREITAS, ISMAEL F.&ROMO-PEREZ, VICENTE&VIRTUOSO, JAIR S.|cross sectional study relationship physical activity depression cognitive deficit old adult|2016
57|DIAS, PHILIPE A.&DUNKEL, THIEMO&FAJADO, DIEGO A. S.&GALLEGOS, ERIKA DE LEÓN&DENECKE, MARTIN&WIEDEMANN, PHILIPP&Fábio Kurt Schneider&SUHR, HAJO|image process identification quantification bacterium acquire image|2016
58|ALMEIDA, JURANDY&Daniel Carlos Guimarães Pedronette&ALBERTON, BRUNA C.&MORELLATO, LEONOR PATRICIA C.&Torres, Ricardo da S.|distance learn plant species identification|2016
60|AL-JANABI, SAMAHER&Ahmed Patel&Joaquim Celestino Júnior&PEDERSEN, JENS MYRUP&DOS SANTOS, ANDRÉ LUIZ MOURA|intrusion detection prevention architecture grid ecosystem|2016
62|SANTOS, M.C.&Andrea Bianchi&Daniela Mayumi Ushizima&PAVINATTO, F.J.&BIANCHI, R.F.|ammonia gas sensor base frequency dependent impedance characteristic film|2016
64|Cledenilson Mendonça de Souza&Cleo Quaresma Dias Júnior&TÓTA, J.&Leonardo Deane de Abreu Sá|model wind speed profile amazon forest site|2016
67|Ricardo Melo Czekster&Clauter Gatti&Bruno Franzoi Pilz&Thais Christina Webber dos Santos|requirement design application invasion detection control|2016
68|FAGUNDES, MARCILIO&XAVIER, RENATA C.&RAMOS, LETÍCIA F.L.&SIQUEIRA, WALISSON K.&Ronaldo Reis Júnior&SOUZA, MATHEUS L.|inter plant variation sprout time affect growth reproduction trade tree specie|2016
69|GONÇALVES DA SILVA LEITE, JANAINA&COSTA CAVALCANTE, MARIA LUZETE&FRANCISCO VAGNALDO FECHINE JAMACARU&DE LIMA POMPEU, MARGARIDA MARIA&LEITE, JOSÉ ALBERTO DIAS&NASCIMENTO COELHO, DULCE MARIA&RABELO DE FREITAS, MARCOS|morphology nerve end fold|2016
72|LEITE, ROGER A.&Lucas Mello Schnorr&ALMEIDA, JURANDY&ALBERTON, BRUNA&MORELLATO, LEONOR PATRICIA C.&TORRES, RICARDO DA S.&COMBA, JOÃO L.D.|tool analysis camera image use percentage map|2016
74|FAIA, PEDRO M.&Juliano Libardi|response humidity sensor dope influence fabrication route|2016
75|Renato de Sousa Gomide&LOJA, LUIZ FERNANDO BATISTA&LEMOS, RODRIGO PINTO&FLÔRES, EDNA LÚCIA&MELO, FRANCISCO RAMOS&TEIXEIRA, RICARDO ANTONIO GONÇALVES|concept keyboard base review text entry optimization technique|2016
78|Rafaelle Piazzaroli Finotti Amaral&Aldemon Lage Bonifácio&Flávio de Souza Barbosa&Alexandre Abrahão Cury|evaluation computational intelligence method use statistical analysis detect structural damage|2016
79|TAMBASCO BRUNO, DANIEL O.&DO NASCIMENTO, MARCELO Z.&RAMOS, RODRIGO P.&Valério Ramos Batista&NEVES, LEANDRO A.&MARTINS, ALESSANDRO S.|operator coefficient algorithm describe texture breast cancer tissue|2016
80|HUANG, WEINI&Paulo R A Campos&Viviane M de Oliveira&Fernando Fagundes Ferreira|resource base game approach paradox plankton|2016
81|Ricardo Nagel Rodrigues&CANEZ, ALEXSANDER V.&SIMAS, GISELE M.&BARWALDT, REGINA|publish subscribe architecture deliver assistance visually people|2016
82|Oliveira, Eduardo C.&Oliveira, Luciene C.&Alexandre Cardoso&Mattioli, Leandro&Edgard Afonso Lamounier Júnior|meta model information visualization base|2016
84|Giovanni Lucca França da Silva&Antonio Oseas de Carvalho Filho&SILVA, ARISTÓFANES CORRÊA&PAIVA, ANSELMO&GATTASS, MARCELO|taxonomic index differentiate malignancy lung nodule ct image|2016
85|Alexandre Willams Torres Borba&Glauber Henrique Camêlo Batista&Ricardo André Cavalcante de Souza|toolbox innovation software development process|2016
89|Pedro Manuel Gens de Azevedo de Matos Faia&Juliano Libardi&Cristina Louro|effect dope conduction type transition humidity sensor|2016
91|Igor Rafael S. Valente&Paulo César Cortez&Edson Cavalcanti Neto&José Marques Soares&Victor Hugo Costa de Albuquerque&João Manuel R. S. Tavares|pulmonary detection ct image survey|2016
98|Vieira, Karane&BARBOSA, LUCIANO&Altigran Soares da Silva&Freire, Juliana&MOURA, EDLENO|find seed bootstrap crawler|2016
99|Rafael Vidal Aroca&Tatiana FPAT Pazelli&Flavio Tonidandel&Azamor CA Filho&Alexandre da Silva Simões&Esther Colombini&Aquiles Burlamaqui&Luis Marcos Garcia Gonçalves|robotic paradigm science technology dissemination|2016
