|autores|titulo|ano|group
1|Evandro Manara Miletto&Marcelo Soares Pimenta&Bouchet, François&Sansonnet, Jean-Paul&Keller, Damián|principles music creation novices networked music environments|2011|1.0
2|Marcelo Soares Pimenta&Evandro Manara Miletto&Luciano Vargas Flores&Aurélio Faustino Hoppe|mechanisms music|2011|2.0
3|Pinel, Roque Elias AssumpÃ§Ã£o&do Carmo, Filipe Braida&Rodrigo Salvador Monteiro&ZimbrÃ£o, Geraldo|improving tests infrastructure model based approach|2011|3.0
4|Gabriel Alves de Albuquerque Junior&Paulo Romero Martins Maciel&Ricardo Massa Ferreira Lima&Fábio Magnani&Adilson de Oliveira Arcoverde Junior|evaluation environment business trade offs supply chains|2011|4.0
6|Carlos Roberto Camello Lima&Marcelo Eloy Fernandes&Juliano Schimiguel|strategic management technology case study center company|2011|6.0
7|Cordeiro, Ricardo&Donalisio, Maria R&Andrade, Valmir R&Mafra, Ana CN&Nucci, Luciana B&Brown, John C&Celso Stephan|distribution risk dengue fever brazil|2011|7.0
8|Paulo Rogério de Almeida Ribeiro&Fernando Ribeiro&GilM|vision distance integrated sensor autonomous robot|2011|8.0
10|Elerson Gaetti Jardim Júnior&Francisco Isaac Nicolas Ciesielski&Fátima Regina Nunes de Sousa&Francisca Nwaokorie&Christiane Marie Schweitzer&Mário J. Avila-Campos|yeasts enteric bacteria oral cavity patients undergoing head neck radiotherapy|2011|10.0
11|Elerson Gaetti Jardim Júnior&Luis Fernando Landucci&Omar Arafat Kidutsi Kalil&Robson Varlei Ranieri&Marcelle Marie Buso Ramos&Christiane Marie Schweitzer&Francisco Isaac Nicolas Ciesielski&Ana Cláudia Okamoto|antimicrobial activity plant extracts savanna periodontal pathogens|2011|11.0
12|Jeisa P. Oliveira Domingues&Antônio Vicente Lourenço Dâmaso&Rilter Nascimento&Nelson Souto Rosa|energy aware integrating wireless sensor networks internet|2011|12.0
13|Rafael Elias Escalfoni&Vanessa Braganholo Murta&Marcos R. S. Borges|method capturing innovation features group storytelling|2011|13.0
15|Fábio Coutinho&Eduardo Soares Ogasawara&Daniel Cardoso Moraes de Oliveira&Vanessa Braganholo Murta&Alexandre Lima&Alberto Dávila&Marta Lima de Queirós Mattoso|task computing genes identification protozoan genomes hydra|2011|15.0
16|Carla Amaral de S. Rodrigues&Vanessa Braganholo Murta&Marta Lima de Queirós Mattoso|virtual partitioning ad hoc queries distributed databases|2011|16.0
17|Miguel Gabriel Prazeres de Carvalho&Linair Maria Campos&Vanessa Braganholo Murta&Maria Luiza Machado Campos&Maria Luiza Almeida Campos|extracting relations improve ontology reuse|2011|17.0
19|Egidio Arai&YOSIO EDEMIR SHIMABUKURO&Pereira&vijay|multi resolution multi technique detecting mapping deforestation brazilian amazon rainforest|2011|19.0
