|autores|titulo|ano|group
0|Leonardo Teixiera Passos&Mariza A. S. Bigonha&Roberto da Silva Bigonha|parser generator supporting conflict resolution|2009|0.0
1|García-Ortiz, Alberto&Leandro Soares Indrusiak&Murgan, Tudor&Glesner, Manfred|low power coding networks chip virtual channels|2009|1.0
3|Ackermann, Kurt Franz&Hoffmann, Burghard&Leandro Soares Indrusiak&Glesner, Manfred|providing memory management abstraction self video processing platforms|2009|3.0
4|Wangenheim, A.V.&Bertoldi, R.F.&Daniel Duarte Abdala&Sobieranski, A.&COSER, L.&JIANG, X.&Richter, M.M.&PRIESE, L.&SCHMITT, F.|color image segmentation gradient network method|2009|4.0
5|Wangenheim, Aldo&Prüsse, Martin&MAIA, Rafael Simon&Daniel Duarte Abdala&REGERT, André Germano&Souza Nobre, Luiz Felipe&Comunello, Eros|recording reenactment collaborative diagnosis sessions|2009|5.0
6|SILVEIRA, Heraldo Luis Dias&SILVEIRA, Heloísa Emilia Dias&DALLA-BONA, Reni Raymundo&Daniel Duarte Abdala&BERTOLDI, Rafael Floriani&von Wangenheim, Aldo|software system calibrating examiners point identification|2009|6.0
7|Sobieranski, Antonio C.&Daniel Duarte Abdala&Comunello, Eros&Wangenheim, Aldo von|learning color distance region based image segmentation|2009|7.0
9|Viviane Laporti&Marcos R. S. Borges&Vanessa Braganholo Murta|athena approach requirements elicitation|2009|9.0
11|YOSIO EDEMIR SHIMABUKURO&Valdete Duarte,&Egidio Arai&Ramon Morais de Freitas&Lima, AndrÃ©&Dalton de Morisson Valeriano&Brown&Maldonado|fraction images derived terra data mapping burnt areas|2009|11.0
12|Silvio J F Guimarães&Zenilton Kleber Gonçalves do Patrocínio Júnior&Hugo Bastos de Paula&Henrique B Silva|new dissimilarity measure cut detection bipartite graph matching|2009|12.0
13|Lew Gordeev&Haeusler, E. H.&Costa, V. G.|proof compressions circuit structured substitutions|2009|13.0
15|Jeroen Antonius Maria van de Graaf|voting privacy merging pret voter|2009|15.0
16|Israel Tojal Da Silva&Rodrigues, E. S.&Azevedo, R.&da Cruz Castelli, E.&Mendes-Junior, C. T.&Yoshioka, F. K. N.&da Silva, I. T.&Takayanagui, O. M.&Covas, D. T.|dc sign gene promoter polymorphisms population association t cell virus type infection|2009|16.0
17|Adi, Said S.&Marília Dias Vieira Braga&Fernandes, Cristina G.&Ferreira, Carlos E.&Martinez, Fábio Viduani&Sagot, Marie-France&Stefanes, Marco A.&Tjandraatmadja, Christian&Wakabayashi, Yoshiko|repetition subsequence|2009|17.0
18|Claire Lemaitre&Marília Dias Vieira Braga&Christian Gautier&Marie-France Sagot&Eric Tannier&Gabriel A. B. Marais|footprints inversions present past boundaries human sex chromosomes|2009|18.0
19|Marília Dias Vieira Braga|solution space sorting reversals|2009|19.0
20|Marília Dias Vieira Braga&Gautier, Christian&Sagot, Marie-France|approach preserve intervals sorting reversals|2009|20.0
22|Anna Bárbara Carneiro-Proietti&Murphy, Edward L.&Mike P. Busch&Ester C. Sabino&Sampaio, Divaldo&Proietti, Fernando A.&Thelma T. Gonçalves&Claudia D. L. Oliveira&João Eduardo Ferreira&Liu, Jing&Schreiber, George B.|profile blood donors blood centers results international reds ii study|2009|22.0
