|autores|titulo|ano|group
0|PAPPA, GISELE LOBO&Tiago Oliveira Cunha&BICALHO, PAULO VIANA&RIBEIRO, ANTONIO&COUTO SILVA, ANA PAULA&MEIRA JR, WAGNER&BELEIGOLI, ALLINE MARIA REZENDE|factors associated weight change online weight management communities case study community|2017|0.0
1|FARIAS, VICTOR A.E.&SOUSA, FLÁVIO R.C.&José Gilvan Rodrigues Maia&GOMES, JOÃO PAULO P.&MACHADO, JAVAM C.|regression based performance modeling provisioning cloud databases|2017|1.0
2|M. FERREIRA, KECIA A.&S. BIGONHA, MARIZA A.&Roberto da Silva Bigonha&DE LIMA, BERNARDO N.&GOMES, BÁRBARA M.&O. MENDES, LUIZ FELIPE|model estimating change propagation software|2017|2.0
3|SINGH, AMIT KUMAR&DZIURZANSKI, PIOTR&MENDIS, HASHAN ROSHANTHA&Leandro Soares Indrusiak|survey comparative study hard soft real time dynamic resource allocation strategies core systems|2017|3.0
4|DZIURZANSKI, PIOTR&SINGH, AMIT KUMAR&Leandro Soares Indrusiak|multi criteria resource allocation time systems|2017|4.0
5|MENDIS, HASHAN ROSHANTHA&AUDSLEY, NEIL C.&Leandro Soares Indrusiak|static task allocation hard real time video stream decoding|2017|5.0
6|MA, YUNFENG&Leandro Soares Indrusiak|hardware accelerated analysis time networks chip|2017|6.0
7|Claudiney Ramos Tinoco&Danielli Araújo Lima&Gina Maria Barbosa de Oliveira|improved model swarm robotics surveillance based automata pheromone|2017|7.0
8|Danielli Araújo Lima&Gina Maira Barbosa de Oliveira|automata memory model foraging swarm robots|2017|8.0
10|Alfredo Bonini Neto&Carolina dos Santos Batista Bonini&Beatriz Santos Bisi&Luiz Fernando Sommaggio Coletta&André Rodrigues dos Reis|artificial neural network classification analysis degraded soils|2017|10.0
11|BORSANELLI, ANA C.&GAETTI-JARDIM, ELERSON&Christiane Marie Schweitzer&VIORA, LORENZO&BUSIN, VALENTINA&RIGGIO, MARCELLO P.&DUTRA, IVERALDO S.|black pigmented bacteria associated periodontitis|2017|11.0
12|Ana Carolina Borsanelli&Thamiris Naiasha Minari Ramos&Elerson Gaetti Jardim Júnior&Christiane Marie Schweitzer&Iveraldo Dutra|treponema species microflora periodontitis|2017|12.0
13|Anderson Marinho&Daniel Cardoso Moraes de Oliveira&Eduardo Soares Ogasawara&Vítor Silva&Kary Ann Ocana&Leonardo Gresta Paulino Murta&Vanessa Braganholo Murta&Marta Lima de Queirós Mattoso|deriving experiment lines approach|2017|13.0
14|Ivison Rubim&Vanessa Braganholo Murta|detecting inconsistencies cv datasets|2017|14.0
15|Vitor Carvalho Neves&Daniel Cardoso Moraes de Oliveira&Kary Ann Ocana&Vanessa Braganholo Murta&Leonardo Gresta Paulino Murta|managing provenance implicit data flows experiments|2017|15.0
16|Wellington Oliveira&Kary Ann Ocana&Daniel Cardoso Moraes de Oliveira&Vanessa Braganholo Murta|querying provenance domain data prolog|2017|16.0
17|João Felipe Nicolaci Pimentel&Leonardo Gresta Paulino Murta&Vanessa Braganholo Murta&Juliana Freire|tool collecting analyzing managing provenance python scripts|2017|17.0
