|autores|titulo|ano|group
0|Cruz, Sérgio A.B.&Monteiro, Antonio M.V.&Rafael Duarte Coelho dos Santos|web services composition based quality requirements|2012|0.0
1|DE LIMA, MARIA HELENA&Keller, Damián&Marcelo Soares Pimenta&LAZZARINI, VICTOR&Evandro Manara Miletto|creativity centred design activities case studies|2012|1.0
2|SILVEIRA, GEORGE SOBRAL&BRITO, ALISSON V.&Helder Fernando de Araujo Oliveira&MELCHER, ELMAR U. K.|simulator support power gating design|2012|2.0
3|Kécia Aline M. Fereira&Mariza A. S. Bigonha&Roberto da Silva Bigonha&Luiz F.O. Mendes&Heitor C, Almeida|identifying thresholds object oriented software metrics|2012|3.0
4|César Augusto Lins de Oliveira&Ricardo Massa Ferreira Lima&Hajo A. Reijers&Joel T. S. Ribeiro|quantitative analysis resource constrained business processes|2012|4.0
5|DUTRA E SILVA JÚNIOR, ÉLVIO CARLOS&Leandro Soares Indrusiak&ALVES FINAMORE, WEILER&Glesner, Manfred|look table based interpolator nonuniform sampling scheme|2012|5.0
7|Thomas Newton Martin&Durval Dourado Neto&Pedro Abel Vieira Junior&Antônio Roberto Pereira&Paulo Augusto Manfron&Pedro Jacob Christoffoleti|crop model estimation soybean yield|2012|7.0
8|Alexandre Loureiros Rodrigues&DIGGLE, PETER J.|bayesian estimation prediction inhomogeneous spatiotemporal log gaussian cox processes low rank models application criminal surveillance|2012|8.0
9|Luiz Fernando Sommaggio Coletta&Lucas Vendramin&Eduardo Raul Hruschka&Ricardo José Gabrielli Barreto Campello&Witold Pedrycz|collaborative fuzzy clustering algorithms refinements design guidelines|2012|9.0
13|Diego Mury Gomes de Lima&Carla Delgado&Leonardo Gresta Paulino Murta&Vanessa Braganholo Murta|querying implicit knowledge documents|2012|13.0
15|Vanessa Braganholo Murta&MIRANDA, BERNARDO&MATTOSO, MARTA|open source web portals|2012|15.0
16|Fernando Pedone&SCHIPER, NICOLAS|fault deferred update replication|2012|16.0
17|Hélio M. Salmon&Cláudio M. de Farias&Paula Loureiro&Luci Pirmez&Silvana Rossetto&Paulo H. de A. Rodrigues&Rodrigo Pirmez&Flávia C. Delicato&Luiz F. R. da C. Carmo|intrusion detection system wireless sensor networks danger theory immune inspired techniques|2012|17.0
18|Lew Gordeev&Weiermann, Andreas|phase transitions iterated style orderings|2012|18.0
19|Dario Vieira Conceição&Cesar Augusto Viana Melo&Ghamri-Doudane, Y.|performance evaluation object management policy approach networks|2012|19.0
21|Cesar Augusto Viana Melo&LIBORIO FILHO, J. M.&VIEIRA, DARIO&LIBORIO, JOAO DA MATA&MELO, C.|impact churn object management policies deployed systems|2012|21.0
24|MEREDITH, M. M.&OLIVEIRA, T. Y.&SKOKOS, D.&CASELLAS, R.&NUSSENZWEIG, M. C.&LIU, K.&KAMPHORST, A. O.&IDOYAGA, J.&YAMANE, A.&GUERMONPREZ, P.&RIHN, S.&YAO, K.-H.&Israel Tojal Da Silva|zinc finger transcription factor regulator required prevent activation cells state|2012|24.0
25|GORDO, SHEILA MC&SCHNEIDER, HORACIO&Silva, Wilson A&SAMPAIO, IRACILDA&DARNET, SYLVAIN&Pinheiro, Daniel G&MOREIRA, EDITH CO&RODRIGUES, SIMONE M&POLTRONIERI, MARLI C&DE LEMOS, ORIEL F&Israel Tojal Da Silva&RAMOS, ROMMEL TJ&SILVA, ARTUR|throughput sequencing pepper root|2012|25.0
26|Camila Oliveira Rodini&Oswaldo Keith Okamoto&Fabio Daumas Nunes&Flávia Caló Aquino Xavier&Katiúcia Batista Silva Paiva&Maria Fernanda De Souza Setúbal Destro&Raquel Ajub Moyses&Pedro Michaluarte&Marcos Brasilino Carvalho&Israel Tojal Da Silva&Eloiza Helena Tajara|gene expression profile indicates candidate marker cell carcinoma|2012|26.0
27|Camilla do Nascimento Bernardo&Marcela Cristina Oliveira Nogueira&Érika Pereira de Aquino&Sina Schmidtke&Elizandes Leal de Azeredo&Claire Fernandes Kubelka&Jochen Junker|new diagnostic methods dengue|2012|27.0
28|Mori, Jones Y.&Arias-Garcia, Janier&Sánchez-Ferreira, Camilo&Muñoz, Daniel M.&Carlos Humberto Llanos Quintero&Motta, J. M. S. T.|based omnidirectional vision sensor motion detection mobile robots|2012|28.0
30|Isabel Ferreira&Sílvia Ferreira&Isabel Ramos|relevance results research information systems technology|2012|30.0
31|Ana Cardoso&Isabel Ramos|looking past enrich future reflexion quality criteria interpretive research|2012|31.0
32|Lieda Amaral de Souza&Josevaldo Amaral Sousa&José de Anchieta Pereira Pinto Jr&Jansênio Alves Araújo Oliveira&Isabel Ramos|risk values research process|2012|32.0
33|Kelly Rosa Braghetto&João Eduardo Ferreira&Jean-Marc Vincent|performance evaluation resource processes automata networks|2012|33.0
34|Patavino, Giuseppina Maria&Busch, Michael P.&Sabino, Ester Cerdeira&De Almeida-Neto, Cesar&Liu, Jing&Wright, David J.&Mendrone-Junior, Alfredo&Ferreira, Maria Inês Lopes&de Freitas Carneiro, Anna Bárbara&Custer, Brian&João Eduardo Ferreira|number partners blood donors brazil associations donor demographics donation characteristics disease markers|2012|34.0
35|Goncalez, Thelma T.&Custer, Brian&Sabino, Ester C.&Capuani, Ligia&Liu, Jing&Wright, David J.&Walsh, Judy H.&João Eduardo Ferreira&Chamone, Dalton A.&Busch, Michael P.|blood transfusion utilization recipient survival hospital das sao brazil|2012|35.0
36|Marcela Ortega Garcia&Kelly Rosa Braghetto&Calton Pu&João Eduardo Ferreira|implementation transaction model business process systems|2012|36.0
37|João Eduardo Ferreira&Luciano Vieira de Araújo&Kelly Rosa Braghetto&Isabel Cristina Italiano&Marcio Katsumi Oikawa&Pedro Losco Takecian|long lived transaction processing business processes scientific|2012|37.0
38|Sabino, Ester C.&Busch, Michael&FOR THE NHLBI RETROVIRUS EPIDEMIOLOGY DONOR STUDY-II (REDS-I&Gonçalez, Thelma T.&Carneiro-Proietti, Anna Bárbara&Sarr, Moussa&João Eduardo Ferreira&Sampaio, Divaldo A.&Salles, Nanci A.&Wright, David J.&Custer, Brian|virus prevalence incidence risk transmission transfusions epidemiology donor study ii blood centers brazil|2012|38.0
39|Rodolfo Carneiro Cavalcante&Ig Ibert Bittencourt Santana Pinto&da Silva, Alan Pedro&Silva, Marlos&Costa, Evandro&Santos, Robério|survey security systems|2012|39.0
40|Marcel Seiji Kay&Fábio Iaione&Andréa Teresa Riccio Barbosa&Rodrigo Porfírio da Silva Sacchi&Valguima Victoria Viana Aguiar Odakura|development low cost programmable logic controller|2012|40.0
41|Arvor, Damien&Meirelles, Margareth&Dubreuil, Vincent&Shimabukuro, Yosio E.&Margareth Simões Penello Meirelles&Agnès Bégué|analyzing transition grosso brazil satellite derived indices|2012|41.0
42|Magalhães Neto, Newton&Evangelista, Heitor&Tanizaki-Fonseca, Kenny&Meirelles, Margareth Simões Penello&Garcia, Carlos Eiras&Margareth Simões Penello Meirelles|analysis sea ice|2012|42.0
43|Arvor, Damien&Dubreuil, Vincent&Margareth Simões Penello Meirelles&BÉGUÉ, AGNÈS|mapping analysis soybean frontier grosso brazil sensing data|2012|43.0
44|Fabricio Ferracioli&Maria Angelica de Oliveira Camargo Brunetto|reviewing design based discount usability engineering|2012|44.0
45|Steffen Lewitzka|semantically closed logics|2012|45.0
46|Steffen Lewitzka|construction model order logic connective reference truth|2012|46.0
47|Marcos Didonet Del Fabro&Eduardo Cunha de Almeida&Fabiano Sluzarski|teaching web application development case study computer science course|2012|47.0
48|Silva, Juarez B.&Gruber, Vilson&Roderval Marcelino|new technologies information communication remote experimenting g networks teaching support|2012|48.0
49|Vilmar Bristot&Vilson Bristot&Lirio Schaeffer&Vilson Gruber&Roderval Marcelino&Juarez Bento da Silva|school vs industry relation competencies skills|2012|49.0
50|Roderval Marcelino&Juarez Bento da Silva&Vilson Gruber&simone meister sommer bilessimo|worlds source platform integrated experimentation|2012|50.0
51|Vagner Luiz Gava&Mauro de Mesquita Spinola&Antonio Carlos Tonini&José Manuel Cárdenas Medina|cooperation model applied requirement analysis|2012|51.0
52|Flavia Peterson&Kazuo Miura&Tiago Cardoso da Fonseca&José Ricardo Pelaquim Mendes&Ivan Rizzo Guilherme&Celso K Morooka|improving safety wells risk assessment|2012|52.0
53|Jakelyne Machado Lima Silva&Cerdeira, Louise Teixeira&Bol, Erick&Schneider, Maria Paula Cruz&Silva, Artur&Azevedo, Vasco&Abelém, Antônio Jorge Gomes|scheduling algorithm computational grids minimizes centralized processing genome assembly generation sequencing data|2012|53.0
