|autores|titulo|ano|group
0|Marinalva Dias Soares&Rafael Duarte Coelho dos Santos&Nandamudi Lankalapalli Vijaykumar&Luciano Vieira Dutra|analysis user behavior difficulty labeling polygons segmented image citizen science project|2010|0.0
1|Marinalva Dias Soares&Rafael Duarte Coelho dos Santos&Nandamudi Lankalapalli Vijaykumar&Luciano Vieira Dutra|analysis user proficiency involvement citizen science project|2010|1.0
2|Marcelo Soares Pimenta&Evandro Manara Miletto&Luciano Vargas Flores&Aurélio Faustino Hoppe|cooperative mechanisms networked music|2010|2.0
3|Gabriel Alves de Albuquerque Junior&Paulo Romero Martins Maciel&Ricardo Massa Ferreira Lima&Armin Zimmermann|automatic modeling performance evaluation inventory outbound distribution|2010|3.0
4|Bruno Nogueira&Paulo Romero Martins Maciel&Eduardo Tavares&Ermeson Andrade&Ricardo Massa Ferreira Lima&Gustavo Callou&Rodolfo Ferraz|model performance energy evaluation embedded systems|2010|4.0
5|Adriano Lorena Inacio de Oliveira&Adriano Lorena Inacio de Oliveira&Ricardo Massa Ferreira Lima&Braga, Petronio L.&Cornélio, Márcio L.|ga based method feature selection parameters optimization machine learning regression applied software effort estimation|2010|5.0
6|Zheng Shi&Alan Burns&Leandro Soares Indrusiak|analysis time chip communication wormhole switching|2010|6.0
7|Sanna Määttä&Leandro Möller&Leandro Soares Indrusiak&Luciano Copello Ost&Manfred Glesner&Jari Nurmi&Fernando Gehm Moraes|joint validation application models multi abstraction network chip platforms|2010|7.0
8|Cristiane Camilo&Luciano Silva&Rafael de Alencar Segura&Juliano Schimiguel&Manuel Fernandez Paradéla Ledón&Luis Naito Bezerra&Ismar Frango Silveira|teaching programming principles game engine|2010|8.0
9|Eliezer Pereira Lopes&Elizeu Pereira Lopes|computer code aerial magnetic soundings layered media|2010|9.0
10|Dominguez, Dany S.&Francisco Bruno Souza Oliveira&Filho, Hermes Alves&Ricardo C. Barros|grid method speed ordinates penetration problems x y geometry|2010|10.0
11|Ricardo C. Barros&Filho, Hermes Alves&Platt, Gustavo M.&Oliveira, Francisco Bruno S.&Militão, Damiano S.&Francisco Bruno Souza Oliveira|reconstruction scheme mesh solution generated method particle ordinates transport model slab geometry|2010|11.0
12|Alexandre Loureiros Rodrigues&Diggle, Peter&Assuncao, Renato|approach point source modelling epidemiology criminology|2010|12.0
13|Alexandre Loureiros Rodrigues&DIGGLE, PETER J.|class convolution based models spatio temporal processes non covariance structure|2010|13.0
14|Elerson Gaetti Jardim Júnior&Angélica Cristiane Fardin&Ellen Cristina Gaetti Jardim&Alvimar Lima de Castro&Christiane Marie Schweitzer&Mário Júlio Ávila Campos|microbiota associated osteomyelitis jaws|2010|14.0
16|Marta Lima de Queirós Mattoso&Cláudia Maria Lima Werner&Guilherme Horta Travassos&Vanessa Braganholo Murta&Leonardo Gresta Paulino Murta&Eduardo Soares Ogasawara&Daniel Cardoso Moraes de Oliveira&Sérgio Manuel Serra da Cruz&Wallace Martinho|supporting life cycle large scale experiments|2010|16.0
17|Guilherme Coelho de Figueiredo&Vanessa Braganholo Murta&Marta Lima de Queirós Mattoso|processing queries distributed databases|2010|17.0
