|autores|titulo|ano|group
33|ESTELLITA LINS, MARCOS PEREIRA&Sergio Orlando Antoun Netto&DE CASTRO LOBO, MARIA STELLA|applied evaluation healthcare municipalities|2018|33.0
34|MACHADO PAIXÃO-CORTES, VANESSA&DOS SANTOS DA SILVA TANUS, MICHELE&PAIXÃO-CORTES, WALTER&DE SOUZA, OSMAR&DE BORBA CAMPOS, MARCIA&Milene Selbach Silveira|usability key factor design web server protein structure predictor|2018|34.0
35|FULLER, DANIEL BARRY&Virgilio Jose Martins Ferreira Filho&DE ARRUDA, EDILSON FERNANDES|oil industry value chain simulation learning agents|2018|35.0
36|Carla Maria Chagas Cavalcante Koike&Dianne Magalhães Viana&Flávio de Barros Vidal|engineering computer science art project based learning projects|2018|36.0
37|Carlos Alberto Bulant&BLANCO, P.J.&Alejandro Clausse&BEZERRA, C.&LIMA, T.P.&ÁVILA, L.F.R.&LEMOS, P.A.&FEIJÓO, R.A.|analogies characterization arteries|2018|37.0
38|July Silveira Gomes&Pedro Shiozawa&Quirino Cordeiro&Acioly Lacerda&Alvaro Machado Dias&Alisson Trevizol&Daniella Ducos&Ary Gadelha Araripe Neto&Bruno Ortiz&Ana Fonseca&Henrique Teruo Akiba&Caroline Azevedo&Luciano Guimarães|effects stimulation working memory symptoms schizophrenia phase ii randomized sham controlled trial|2018|38.0
39|Valderi Leithardt&Luiz Henrique Andrade Correia&Guilherme Borges&Anubis Rossetto&Carlos Oberdan Rolim&Claudio Geyer&Silva, Jorge Sa|mechanism privacy management based data history|2018|39.0
40|BATISTA, BRUNO GUAZZELLI&KUEHNE, BRUNO TARDIOLE&Dionisio Machado Leite Filho&PEIXOTO, MAYCON LEONE MACIEL|security overhead service automatic resource management performance analysis|2018|40.0
41|SARDINHA, ROOSEVELT&Aline Marins Paes Carvalho&ZAVERUCHA, GERSON|revising structure bayesian network classifiers presence missing data|2018|41.0
42|MARTINS, DANIEL&VIANNA, GABRIEL M.&Isabel Cristina Mello Rosseti&MARTINS, SIMONE L.&Plastino, Alexandre|making state art heuristic faster data mining|2018|42.0
44|BINDILATTI, ANDRÉ A.&VIEIRA, MARCELO A.C.&Nelson Delfino d'Ávila Mascarenhas|poisson wiener filtering weighted estimation distances|2018|44.0
45|PEDRO AUGUSTO DE ALAGÃO PENNA&Nelson Delfino d'Ávila Mascarenhas|homomorphic approaches intensity sar images means distances|2018|45.0
46|Fernanda Felipe Pautasso&de Medeiros Zelmanowicz&Cecilia Dias Flores&CAREGNATO, RITA C. A.|role nurse navigator review|2018|46.0
47|BRAZ, LARISSA&GHEYI, ROHIT&MONGIOVI, MELINA&RIBEIRO, MÁRCIO&MEDEIROS, FLÁVIO&TEIXEIRA, LEOPOLDO&Sabrina de Figueiredo Souto|change aware file analysis compile systems|2018|47.0
48|Sabrina de Figueiredo Souto&D?AMORIM, MARCELO|time space regression testing systems|2018|48.0
49|RODRIGUES, THIAGO NASCIMENTO&Maria Claudia Silva Boeres&CATABRIGA, LUCIA|parallel implementations algorithm bandwidth reduction sparse matrices|2018|49.0
52|MARINO, TIAGO&Maria Luiza Machado Campos&BORGES, MARCOS R.S.&BRESLIN, JOHN G.&DABROWSKI, MACIEJ|architecture gathering integrating information decision support emergency situations|2018|52.0
53|SILVA, DIEGO F.&Rafael Giusti&KEOGH, EAMONN&BATISTA, GUSTAVO E. A. P. A.|speeding similarity search time warping pruning alignments|2018|53.0
54|PRADO, MARLLOS PAIVA&Auri Marcelo Rizzo Vincenzi|support unit testing study practitioners|2018|54.0
55|Gustavo G. H. Almeida&Eduardo Henrique da Rocha Coppoli&Eduardo Nunes Gonçalves&Úrsula do Camo Resende&AFONSO, MARCIO M.|traffic flow management phone network optimization|2018|55.0
56|GONÇALVES, BÁRBARA MARA FERREIRA&AFONSO, MÁRCIO MATIAS&Eduardo Henrique da Rocha Coppoli&RAMDANE, BRAHIM&MARECHAL, YVES|application mixed finite element natural element method|2018|56.0
57|Marcos Vinicius Cardoso&Huoston Rodrigues Batista&Ernani Marques da Silva&Marcos Antonio Gaspar&Ivanir Costa&Fabio Falchi Magalhães|co creation game industry case study developer|2018|57.0
60|Raoni Simões Ferreira&PIMENTEL, MARIA DA GRAÇA&CRISTO, MARCO|prediction model based combination latent monadic features|2018|60.0
61|COSTA, WILIAN FRANÇA&RIBEIRO, MARIANE&Antonio Mauro Saraiva&IMPERATRIZ-FONSECA, VERA LUCIA&GIANNINI, TEREZA CRISTINA|diversity carajas national forest eastern amazon impacts ecosystem services climate change|2018|61.0
62|PEDROSO, MARCELO A.&Lucas Hermann Negri&KAMIZI, MARCOS A.&FABRIS, J. L.&Marcia Muller|tactile sensor array fiber gratings quasi distributed sensing|2018|62.0
63|WANG, YUJUAN&Lucas Hermann Negri&CHIAMENTI, ISMAEL&ABE, ILDA&KALINOWSKI, HYPOLITO JOSÉ|automated system laser writing structures|2018|63.0
64|Eduardo Pereira da Silva&Sandro Laudares&Matheus Pereira Libório&Marianna Petrovna Ekel|criminality spatial dynamic city|2018|64.0
65|Flávio Rubens de Carvalho Sousa&Moreira, Leonardo O.&COSTA FILHO, JOSÉ S.&Machado, Javam C.|replication databases cloud|2018|65.0
66|BESSY, STÉPHANE&Mitre Costa Dourado&PENSO, LUCIA D.&Rautenbach, Dieter|geodetic hull number chordal graphs|2018|66.0
67|Victor Almeida Campos&Silva, Ana|edge b coloring trees|2018|67.0
69|Éverton Guimarães&Santiago Vidal&Alessandro Fabricio Garcia&Andrés Díaz Pace&Claudia A. Marcos|exploring architecture blueprints code anomalies experiences tool support|2018|69.0
70|Leonardo da Silva Sousa&Rafael Maiani de Mello&Diego Cedrim&Alessandro Fabricio Garcia&Paolo Missier&Anderson Uchôa&Anderson Oliveira&Alexander Romanovsky|information system preventing combating mosquito borne diseases social networks|2018|70.0
71|GOULART, FERNANDO&GALÁN, ÁNGEL LEYVA&NELSON, ERIN&Britaldo Silveira Soares Filho|conservation lessons cuba connecting science policy|2018|71.0
73|VIEIRA, RAÍSA ROMÊNIA S.&RIBEIRO, BRUNO R.&RESENDE, FERNANDO M.&BRUM, FERNANDA T.&MACHADO, NATHÁLIA&SALES, LILIAN PATRÍCIA&MACEDO, LARA&Britaldo Silveira Soares Filho&LOYOLA, RAFAEL|compliance brazil forest code protect ecosystem services|2018|73.0
74|MIRANDA, MÁRCIO ASSIS&RIBEIRO, MARCOS GUILHERME&Humberto Torres Marques Neto&Mark Alan Junho Song|domain language generation models|2018|74.0
75|Marcelo Azevedo Costa&Raoni Guerra Lucas Rajão&Marcelo Stabile&Andrea A Azevedo&Juliano Correa|epidemiologically inspired approaches land use policy evaluation influence rural environmental registry car deforestation brazilian amazon|2018|75.0
76|Carolina Silva Pena&Marcelo Azevedo Costa&Rívert Paulo Braga Oliveira|item response theory model adjust data allowing examinee choice|2018|76.0
77|MONÇORES, MARLON C.&ALVIM, ADRIANA C.F.&Márcio de Oliveira Barros|large neighborhood search applied software module clustering problem|2018|77.0
