|autores|titulo|ano|group
1|RADDICK, M. JORDAN&THAKAR, ANI R.&SZALAY, ALEXANDER S.&Rafael Duarte Coelho dos Santos|years ii astronomers public embraced e science|2014|1.0
2|Fernanda Sayuri Yamasaki&NETO, LAURO PAULO SILVA&ROSSI, JOSE OSVALDO&BARROSO, JOAQUIM J.|soliton generation nonlinear transmission lines|2014|2.0
3|Ivo Wolff Gersberg&F., NELSON|strategy start domain ontology scratch|2014|3.0
4|Milton Ernesto Romero Romero&MARTINS, EVANDRO MAZINA&RIBEIRO DOS SANTOS, RICARDO&GONZALEZ, MARIO ENRIQUE DUARTE|universal set gates synthesis multiple valued logic digital circuits|2014|4.0
5|COUTO, CESAR&PIRES, PEDRO&VALENTE, MARCO TULIO&Roberto da Silva Bigonha&ANQUETIL, NICOLAS|predicting software defects causality tests|2014|5.0
6|COUTO, CESAR&VALENTE, MARCO TULIO&PIRES, PEDRO&HORA, ANDRE&ANQUETIL, NICOLAS&Roberto da Silva Bigonha|granger tool visualizing predicting bugs granger causality tests|2014|6.0
7|REIS, LEONARDO V.S.&Roberto da Silva Bigonha&DI IORIO, VLADIMIR O.&AMORIM, LUIS EDUARDO S.|formalization implementation adaptable parsing expression grammars|2014|7.0
8|Leandro Soares Indrusiak|end end tests multiprocessor embedded systems based networks chip priority preemptive arbitration|2014|8.0
9|Karla T L Figueiredo&Marley M B R Vellasco&MArco Aurelio C Pacheco&Flavio Joaquim de Souza|hierarchical fuzzy models based reinforcement learning autonomous agents|2014|9.0
10|BARBOSA, GERSON LAURINDO&DONALÍSIO, MARIA RITA&Celso Stephan&LOURENÇO, ROBERTO WAGNER&ANDRADE, VALMIR ROBERTO&ARDUINO, MARYLENE DE BRITO&LIMA, VIRGILIA LUNA CASTOR DE|distribution risk dengue entomological indicators state sao brazil|2014|10.0
11|CHIARELLO, MARCOS A.&EMER, MARIA CLÁUDIA F. P.&Adolfo Gustavo Serra Seca Neto|approach software requirements elicitation based model notation business process|2014|11.0
12|Vitor Augusto Machado Jorge&DA SILVA, TATIANA S.&KOLBERG, MARIANA&ABEL, MARA&PRESTES, EDSON&Vitor Fortes Rey&MAFFEI, RENAN&FIORINI, SANDRO RAMA&Joel Luis Carbonera&BRANCHI, FLORA&MEIRELES, JOÃO P.&FRANCO, GUILHERME S.&FARINA, FLÁVIA|exploring ieee ontology robotics automation agent interaction|2014|12.0
13|FIORINI, SANDRO RAMA&RAGAVAN, VEERA&LI, HOWARD&SCHLENOFF, CRAIG&PRESTES, EDSON&Joel Luis Carbonera&GONÇALVES, PAULO&Vitor Augusto Machado Jorge&REY, VÍTOR FORTES&HAIDEGGER, TAMÁS&ABEL, MARA&REDFIELD, SIGNE A.&BALAKIRSKY, STEPHEN|extensions core ontology robotics automation|2014|13.0
16|Antônio Vicente Lourenço Dâmaso&ROSA, NELSON&MACIEL, PAULO|reliability wireless sensor networks|2014|16.0
17|Antônio Vicente Lourenço Dâmaso&ROSA, NELSON&MACIEL, PAULO|coloured petri nets evaluating power consumption wireless sensor networks|2014|17.0
20|Luciana Pereira de Araújo&Márcio José Mantau&Jucilane Rosa Citadin&Carla Diacui Medeiros Berkenbrock&Avanilde Kemczinski&GIAN R. BERKENBROCK&Mauro Marcelo Mattos|heuristic evaluation mobile evaluating audience response systems|2014|20.0
