codInstituicao|sigla|nomeInstituicao
454900000001|ILTC|Instituto de Lógica Filosofia e Teoria da Ciência
J2XY00000004|AGX|AGX Tecnologia
JAT100000003|QI|QI Escolas e Faculdades
047700000000|IFMA|Instituto Federal do Maranhão
028700000003|PETROBRAS|Petróleo Brasileiro - Rio de Janeiro - Matriz
JFEM00000000|PSR|PSR Power Systems Research
164000000003|U.T. III|Universite de Toulouse III (Paul Sabatier)
003600000995|IFET-SP|Instituto Federal de Educação, Ciência e Tecnologia
000800000994|CETENE|Centro de Tecnologias Estratégicas do Nordeste
861000000003|FUCAPI|Fundação Centro de Análise Pesquisa e Inovação Tecnológica
J1OR00000000|IFSULDEMINAS|Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais
273000000009|IFF|Instituto Federal Fluminense
002700000000|IFBA|Instituto Federal da Bahia
J2DM00000000|INESUL|Instituto de Ensino Superior de Londrina
297600000007|CNES|Centre Nationale D'Etudes Spatiales
233600000000|UPV|Universitat Politècnica de València
547600000000|U.DAR ES SALAAM|University Of Dar Es Salaam
423400000002|UNIJUI|Universidade Regional do Noroeste do Estado do Rio Grande do Sul
342800000000|UNICENTRO|Universidade Estadual do Centro-Oeste
HUOX00000003|UNICV|Universidade de Cabo Verde
489900000004|CEFET/MT|Instituto Federal de Educação, Ciência e Tecnologia de Mato Grosso
I1Y900000008|ULS|Universidade Lusíada de Angola
985600162083|ANA|Agência Nacional de Águas
134600000002|MCGILL|McGill University
881500000007|COFEN|Conselho Federal de Enfermagem
J4RL00000006|STJ|Superior Tribunal de Justiça
J01K00000006|DCTA|Departamento de Ciência e Tecnologia Aeroespacial
083900000000|COPEL|Companhia Paranaense de Energia
IZKT00000004|TV GLOBO|Rede Globo - Matriz
426500000009|IFPI|Instituto Federal do Piauí
128400000004|SUSSEX|University of Sussex
002000000996|IFC|Instituto Federal de Educação, Ciência e Tecnologia Catarinense
054500000009|BTU|Brandenburgische Technische Universität Cottbus - Senftenberg
004700000006|CENPES|Centro de Pesquisa e Desenvolvimento Leopoldo Américo Miguêz de Mello
IX8Z00000008|FAIS|Faculdades Integradas de Sorriso
158800000003|UNL|Universidade Nova de Lisboa
852000000004|CERTI|Fundação CERTI
J32200000000|UFFS|Universidade Federal da Fronteira Sul
JN9G00000004|NEOWAY|Neoway Assessoria e Negócios
010200000001|UCPEL|Universidade Católica de Pelotas
166100000001|IFPA|Instituto Federal de Educação, Ciência e Tecnologia do Pará
870200000006|IPqM|Instituto de Pesquisas da Marinha
841500000008|UNEMAT|Universidade do Estado de Mato Grosso
002600000008|IBICT|Instituto Brasileiro de Informação em Ciência e Tecnologia
306200000002|UNIP|Universidade Paulista
I22A00000002|UFRB|Universidade Federal do Recôncavo da Bahia
531000000002|UNISC|Universidade de Santa Cruz do Sul
100400000004|FEESR|Centro Universitário Euripedes de Marília
885400000008|UNILASALLE|Universidade La Salle - Canoas
580200000004|FIB|Centro Universitário da Bahia
002400000004|UNIVALE|Universidade Vale do Rio Doce
321500000001|FAU/Boca Raton|Florida Atlantic University - Boca Raton
J1HP00000001|IFPR|Instituto Federal do Paraná
352200000006|INRIA-SIEGE|Institut National de Recherche en Informatique et en Automatique
173400000000|UNICAP|Universidade Católica de Pernambuco
436000000007|FACIG|Faculdade de Ciências Humanas e Sociais de Igarassu
000900000007|UNISINOS|Universidade do Vale do Rio dos Sinos
IXPS00000009|CTDUT|Centro de Tecnologia em Dutos
174400000008|USCS|Universidade Municipal de São Caetano do Sul
017500000004|EMBRAER|Empresa Brasileira de Aeronáutica
446900000000|UFCG|Universidade Federal de Campina Grande
420700000003|CTI|Centro de Tecnologia da Informação Renato Archer
661500000000|IF SUDESTE MG|Instituto Federal do Sudeste de Minas Gerais
577300000006|UNIVASF|Universidade Federal do Vale do São Francisco
138400000001|U.H.|Universitat Hannover
J1LW00000007|UCI|Universidad de las Ciencias Informáticas
002900000992|CEEE-GT|Companhia Estadual de Geração e Transmissão de Energia Elétrica
553800000008|UNIOESTE|Universidade Estadual do Oeste do Paraná
JGDG00000007|PLAN4|PLAN4 Engenharia
303400000001|UniCEUB|Centro Universitário de Brasília
AK7J00000004|UCSP|Universidad Católica San Pablo
JAUT00000004|FIRB|Faculdades Integradas Rui Barbosa
985600205726|DCT/EB|Departamento de Ciência e Tecnologia - Exército Brasileiro
834200000000|POLOVALE|Fundação Polo Tecnológico de São José dos Campos e Vale do Paraíba
624800000000|VON BRAUN|Centro de Pesquisas Avançadas Wernher Von Braun
JJME00000007|IBIS_FORN|IBM BRASIL IND.MAQ. E SERVICOS LTDA
754000000004|UNIR|Universidade Federal de Rondônia
985600154625|BROADCOM|Broadcom Corporation
005800000006|IMPA|Associação Instituto Nacional de Matemática Pura e Aplicada
JL8A00000000|UPESH|University of Peshawar
823700000003|UNOPAR|Universidade Norte do Parana
J2CO00000006|UCL|Université Catholique de Louvain f
985601451089|BSU|Belarusian State University
IVVN00000002|ENDEEPER|LHB Soluções em Informações e Métodos
192500000008|UNIUBE|Universidade de Uberaba
167600000009|LACTEC|Institutos Lactec
985600222302|PMA/SA|Prefeitura Municipal de Araras
037700000002|FAPESP|Fundação de Amparo à Pesquisa do Estado de São Paulo
422500000006|IFAL|Instituto Federal de Alagoas - Matriz
JIDJ00000007|UFSB|Universidade Federal do Sul da Bahia
IYG900000006|INRIA-RENNES|Centre de recherche Inria Rennes - Bretagne Atlantique
J44200000003|INEA|Instituto Estadual do Ambiente
377800000002|UVV|Universidade Vila Velha
529700000003|SENAI/DR/BA|SENAI - Departamento Regional da Bahia
J1T800000003|UPMC|Université Pierre et Marie Curie
001800000992|COC|Faculdade Interativa COC
985600151081|UCLV|Universidad Central  Marta Abreu de Las Villas
JM7R00000002|UNIVESP|Universidade Virtual do Estado de São Paulo
775700000000|NTNU|Norwegian University of Science and Technology
554300000007|UCB/DF|Universidade Católica de Brasília
003200000998|IMED|Faculdade Meridional
265700000000|U.OTTAWA|University of Ottawa
162900000003|LAAS|Laboratoire d'Analyse et d'Architecture des Systemes
431100000008|UEA|Universidade do Estado do Amazonas
151500000000|MIAMI|University of Miami
898500000001|CEPLAC|Comissão Executiva do Plano da Lavoura Cacaueira
855700000001|KTH|Royal Institute of Technology
007700000000|INCA|Instituto Nacional de Câncer
920407000005|LBL|Lawrence Berkeley National Laboratory
985603000998||Diretoria de Informações Estratégicas
128500000006|BRUNEL|Brunel University
236000000004|USC|Universidad de Santiago de Compostela - Campus Santiago
012600000005|CEPEL|Centro de Pesquisas de Energia Elétrica
217800000002|U.B.|Bielefeld University
749000000008|UESB|Universidade Estadual do Sudoeste da Bahia
413700000000|FHEMIG|Fundação Hospitalar do Estado de Minas Gerais
080300000004|UEMS|Universidade Estadual de Mato Grosso do Sul
J3E400000000|IFMS|Instituto Federal de Educação, Ciência e Tecnologia de Mato Grosso do Sul
J1WM00000005|UEZO|Centro Universitário Estadual da Zona Oeste
J2X600000008|RIOTERRA|Centro de Estudos da Cultura e do Meio Ambiente da Amazônia - Rio Terra
160300000006|MD|Ministério da Defesa
279100000000|WPI|Worcester Polytechnic Institute
567200000007|UNIVALI|Universidade do Vale do Itajaí
985600168510|FEAN|Faculdade Energia de Administração e Negócios
544800000009|USS|Universidade Severino Sombra
396300000000|UCD|University College Dublin
027500000001|INT|Instituto Nacional de Tecnologia
643200000006|T.U.|Tamagawa University
409800000004|INTELBRAS|Intelbras S/A
IZEE00000008|ICMBio|Instituto Chico Mendes de Conservação da Biodiversidade
811900000003|UFRR|Universidade Federal de Roraima
J2CS00000003|ETEP|ETEP Faculdades
003000000994|MS DATASUS|Ministério da Saúde - DATASUS
I1YQ00000002|UJI|Universitat Jaume I
J3BD00000003|IASU|Inteligência Aplicada a Sustentabilidade Ambiental
985604785212|INRIA|INRIA - Sophia Antipolis
J1T000000009|CENSIPAM|Centro Gestor e Operacional do Sistema de Proteção da Amazônia
066300000009|IPEA|Instituto de Pesquisa Econômica Aplicada - DF
179800000006|CESUMAR|Centro de Ensino Superior de Maringá
431500000005|FEPESE|Fundação de Estudos e Pesquisas Sócio-Econômicas
065800000000|IBU|Instituto Butantan
133400000000|UALBERTA|University of Alberta
JI7500000002|UFCA|Universidade Federal do Cariri
235100000008|US|Universidad de Sevilla
IZT700000004|EPE|Empresa de Pesquisa Energética
139600000003|WWU MÜNSTER|Westfälische Wilhelms - Universität Münster
083800000008|UCALGARI|University of Calgary
IZCM00000008|ITERA|Itera Inovação e Desenvolvimento Tecnológico
454100000007|UniFOA|Centro Universitário de Volta Redonda
031200000004|SENAI/DN|SENAI - Departamento Nacional
023500000009|FJP|Fundação João Pinheiro
J8UM00000000|KIDOPI|Kidopi - Soluções em Informática Médica
047900000003|CP II|Colégio Pedro II
154600000007|UNITAU|Universidade de Taubaté
J1UJ00000001|KONATUS|Konatus Soluções Inteligentes
099200000003|CTEx|Centro Tecnológico do Exército
339500000004|U.CENTRAL|Universidad Central de Venezuela
336700000003|STAFFORD*|Staffordshire University
JLUP00000004|ATECH|Atech - Negócios em Tecnologias
931039000009||Siemens Corporate Research
183300000005|UEG|Universidade Estadual de Goiás
JPXB00000000|BRAVI|Bravi Software
985600083426|IBM - RESEARCH|IBM - T.J. Watson Research Center
127800000003|WARWICK|University of Warwick
027200000006|INPI|Instituto Nacional da Propriedade Industrial
244300000000|U.T.|University of Tsukuba
J22900000005|GPE|GPE Gestão de Processos Estratégicos e Tecnologia da Informação
341800000001|UW|University of Wyoming
338300000002|CNR|Consiglio Nazionale delle Ricerche
150300000009|ISU|Iowa State University
IZKE00000005|UNILASALLE|Centro Universitário La Salle - Niterói
IZHA00000005|BWH - HMS|Brighan and Women´s Hospital-Harvard Medical Scho
586200000003|SENADO|Senado Federal
028000000000|MEC|Ministério da Educação
081500000006|USC|Universidade do Sagrado Coração
JLDY00000007|UNIFESSPA|Universidade Federal do Sul e Sudeste do Pará
002200000990|WSU|Western Sydney University
985600191482|CEA/SACLAY|Commissariat à la Énergie Atomique - Saclay
IASH00000000|UZ|University of Zurich
J3LX00000003|ELABORA|Elabora Consultoria e Participações
466600000000|LANCASTER|Lancaster University
J7QP00000007|RN TECNOLOGIA|RN Tecnologia
829000000000|UNIMONTES|Universidade Estadual de Montes Claros
J0QJ00000003|BTH|Blekinge Institute of Technology
JAVJ00000002|FIAP|Faculdade de Informática e Administração Paulista
530400000001|IFNMG|Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais
371700000001|CIMS|Courant Institute
438300000009|UNICEP|Centro Universitário Central Paulista
802500000007|POLI/USP|Escola Politécnica da Universidade de São Paulo
J84R00000001|NIC.BR|Núcleo de Informação e Coordenação do Ponto BR
524500000009|IESAM / ORPES|Instituto de Estudos Superiores da Amazônia
819000000002|UNCISAL|Universidade Estadual de Ciências da Saúde de Alagoas
045000000000|CAPES|Coordenação de Aperfeiçoamento de Pessoal de Nível Superior
020100000007|UNIVATES|Centro Universitário Univates
281900000006|UNIV-AVIGNON|Université d'Avignon et des Pays de Vaucluse
514300000008|DHB*|Deutsches Herzzentrum Berlin
145800000001|S.U.N.Y.|State University of New York
JMY600000006|LNU|Linnéuniversitetet - Växjö
051600000006|MCTI|Ministério da Ciência, Tecnologia e Inovação
IXVS00000006|UVIC|Universitat de Vic
025500000005|UNIVERSO|Universidade Salgado de Oliveira
410300000009|IFRJ|Instituto Federal de Educação, Ciência e Tecnologia do Rio de Janeiro
J86S00000000|SEA|Samsung Eletrônica da Amazônia
985601000990|DSG|Diretoria de Serviço Geográfico
468600000006|SOCIESC|Sociedade Educacional de Santa Catarina
173800000007|FUMEC|Universidade FUMEC
577000000000|POSITIVO|Universidade Positivo
985600186160|Ci&T|Ci&T Software
130300000004|UNIBO|Università di Bologna
431200000000|UERGS|Universidade Estadual do Rio Grande do Sul
013800000007|UnP|Universidade Potiguar
572000000000|UNIVILLE|Universidade da Região de Joinville
117700000004|UNIGRANRIO|Universidade do Grande Rio
163300000000|CNRS|Centre National de la Recherche Scientifique
159000000007|UCP|Universidade Católica de Petrópolis
091400000001|CESAR|Centro de Estudos e Sistemas Avançados do Recife
0OUA00000000|FAE|Centro Universitário Franciscano do Paraná
901900000002|HP|Hewllet Packard Co.
288900000003|ETHZ|Eidgenossische Technische Hochschule Zurich
246300000007|UA|Universidade de Aveiro
286200000004|FAEF|Faculdade de Agronomia e Engenharia Florestal
007901000997|UNICAMP|Instituto de Computação
070300000007|IRD|Institut de Recherche pour le Développement
IYGR00000002|ICSI|International Computer Science Institute
832500000009|UENF|Universidade Estadual do Norte Fluminense Darcy Ribeiro
637600000009|CEA/GRENOBLE|Commissariat à l'Energie Atomique - Grenoble
JSW500000001|IFRJ|Instituto Federal do Rio de Janeiro
985600112302|NII|National Institute of Informatics
558400000001|ENSMP|Ecole Nationale Supérieure des Mines de Paris
375700000004|UCB/RJ|Universidade Castelo Branco
J01T00000002|FREESCALE|Freescale Semicondutores Brasil
IZHD00000000|ERICSSON|Ericsson Telecomunicações - Matriz
IW9W00000003|IFBAIANO|Instituto Federal de Educação, Ciência e Tecnologia Baiano
482100000002|ESPM|Escola Superior de Propaganda e Marketing
835400000001|FUMSOFT|Sociedade Mineira de Software
237500000001|UVHC|Université de Valenciennes et du Hainaut-Cambrésis
013700000005|GOVERNO/CE|Governo do Estado do Ceará
288200000000|UCDB|Universidade Católica Dom Bosco
906900000003|MC*|Microsoft Corporation
J8RJ00000000|UAITI|UAI Tecnologia da Informação
558800000009|IFMT|Instituto Federal de Mato Grosso
570300000009|HP BRASIL|Hewlett-Packard Brasil - Matriz
IUWN00000003|PNU|Pusan National University
198400000005|QUB|Queen's University of Belfast
J1OA00000008|FDV|Faculdade de Viçosa
156300000008|UNI/Leipzig|Universität Leipzig
824500000008|UIB|Universitat de Les Illes Balears
153700000000|RIT|Rochester Institute of Technology
833700000000|UEMG|Universidade do Estado de Minas Gerais
985603981719|CERENA/IST|Instituto Superior Técnico de Lisboa
JDNO00000001|CLAVIS|Clavis Segurança da Informação
127900000005|NCL|Newcastle University
004000000992|FUKUDA|Fukuda Solutions
985600043211|UNICARIOCA|Centro Universitário Carioca
134000000001|UWO|The University of Western Ontario
163600000006|INPG|Institut National Polytechique de Grenoble
752200000001|UMESP|Universidade Metodista de São Paulo
J1AZ00000004|LSITEC NORDESTE|Associação do Laboratório de Sistem Integráveis Tecnológico Nordeste
002500000995|IBM BR-L|IBM Research Brazil
129600000006|MANCHESTER|University of Manchester
JP0L00000006|UCL|University College London
246100000003|U.PORTO|Universidade do Porto
247800000004|JAVERIANA|Pontificia Universidad Javeriana - Bogotá
