codInstituicao|sigla|nomeInstituicao
229200000005|U.O.|University of Ottawa
IX2400000007|IMED|Faculdade Meridional
715500000002|M.C|Moravian College
227900000001|Wits University|University of the Witwatersrand
IXOS00000000|FCV|Faculdade Cidade Verde
J9VG00000002|FH/Münster|Fachhochschule Münster
487300000007|FACVEST|Centro Universitário FACVEST
425400000009|FTC|Faculdade de Tecnologia e Ciências de Salvador
225600000000|TOKYO TECH|Tokyo Institute of Technology - Ookayama Campus
128200000000|BIRMINGHAM|University of Birmingham
010500000996|TCU|Tribunal de Contas da União
985600188120|UNIFIL|Centro Universitário Filadélfia
JAXU00000002|IBRATEC|Faculdade de Tecnologia IBRATEC
024500000007|GOVERNO/SP|Governo do Estado de São Paulo
JGNL00000008|UT Austin|The University of Texas at Austin
J1X400000007|ERASMUS|Erasmus University Rotterdam
410700000006|UNIVIE|Universität Wien
006500000998|EMATER-GO|Agência Goiana de Assistência Técnica, Extensão e Pesquisa Agropecuária
JTTU00000007|CEMADEN|Centro Nacional de Monitoramento e Alertas de Desastres Naturais
023100000001|IAPAR|Instituto Agronômico do Paraná
015100000000|CPRM/DF|Companhia de Pesquisa de Recursos Minerais
952200000004|HSPH|Harvard School of Public Health
IXSB00000000|ATENATEC|Atenatec Soluções Tecnológicas
985600073560|FATEC-SP|Faculdade de Tecnologia de São Paulo, CEETEPS
I3CN00000005|MPOG|Ministério do Planejamento, Orçamento e Gestão
399700000001|TOLEDO PRUDENTE|Centro Universitário Antônio Eufrásio de Toledo de Presidente Prudente
589100000006|FASETE|Faculdade Sete de Setembro
024300000003|FURNAS|Furnas - Centrais Elétricas S/A
930846000007|UPF|Universitat Pompeu Fabra
IXOT00000002|FAPEG/GO|Fundação de Amparo a Pesquisa do Estado de Goiás
985601345670|UNAM|UNAM- Universidad Nacional Autónoma de México.
090800000000|UH*|Universite de Havre
477500000003|IJURIS|Instituto de Governo Eletrônico, Inteligências e Sistemas
IVKH00000001|OBRAP|Organização Brasileira de Recuperação Ambiental Assistência e Pesquisa
JE7B00000006|VUmc|University Medical Center Utrecht
006100000001|FGV-SP|Fundação Getulio Vargas - SP
145000000007|MIT|Massachusetts Institute of Technology
152500000009|U.T.S.|University of Texas System
JE7I00000009|TACOMA|University of Washington Tacoma
120600000002|UNIPAR|Universidade Paranaense
167800000002|CUFSA|Centro Universitário Fundação Santo André
985600187930|ANATEL|Agência Nacional de Telecomunicações
730500000006|WISC|University of Wisconsin - Madison
J10R00000008|SEAPI|Secretaria da Agricultura, Pecuária e Irrigação/RS
810400000006|UNIT|Universidade Tiradentes
311200000009|UEN*|Universitat Erlangen-Nurnberg (Friedrich-Alexander)
143300000006|PENNSYLVANIA|Pennsylvania State University
985600186179|SOFTIUM|Softium Informática
IVMG00000006|MGS|Manifesto Game Studio
489200000001|UNIMAR|Universidade de Marília
456700000004|UniRITTER|Centro Universitário Ritter dos Reis
985600153742|USI|University of Lugano
282200000001|EEP-FUMEP|Escola de Engenharia de Piracicaba
J4D600000002|UNILAB|Universidade da Integração Internacional da Lusofonia Afro-Brasileira
127000000009|CANTERBURY|University of Kent at Canterbury
099800000004|UNAM|Universidad Nacional Autónoma de Mexico
008400000003|INPA|Instituto Nacional de Pesquisas da Amazônia
007400000994|FAERO AEROTD|FAERO AeroTD
093700000003|SDU|University of Southern Denmark
151800000006|DUKE|Duke University
107800000009|UTAH|University of Utah
IWUM00000000|FB UNI|CENTRO UNIVERSITÁRIO FARIAS BRITO
838400000006|BPCF|Universite Blaise Pascal Clermont Ferrand
JFLK00000002|i2CAT|Fundació i2CAT
155800000009|FAAP|Fundação Armando Álvares Penteado
IYNL00000007|DNIT|Departamento Nacional de Infraestrutura de Transportes
J21B00000002|Mundo|Mundo Afora consultoria, cursos e comunicação Ltda
364100000008|PMF|Prefeitura Municipal de Fortaleza
374700000006|UTAS|University of Tasmania
JES800000007|HAAGA-HELIA|Haaga-Helia University of Applied Sciences
785800000009|UNAERP|Universidade de Ribeirão Preto
IYTH00000007|EETIPF|Escola Estadual Técnico Industrial Professor Fontes
123900000002|SPB|Sociedade Portuguesa da Beneficencia
196500000000|UNS|Universidad Nacional del Sur
134900000008|UNC|Universidad Nacional de Cordoba
088200000008|BRASKEM/BA|Braskem - Camaçari - Eteno
985600208989|SIEMENS|Siemens Ltda
108800000007|UC System|University of California System
869000000009|FUNDAJ|Fundação Joaquim Nabuco
415200000008|ELDORADO|Instituto de Pesquisas Eldorado - Brasília
133800000008|UBC|University of British Columbia
128300000002|U.WALES|University of Wales
411900000008|RUNIV*|Rutgers University
627100000002|UNOESC|Universidade do Oeste de Santa Catarina
J4KN00000002|UEZO|Centro Universitário da Zona Oeste
579700000000|IAMSPE|Instituto de Assistência Médica ao Servidor Público Estadual
JIEJ00000005|HIDRAINFO|Hidrainfo Consultoria e Serviços
J9E400000003|UNICA|Università degli Studi di Cagliari
126700000003|UR|University of Reading
JF6E00000000|INESC P&D BRASIL|INESC P&D Brasil - Instituto de Engenharia de Sistemas
JCTA00000006|ISAE|Institut Supérieur de l'Aéronautique et de l'Espace
140700000009|PUCP|PONTIFICIA UNIVERSIDAD CATÓLICA DEL PERÚ
002800000990|SENAC_SP|Centro Universitário Senac
219100000006|UNAL|UNIVERSIDAD NACIONAL DE COLOMBIA
J32500000005|PARIS OUEST|Université Paris-Ouest Nanterre la Défense
J18700000003|MB|Marinha do Brasil
J25800000008|Heudiasyc|Heuristique et Diagnostic des Systèmes Complexes
J11F00000002|FASAP|Faculdade Santo Antônio de Pádua
142000000002|ENCE|Escola Nacional de Ciências Estatísticas
212700000000|U.OSLO|University Of Oslo
157800000005|U.MELBOURNE|The University of Melbourne
449300000004|UNIPAC|Universidade Presidente Antônio Carlos
890300000002|AEB|Agência Espacial Brasileira
139000000002|KIT|Karlsruher Institut für Technologie
046700000001|CEF/DF|Caixa Econômica Federal
595100000000|IAEASEB|Instituição Adventista de Educ. e Assist. Social Este Brasileira
574900000002|USACH|Universidad de Santiago de Chile
JA2300000000|CEMADEN|Centro Nacional de Monitoramento e Alertas de Desastres Naturais
G8FL00000000|UP|Universidade Pedagógica - Moçambique
985600141027|UFCG|Universidade Federal de Campina Grande
000200000004|UFTM|Universidade Federal do Triângulo Mineiro
147400000000|UK|University of Kentucky
862500000000|UC3M|Universidad Carlos III de Madrid
158400000006|UTL|Universidade Técnica de Lisboa
IW6U00000005|ZHAW|Zurich University of Applied Sciences
390600000006|IF-Sertão PE|Instituto Federal do Sertão Pernambucano
243000000007|ASTON|Aston University
161500000008|UL (Nancy-Univ)|Université de Lorraine
985601132692|UTP|Universidad Tecnológica de Pereira
015300000004|CSN|Companhia Siderúrgica Nacional
198800000002|KYOTO|Kyoto University
JDIM00000009|TRF/4ª Região|Tribunal Regional Federal da 4ª Região
252600000007|WUSTL|Washington University in Saint Louis
377200000001|CEULP|Centro Universitário Luterano de Palmas
IVLC00000000|GZEROTEC|G-Zero Tecnologia
754400000001|CU|Charles University in Prague
985601345858|di|teste di ddd
473900000008|UNIJORGE|Centro Universitário Jorge Amado
060100000006|UCAM|Universidade Candido Mendes
078100000009|STANFORD|Stanford University
F3PO00000002|GAPSO|GAPSO Serviços de Informática
JRQO00000005|IPDEC/AM|Instituto de Inovação, Pesquisa, Desenvolv. Científico e Tecnológico - AM
891200000009|UNISA|Universidade de Santo Amaro
225300000004|ITESM|Instituto Tecnologico Y de Estudios Superiores de Monterrey
812100000007|NEWCASTLE|The University of Newcastle Australia
IZG300000002|Texas A & M|Texas Agricultural & Mechanics University
985600150468|IRSTEA|Institut national de recherche en sciences et technologies pour l'environne
JNJP00000002|UTAD|Universidade de Trás-os-Montes- Alta Douro
192900000005|UEP|Universidade do Estado do Pará
IZ1G00000007|FEMAR|Fundação de Estudos do Mar
