id_autor|area|subarea|esp
16513273272803|Probabilidade e Estatística|Estatística|Análise de Dados
83781586520627|Ciência da Computação|Sistemas de Computação|Reconhecimento de Padrões
83781586520627|Ciência da Computação|Inteligência Artificial|Aprendizado de Máquinas
83781586520627|Ciência da Computação|Processamento de Imagens|
83781586520627|Ciência da Computação|Metodologia e Técnicas da Computação|Linguagens de Programação
83781586520627|Ciência da Computação|Matemática da Computação|Matemática Simbólica
83781586520627|Ciência da Computação|Sistemas de Computação|Software Aplicado
44685237701056|Ciência da Computação|Metodologia e Técnicas da Computação|Sistemas de Informação
44685237701056|Biologia Geral|teste registro|
44685237701056|Ciência da Computação|Sistemas de Computação|Software Básico
44685237701056|Ciência da Computação|Sistemas de Computação|Teleinformática
44685237701056|Ciência da Computação|Sistemas de Computação|Arquitetura de Sistemas de Computação
44685237701056|Ciência da Computação|Teoria da Computação|Computabilidade e Modelos de Computação
71119715272492|Ciência da Computação|Engenharia de Software (Métodos Ágeis)|
71119715272492|Ciência da Computação|Lógica Aplicada à Computação|
71119715272492|Ciência da Computação|Inteligência Artificial|
88738440986018|Física|Física Geral|
88738440986018|Bioquímica|Biologia Molecular|BIOLOGIA MOLECULAR ESTRUTURAL
88738440986018|Farmacologia|Farmacologia Bioquímica e Molecular|
88738440986018|Ciência da Computação|Metodologia e Técnicas da Computação|Banco de Dados
88738440986018|Ciência da Computação|Metodologia e Técnicas da Computação|Administração de sistemas
88738440986018|Ciência da Computação|Metodologia e Técnicas da Computação|Linguagens de Programação
11562366111272|Engenharia Mecânica|Fenômenos de Transporte|Princípios Variacionais e Métodos Numéricos
11562366111272|Matemática|Matemática Aplicada|Análise Numérica
11562366111272|Ciência da Computação|Matemática da Computação|Modelos Analíticos e de Simulação
87804302005744|Ciência da Computação|Modelagem Computacional|
87804302005744|Engenharia Biomédica|Modelos Analíticos e de Simulação|
87804302005744|Engenharia Nuclear|Transporte de Partículas Neutras|
87804302005744|Ciência da Computação|Metodologia e Técnicas da Computação|Linguagens de Programação
87804302005744|Ciência da Computação|Matemática da Computação|
95382890755450|Matemática|Matemática Aplicada|Matemática Discreta e Combinatória
95382890755450|Física|Física Geral|Métodos Matemáticos da Física
95382890755450|Física|Física Geral|Relatividade e Gravitação
95382890755450|Física|Física das Partículas Elementares e Campos|Teoria Geral de Partículas e Campos
95382890755450|Ciência da Computação|Matemática da Computação|Modelos Analíticos e de Simulação
95382890755450|Ciência da Computação|Metodologia e Técnicas da Computação|Linguagens de Programação
44387433155250|Ciência da Computação|Inteligência artificial|
44387433155250|Ciência da Computação|Inteligência artificial|Engenharia do Conhecimento
44387433155250|Ciência da Computação|Inteligência artificial|Modelagem Conceitual
44387433155250|Ciência da Computação|Aprendizado de máquina|
44387433155250|Ciência da Computação|Representação de conhecimento e raciocínio|
44387433155250|Ciência da Computação|Robótica|
16546400683999|Ciência da Computação||Banco de Dados
16546400683999|Ciência da Computação|Banco de Dados|Banco de Dados Complexos
16546400683999|Ciência da Computação||Sistemas de Informação
57958225738520|Ciência da Computação|Engenharia de Software|Teste de Software
57958225738520|Ciência da Computação|Inteligência Artificial|
57958225738520|Ciência da Computação|Inteligência Artificial|Otimização
57958225738520|Ciência da Computação|Inteligência Artificial|Aprendizagem de Máquina
57958225738520|Ciência da Computação|Inteligência Artificial|Redes Neurais Artificiais
57958225738520|Ciência da Computação|Inteligência Artificial|Agentes Inteligentes
00601083852823|Probabilidade e Estatística|Estatística|
00601083852823|Ciência da Computação|Ciência da Computação|
40074731614629|Ciência da Computação|Metodologia e Técnicas da Computação|Engenharia de Software
40074731614629|Economia|Teoria Econômica|Economia Geral
40074731614629|Economia|Teoria Econômica|Sistemas Econômicos
46303577453043|Ciência da Computação||
46303577453043|Ciência da Computação|Metodologia e Técnicas da Computação|Mineração de Dados
46303577453043|Ciência da Computação|Metodologia e Técnicas da Computação|Inteligência Artificial
35213619257246|Ciência da Computação||
35213619257246|Engenharia Elétrica|Eletrônica Industrial, Sistemas e Controles Eletrônicos|
35213619257246|Engenharia de Produção|Pesquisa Operacional|
35213619257246|Engenharia Biomédica||
35213619257246|Ciência da Computação|NEUROCIÊNCIA|
11303079806761|Ciência da Computação|Sistemas de Computação|Processamento Digital de Imagens
11303079806761|Ciência da Computação|Sistemas de Computação|Morfologia Matematica
11303079806761|Probabilidade e Estatística|Probabilidade e Estatística Aplicadas|
11303079806761|Geociências|Geofísica|Sensoriamento Remoto
11303079806761|Ciência da Informação|Arquivologia|Organização de Arquivos
11303079806761|Ciência da Informação|Biblioteconomia|Técnicas de Recuperação de Informação
01155355210327|Ciência da Computação|Redes de Computadores|
01155355210327|Ciência da Computação|Sistemas de Computação|
01155355210327|Ciência da Computação|Segurança de Redes e de Dados|
01155355210327|Ciência da Computação|Modelagem|
05979228894386|Ciência da Computação|Sistemas Distribuídos|Rede de sensores sem fio
05979228894386|Ciência da Computação|Sistemas Distribuídos|
05979228894386|Ciência da Computação|Sistemas Distribuídos|Middleware
37384367302439|Física|Áreas Clássicas de Fenomenologia e suas Aplicações|Acústica
37384367302439|Engenharia Elétrica|Telecomunicações|Sistemas de Telecomunicações
37384367302439|Engenharia Elétrica|Elétro-acústica|
37384367302439|Ciência da Computação|Matemática da Computação|Processamento digital de sinais
37384367302439|Engenharia Elétrica|Circuitos Elétricos, Magnéticos e Eletrônicos|Circuitos Eletrônicos
37384367302439|Engenharia Elétrica|Medidas Elétricas, Magnéticas e Eletrônicas; Instrumentação|Instrumentação Eletrônica
60120644445370|Ciência da Computação|Metodologia e Técnicas da Computação|Banco de Dados
49390900009593|Ciência da Computação||
49390900009593|Geociências||
19007386914899|Ciência da Computação|Sistemas de Computação|Computer Networks
44423463893899|Ciência da Computação|Metodologia e Técnicas da Computação|Aprendizagem Organizacional
44423463893899|Lingüística|Filosofia da Linguagem|
44423463893899|Ciência da Computação|Metodologia e Técnicas da Computação|Gestão do Conhecimento
44423463893899|Administração|Administração de Setores Específicos|
04347616155745|Ciência da Computação|Sistemas de Informação Geográfica|
04347616155745|Ciência da Computação|Modelaje e Simulação|
04347616155745|Planejamento Urbano e Regional|PLANEJAMENTO URBANO SUSTENTÁVEL|
04347616155745|Engenharia de Produção|ENGENHARÍA INDUSTRIAL|
04347616155745|Administração|Administração de Empresas|
04347616155745|Administração|Administração de Empresas|Negócios Internacionais
69887838939497|Ciência da Computação|Robótica Educacional|
69887838939497|Educação|Ensino-Aprendizagem|Tecnologia Educacional
69887838939497|Ciência da Computação|Sistemas de Computação|Arquitetura de Sistemas de Computação
69887838939497|Ciência da Computação|Metodologia e Técnicas da Computação|Linguagens de Programação
69887838939497|Ciência da Computação|Teoria da Computação|Linguagem Formais e Autômatos
69887838939497|Ciência da Computação|Metodologia e Técnicas da Computação|Sistemas de Informação
81901675479205|Administração||
09664169018101|Ciência da Computação||
50011326518341|Ciência da Computação|Metodologia e Técnicas da Computação|Sistemas de Informação
50011326518341|Ciência da Computação|Redes de Computadores|
50011326518341|Ciência da Computação|Metodologia e Técnicas da Computação|Linguagens de Programação
50011326518341|Ciência da Computação|Teoria da Computação|Linguagem Formais e Autômatos
50011326518341|Ciência da Computação|Sistemas de Computação|Arquitetura de Sistemas de Computação
50011326518341|Ciência da Computação|Metodologia e Técnicas da Computação|Engenharia de Software
20846825496277|Engenharia Mecânica|Engenharia Térmica|Aproveitamento da Energia
20846825496277|Engenharia Mecânica|Engenharia Térmica|Termodinâmica
20846825496277|Engenharia Mecânica|Engenharia Térmica|Combustão
20846825496277|Engenharia Mecânica|Engenharia Térmica|Gaseificação
20846825496277|Engenharia Mecânica|Engenharia Térmica|Controle Ambiental
50769646326190|Ciência da Computação|Matemática da Computação|Matemática Simbólica
34196977785631|Ciência da Computação||
34196977785631|Educação||
34196977785631|Biologia Geral|Bioinformática|
34196977785631|Ciência da Computação|Sistemas de Computação|
52458019095181|Ciência da Computação|Inteligencia Artificial|Processamento da Linguagem Natural
52458019095181|Ciência da Computação|Inteligencia Artificial|Recuperação de Informações
00565598534943|Ciência da Computação|Metodologia e Técnicas da Computação|Engenharia de Software
00565598534943|Ciência da Computação|Metodologia e Técnicas da Computação|Sistemas de Informação
00565598534943|Ciência da Computação|Processamento de Imagens|Visão Computacional Aplicada
00565598534943|Ciência da Computação|Processamento de Imagens|Visão Robótica
00565598534943|Ciência da Computação|Metodologia e Técnicas da Computação|Linguagens de Programação
80159809125998|Engenharia Elétrica|Controle & Automação|
80159809125998|Engenharia Elétrica|Controle & Automação|Instrumentação, Interfaceamento de Sistemas
80159809125998|Ciência da Computação|Metodologia e Técnicas da Computação|Redes Neurais Artificiais
77491494754494|Ciência da Computação|Metodologia e Técnicas da Computação|Linguagens de Programação
77491494754494|Ciência da Computação|Sistemas Concorrentes|
77491494754494|Ciência da Computação|Sistemas Reativos|
48790978449306|Ciência da Computação|Metodologia e Técnicas da Computação|Engenharia de Software
48790978449306|Ciência da Computação|Informática na Educação|
48790978449306|Engenharia de Produção|Midia e Conhecimento|Educação a Distância
48790978449306|Ciência da Computação|Sistemas de Computação|Tecnologia Educacional
48790978449306|Ciência da Computação|Interface Humano Computador|
48790978449306|Ciência da Computação|sistemas colaborativos|
09074365275336|Educação|Ensino-Aprendizagem|Métodos e Técnicas de Ensino Aprendizagem
09074365275336|Educação|Ensino-Aprendizagem|Teorias da Aprendizagem
09074365275336|Ciência da Computação|Metodologia e Técnicas da Computação|Inteligência Artificial
09074365275336|Ciência da Computação|Sistemas de Computação Aplicados à Educação e Treinamento|
09074365275336|Matemática|Educação Matemática|
09074365275336|Matemática|Geometria e Topologia|
48431988260726|Ciência da Computação|Metodologia e Técnicas da Computação|Engenharia de Software
48431988260726|Ciência da Computação|Gestão do Conhecimento|
48431988260726|Ciência da Computação|Aprendizagem Organizacional|
48431988260726|Ciência da Computação|Metodologia e Técnicas da Computação|Banco de Dados
48431988260726|Educação|Ensino-Aprendizagem|Tecnologia Educacional
48838891662560|Ciência da Computação|Metodologia e Técnicas da Computação|Engenharia de Software
48838891662560|Ciência da Computação|Sistemas de Computação|Software Básico
48838891662560|Ciência da Computação|Metodologia e Técnicas da Computação|Sistemas de Informação
95921943345974|Ciência da Computação|Sistemas de Computação|Sistemas de Segurança de Redes
95921943345974|Ciência da Computação|Sistemas de Computação|Gerenciamento de Redes de Computadores
95921943345974|Ciência da Computação|Metodologia e Técnicas da Computação|Redes de Computadores
95921943345974|Ciência da Computação|Metodologia e Técnicas da Computação|Ensino de Computação
09856764209323|Ciência da Computação||
