|autores|titulo|ano|group
0|Marinalva Dias Soares&Rafael Duarte Coelho dos Santos&Nandamudi Lankalapalli Vijaykumar&Luciano Vieira Dutra|analysi user behavior difficulti label polygon segment imag citizen scienc project|2010|0.0
1|Marinalva Dias Soares&Rafael Duarte Coelho dos Santos&Nandamudi Lankalapalli Vijaykumar&Luciano Vieira Dutra|analysi user profici involv citizen scienc project|2010|1.0
2|Marcelo Soares Pimenta&Evandro Manara Miletto&Luciano Vargas Flores&Aurélio Faustino Hoppe|cooper mechan network music|2010|2.0
3|Gabriel Alves de Albuquerque Junior&Paulo Romero Martins Maciel&Ricardo Massa Ferreira Lima&Armin Zimmermann|automat model perform evalu inventori outbound distribut|2010|3.0
4|Bruno Nogueira&Paulo Romero Martins Maciel&Eduardo Tavares&Ermeson Andrade&Ricardo Massa Ferreira Lima&Gustavo Callou&Rodolfo Ferraz|model perform energi evalu embed system|2010|4.0
5|Adriano Lorena Inacio de Oliveira&Adriano Lorena Inacio de Oliveira&Ricardo Massa Ferreira Lima&Braga, Petronio L.&Cornélio, Márcio L.|ga base method featur select paramet optim machin learn regress appli softwar effort estim|2010|5.0
6|Zheng Shi&Alan Burns&Leandro Soares Indrusiak|analysi time chip commun wormhol switch|2010|6.0
7|Sanna Määttä&Leandro Möller&Leandro Soares Indrusiak&Luciano Copello Ost&Manfred Glesner&Jari Nurmi&Fernando Gehm Moraes|joint valid applic model multi abstract network chip platform|2010|7.0
8|Cristiane Camilo&Luciano Silva&Rafael de Alencar Segura&Juliano Schimiguel&Manuel Fernandez Paradéla Ledón&Luis Naito Bezerra&Ismar Frango Silveira|teach program principl game engin|2010|8.0
9|Eliezer Pereira Lopes&Elizeu Pereira Lopes|comput code aerial magnet sound layer media|2010|9.0
10|Dominguez, Dany S.&Francisco Bruno Souza Oliveira&Filho, Hermes Alves&Ricardo C. Barros|grid method speed ordin penetr problem x y geometri|2010|10.0
11|Ricardo C. Barros&Filho, Hermes Alves&Platt, Gustavo M.&Oliveira, Francisco Bruno S.&Militão, Damiano S.&Francisco Bruno Souza Oliveira|reconstruct scheme mesh solut gener method particl ordin transport model slab geometri|2010|11.0
12|Alexandre Loureiros Rodrigues&Diggle, Peter&Assuncao, Renato|approach point sourc model epidemiolog criminolog|2010|12.0
13|Alexandre Loureiros Rodrigues&DIGGLE, PETER J.|class convolut base model spatio tempor process non covari structur|2010|13.0
14|Elerson Gaetti Jardim Júnior&Angélica Cristiane Fardin&Ellen Cristina Gaetti Jardim&Alvimar Lima de Castro&Christiane Marie Schweitzer&Mário Júlio Ávila Campos|microbiota associ osteomyel jaw|2010|14.0
16|Marta Lima de Queirós Mattoso&Cláudia Maria Lima Werner&Guilherme Horta Travassos&Vanessa Braganholo Murta&Leonardo Gresta Paulino Murta&Eduardo Soares Ogasawara&Daniel Cardoso Moraes de Oliveira&Sérgio Manuel Serra da Cruz&Wallace Martinho|support life cycl larg scale experi|2010|16.0
17|Guilherme Coelho de Figueiredo&Vanessa Braganholo Murta&Marta Lima de Queirós Mattoso|process queri distribut databas|2010|17.0
18|YOSIO EDEMIR SHIMABUKURO&Valdete Duarte,&Egidio Arai&Ramon Morais de Freitas&martini&Lima, Andre|monitor land cover acr state sens data|2010|18.0
19|Anderson, Liana O.&Malhi, Yadvinder&AragÃ£o, Luiz E. O. C.&Ladle, Richard&Egidio Arai&Barbier, Nicolas&Phillips, Oliver|sens detect drought forest canopi|2010|19.0
20|CAMARGOS, LASARO&SCHMIDT, RODRIGO&MADEIRA, EDMUNDO&Fernando Pedone|agreement group agent|2010|20.0
21|M. Allani&B. Garbinato&Fernando Pedone|resourc awar multimedia content deliveri gambl approach|2010|21.0
22|Isabela Gasparini&Marcelo Soares Pimenta&Jose Palazzo Moreira de Oliveira&Avanilde Kemczinski|usabl adapt e learn environ lesson|2010|22.0
24|André Proto&Leandro Arabi Alexandre&Maira Lambort Batista&Isabela Liane de Oliveira&Adriano Mauro Cansian|statist model appli network intrus detect|2010|24.0
25|Bruno de Oliveira Silvestre&Silvana Rossetto&Noemi Rodriguez&Jean Pierre Briot|flexibl coordin event base loos coupl distribut system|2010|25.0
26|Destro-Filho, João-Batista&Carlos Alberto Estombelo Montesco&Murta-Junior, Luiz-Otavio&Martinoia, Sergio&Chiappalone, Michela&Moreira-Marques, Suelen&Neves, Amanda F.|quantit estim nonstationari behavior neural spontan activ|2010|26.0
27|Carlos Alberto Estombelo Montesco&Marcio Sturzbecher&Allan Kardec Duailibe Barros Filho&Draulio Barros de Araújo|detect auditori cortex activ compon analysi|2010|27.0
28|Takaki, Mitsuo&Cavalcanti, Diego&Gheyi, Rohit&Juliano Manabu Iyoda&d Amorim, Marcelo&Prudêncio, Ricardo B. C.|random constraint solver studi|2010|28.0
29|P. C. S. Luizi&F. R. B. Cruz&Jeroen Antonius Maria van de Graaf|assess qualiti pseudo random number gener|2010|29.0
30|Israel Tojal Da Silva&Vêncio, Ricardo ZN&Oliveira, Thiago YK&Molfetta, Greice A&Silva, Wilson A|probabilist function analysi system tool|2010|30.0
33|Correia, Anderson Pereira&Carlos Humberto Llanos&Rodrigo Willians de Carvalho&Alfaro, Sadek A.&Koike, Carla&Moreno, Edward David|control design approach control autonom vehicl|2010|33.0
