|autores|titulo|ano|group
0|FARINELLI, ELAINE CRISTINA&BAQUERO, OSWALDO SANTOS&Celso Stephan&CHIARAVALLOTI-NETO, FRANCISCO|condit risk dengu fever relationship|2018|0.0
2|Elerson Gaetti Jardim Júnior&JARDIM, ELLEN CRISTINA GAETTI&Christiane Marie Schweitzer&DA SILVA, JÚLIO CESAR LEITE&OLIVEIRA, MURILO MOURA&MASOCATTO, DANILO CHIZZOLINI&DOS SANTOS, CAUÊ MONTEIRO|microbiota patient poor oral hygien submit radiotherapi head neck cancer treatment|2018|2.0
3|Danillo Roberto Pereira&João Paulo Papa&SARAIVA, GUSTAVO FRANCISCO ROSALIN&SOUZA, GUSTAVO MAIA|classif plant respons stimuli machin learn|2018|3.0
4|MARTINS, GUILHERME B.&Danillo Roberto Pereira&ALMEIDA, JURANDY G.&DE ALBUQUERQUE, VICTOR HUGO C.&João Paulo Papa|video summar optimum path forest|2018|4.0
5|FERNANDES, SILAS E. N.&Danillo Roberto Pereira&RAMOS, CAIO C. O.&SOUZA, ANDRE N.&GASTALDELLO, DANILO S.&Papa, Joao P.|probabilist optimum path forest classifi non technic loss detect|2018|5.0
6|GONÇALVES, FILIPE MARCEL FERNANDES&Ivan Rizzo Guilherme&Daniel Carlos Guimarães Pedronette|semant guid interact imag retriev plant identif|2018|6.0
7|Daniel Carlos Guimarães Pedronette&GONÇALVES, FILIPE MARCEL FERNANDES&Ivan Rizzo Guilherme|manifold learn reciproc graph connect compon imag retriev task|2018|7.0
8|RODRIGUES JR, ELDER&Ricardo Terra Nunes Bueno Villela|develop use featur case rubi|2018|8.0
9|Hua Pei&Keila Roberta Ferreira de Oliveira&Peter Batista Cheung&Fabio Verissimo Gonçalves&Jin Zhang|influenc model structur calibr data size predict chlorin residu water storag tank|2018|9.0
10|DE ANDRADE, DAVI OLIVEIRA SERRANO&MAIA, LUIS FERNANDO&DE FIGUEIRÊDO, HUGO FEITOSA&VIANA, WINDSON&TRINTA, FERNANDO&Cláudio de Souza Baptista|photo annot survey|2018|10.0
11|PISCO, JOÃO&BILHIM, TIAGO&COSTA, NUNO V.&RIBEIRO, MANUEL PINTO&FERNANDES, LUCIA&Antônio Manuel Gouveia de Oliveira|safeti efficaci prostat arteri prostat cancer initi experi|2018|11.0
