|autores|titulo|ano|group
0|PAPPA, GISELE LOBO&Tiago Oliveira Cunha&BICALHO, PAULO VIANA&RIBEIRO, ANTONIO&COUTO SILVA, ANA PAULA&MEIRA JR, WAGNER&BELEIGOLI, ALLINE MARIA REZENDE|factor associ weight chang onlin weight manag commun case studi commun|2017|0.0
1|FARIAS, VICTOR A.E.&SOUSA, FLÁVIO R.C.&José Gilvan Rodrigues Maia&GOMES, JOÃO PAULO P.&MACHADO, JAVAM C.|regress base perform model provis cloud databas|2017|1.0
2|M. FERREIRA, KECIA A.&S. BIGONHA, MARIZA A.&Roberto da Silva Bigonha&DE LIMA, BERNARDO N.&GOMES, BÁRBARA M.&O. MENDES, LUIZ FELIPE|model estim chang propag softwar|2017|2.0
3|SINGH, AMIT KUMAR&DZIURZANSKI, PIOTR&MENDIS, HASHAN ROSHANTHA&Leandro Soares Indrusiak|survey compar studi hard soft real time dynam resourc alloc strategi core system|2017|3.0
4|DZIURZANSKI, PIOTR&SINGH, AMIT KUMAR&Leandro Soares Indrusiak|multi criteria resourc alloc time system|2017|4.0
5|MENDIS, HASHAN ROSHANTHA&AUDSLEY, NEIL C.&Leandro Soares Indrusiak|static task alloc hard real time video stream decod|2017|5.0
6|MA, YUNFENG&Leandro Soares Indrusiak|hardwar acceler analysi time network chip|2017|6.0
7|Claudiney Ramos Tinoco&Danielli Araújo Lima&Gina Maria Barbosa de Oliveira|improv model swarm robot surveil base automata pheromon|2017|7.0
8|Danielli Araújo Lima&Gina Maira Barbosa de Oliveira|automata memori model forag swarm robot|2017|8.0
10|Alfredo Bonini Neto&Carolina dos Santos Batista Bonini&Beatriz Santos Bisi&Luiz Fernando Sommaggio Coletta&André Rodrigues dos Reis|artifici neural network classif analysi degrad soil|2017|10.0
11|BORSANELLI, ANA C.&GAETTI-JARDIM, ELERSON&Christiane Marie Schweitzer&VIORA, LORENZO&BUSIN, VALENTINA&RIGGIO, MARCELLO P.&DUTRA, IVERALDO S.|black pigment bacteria associ periodont|2017|11.0
12|Ana Carolina Borsanelli&Thamiris Naiasha Minari Ramos&Elerson Gaetti Jardim Júnior&Christiane Marie Schweitzer&Iveraldo Dutra|treponema speci microflora periodont|2017|12.0
13|Anderson Marinho&Daniel Cardoso Moraes de Oliveira&Eduardo Soares Ogasawara&Vítor Silva&Kary Ann Ocana&Leonardo Gresta Paulino Murta&Vanessa Braganholo Murta&Marta Lima de Queirós Mattoso|deriv experi line approach|2017|13.0
14|Ivison Rubim&Vanessa Braganholo Murta|detect inconsist cv dataset|2017|14.0
15|Vitor Carvalho Neves&Daniel Cardoso Moraes de Oliveira&Kary Ann Ocana&Vanessa Braganholo Murta&Leonardo Gresta Paulino Murta|manag proven implicit data flow experi|2017|15.0
16|Wellington Oliveira&Kary Ann Ocana&Daniel Cardoso Moraes de Oliveira&Vanessa Braganholo Murta|queri proven domain data prolog|2017|16.0
17|João Felipe Nicolaci Pimentel&Leonardo Gresta Paulino Murta&Vanessa Braganholo Murta&Juliana Freire|tool collect analyz manag proven python script|2017|17.0
19|ANDERSON, LIANA OIGHENSTEIN&CHEEK, DAVID&ARAGAO, LUIZ EOC&ANDERE, LUAE&DUARTE, BRENDA&SALAZAR, NATALIA&LIMA, ANDRE&Duarte, Valdete&Egidio Arai|develop point base method map valid confid interv estim case studi burn area|2017|19.0
20|FONSECA, MARISA G.&Anderson, Liana O.&Egidio Arai&Shimabukuro, Yosio E.&XAUD, HARON A. M.&XAUD, MARISTELA R.&MADANI, NIMA&WAGNER, FABIEN H.&ARAGÃO, LUIZ E. O. C.|driver amazon fire el event|2017|20.0
21|GRECCHI, ROSANA CRISTINA&BEUCHLE, RENÉ&Shimabukuro, Yosio Edemir&ARAGÃO, LUIZ E.O.C.&Egidio Arai&SIMONETTI, DARIO&ACHARD, FRÉDÉRIC|integr sens gi approach monitor area affect log case studi grosso brazilian amazon|2017|21.0
22|Francisco Figueiredo Goytacaz Sant'Anna&IERUSALIMSCHY, ROBERTO&RODRIGUEZ, NOEMI&ROSSETTO, SILVANA&BRANCO, ADRIANO|design implement synchron languag c eu|2017|22.0
23|ALVES, MAICON MELO&Luci Pirmez&Silvana Rossetto&DELICATO, FLAVIA C.&DE FARIAS, CLAUDIO M.&PIRES, PAULO F.&DOS SANTOS, IGOR L.&ZOMAYA, ALBERT Y.|damag predict wind turbin sensor actuat network|2017|23.0
24|D. REQUIÃO, RODRIGO&FERNANDES, LUIZA&DE SOUZA, HENRIQUE JOSÉ ARAUJO&Silvana Rossetto&DOMITROVIC, TATIANA&PALHANO, FERNANDO L.|protein charg distribut impact translat|2017|24.0
25|TEIXEIRA, SERGIO&AGRIZZI, BRUNO ALVES&FILHO, JOSÉ GONÇALVES PEREIRA&Silvana Rossetto&BALDAM, ROQUEMAR DE LIMA|code gener sensor network applic model driven busi process approach map studi|2017|25.0
27|Lima, Lucas&MIYAZAWA, ALVARO&Cavalcanti, Ana&CORN?LIO, M?RCIO&Juliano Manabu Iyoda&Sampaio, Augusto&HAINS, RALPH&LARKHAM, ADRIAN&LEWIS, VAUGHAN|integr semant reason design model refin|2017|27.0
28|Jeroen Antonius Maria van de Graaf|term threat ballot privaci|2017|28.0
29|FEHRENBACHER, NICOLE&HANCOCK, JOHN F.&BAR-SAGI, DAFNA&PHILIPS, MARK R.&Israel Tojal Da Silva&RAMIREZ, CRAIG&ZHOU, YONG&CHO, KWANG-JIN&KUCHAY, SHAFI&SHI, JIE&THOMAS, SUSAN&PAGANO, MICHELE|g protein coupl receptor promot membran associ kra|2017|29.0
30|TEIXEIRA, ANDRE A&SIDMAN, RICHARD L&WHEELER, COSETTE M&CAVENEE, WEBSTER K&PASQUALINI, RENATA&ARAP, WADIH&MARCHIÒ, SERENA&DIAS'NETO, EMMANUEL&NUNES, DIANA N&Israel Tojal Da Silva&CHACKERIAN, BRYCE&BARRY, MARC&LAUER, RICHARD C&GIORDANO, RICARDO J|go link etiolog prostat cancer long virus|2017|30.0
31|AMORIM, MARIA G.&Israel Tojal Da Silva&DIAS-NETO, EMMANUEL&NUNES, DIANA N.&VALIERIS, RENAN&DRUMMOND, RODRIGO D.&PIZZI, MELISSA P.&FREITAS, VANESSA M.&SINIGAGLIA-COIMBRA, RITA&CALIN, GEORGE A.&PASQUALINI, RENATA&ARAP, WADIH|profil method plasma deriv vesicl applic biopsi|2017|31.0
32|GARCIA-ROSA, SHEILA&BARREIRA, AMILTON ANTUNES&NUNES, DIANA NORONHA&DIAS-NETO, EMMANUEL&DE AMORIM, MARIA GALLI&VALIERIS, RENAN&MARQUES, VANESSA DACCACH&LORENZI, JULIO CESAR CETRULO&TOLLER, VANIA BALARDIN&DO OLIVAL, GUILHERME SCIASCIA&DA SILVA JÚNIOR, WILSON ARAÚJO&Israel Tojal Da Silva|sequenc sclerosi patient degre rel|2017|32.0
33|AYALA, HELON VICENTE HULTMANN&Muñoz, Daniel M.&Carlos Humberto Llanos Quintero&COELHO, LEANDRO DOS SANTOS|hardwar implement basi function network custom precis float point oper|2017|33.0
34|SAMPAIO, RENATO CORAL&MOTTA, JOSÉ MAURÍCIO S. T.&Carlos Humberto Llanos Quintero|base control design degre freedom robot repair turbin blade|2017|34.0
35|YUDI, JONES&Carlos Humberto Llanos Quintero&HUEBNER, MICHAEL|system level design space identif core vision processor|2017|35.0
37|YANCY-CABALLERO, DAISON&LING, LIU Y.&ARCHILHA, NATHALY L.&João Eduardo Ferreira&DRIEMEIER, CARLOS|miner particl sugar cane bagass local morphometri analysi|2017|37.0
38|Capuani, Ligia&BIERRENBACH, ANA LUIZA&PEREIRA ALENCAR, AIRLANE&MENDRONE, ALFREDO&João Eduardo Ferreira&Custer, Brian&P. RIBEIRO, ANTONIO LUIZ&CERDEIRA SABINO, ESTER|mortal blood donor diseas sao brazil death certif linkag studi|2017|38.0
39|MUÑOZ, ROBERTO&Thiago Schumacher Barcelos&VILLARROEL, RODOLFO&SILVEIRA, ISMAR FRANGO|scratch support program fundament|2017|39.0
