|autores|titulo|ano|group
0|Morais, Alessandra Marli M.&Rafael Duarte Coelho dos Santos|visual citizen scienc volunt behavior data usag log|2015|0.0
1|Leonardo Vieira dos Santos Reis&Vladimir Oliveira Di Iorio&Roberto da Silva Bigonha|fli grammar modif mechan compos defin languag|2015|1.0
2|Shana Schlottfeldt Santos&WALTER, MARIA EMÍLIA M. T.&DE CARVALHO, ANDRÉ CARLOS P. L. F.&SOARES, THANNYA N.&TELLES, MARIANA P. C.&LOYOLA, RAFAEL D.&DINIZ-FILHO, JOSÉ ALEXANDRE F.|optim plant collect conserv resourc base variabl|2015|2.0
3|Shana Schlottfeldt Santos&WALTER, M.E.M.T.&L.F. CARVALHO, A.C.P.&SOARES, T.N.&TELLES, M.P.C.&LOYOLA, R.D.&DINIZ-FILHO, J.A.F.|optim conserv plan represent variabl popul|2015|3.0
4|Marcelo Teixeira&Richardson Ribeiro&Cesar Augusto Lins Oliveira&Ricardo Massa Ferreira Lima|qualiti driven approach resourc plan servic orient architectur|2015|4.0
5|Leandro Soares Indrusiak&HARBIN, JAMES&DOS SANTOS, OSMAR MARCHI|fast simul network chip prioriti preemptiv arbitr|2015|5.0
6|José Miguel Parente&Cláudio Saddy Rodrigues Coy&Viriato Campelo&Míriam Perpétua Palha Dias Parente&Leonardo Araújo Costa&Renata Mendes da Silva&Celso Stephan&José Murilo Robilotta Zeitune|bowel diseas region northeastern brazil|2015|6.0
7|SIEGEL, PAMELA&DE BARROS, NELSON FILICE&QUISPE-CABANILLAS, JUAN GUZMÁN&Celso Stephan&LIMA, CARMEN SILVIA PASSOS|acupunctur cancer patient undergo chemotherapi hospit studi|2015|7.0
8|Fernando Raul Licapa Contreras&LYRA, P.R.M.&SOUZA, M.R.A.&CARVALHO, D.K.E.|cell center flux approxim method diamond stencil coupl order volum method simul oil water displac petroleum reservoir|2015|8.0
9|Joel Luis Carbonera&Mara Abel&Claiton Marlon dos Santos Scherer|interpret event petroleum explor approach support found ontolog|2015|9.0
11|Sandro Rama Fiorini&ABEL, MARA&Joel Luis Carbonera|represent similar geolog|2015|11.0
12|Luiz Fernando Sommaggio Coletta&HRUSCHKA, EDUARDO R.&ACHARYA, AYAN&GHOSH, JOYDEEP|optim combin classifi cluster ensembl|2015|12.0
