|autores|titulo|ano|group
0|Cruz, Sérgio A.B.&Monteiro, Antonio M.V.&Rafael Duarte Coelho dos Santos|web servic composit base qualiti requir|2012|0.0
1|DE LIMA, MARIA HELENA&Keller, Damián&Marcelo Soares Pimenta&LAZZARINI, VICTOR&Evandro Manara Miletto|creativ centr design activ case studi|2012|1.0
2|SILVEIRA, GEORGE SOBRAL&BRITO, ALISSON V.&Helder Fernando de Araujo Oliveira&MELCHER, ELMAR U. K.|simul support power gate design|2012|2.0
3|Kécia Aline M. Fereira&Mariza A. S. Bigonha&Roberto da Silva Bigonha&Luiz F.O. Mendes&Heitor C, Almeida|identifi threshold object orient softwar metric|2012|3.0
4|César Augusto Lins de Oliveira&Ricardo Massa Ferreira Lima&Hajo A. Reijers&Joel T. S. Ribeiro|quantit analysi resourc constrain busi process|2012|4.0
5|DUTRA E SILVA JÚNIOR, ÉLVIO CARLOS&Leandro Soares Indrusiak&ALVES FINAMORE, WEILER&Glesner, Manfred|look tabl base interpol nonuniform sampl scheme|2012|5.0
7|Thomas Newton Martin&Durval Dourado Neto&Pedro Abel Vieira Junior&Antônio Roberto Pereira&Paulo Augusto Manfron&Pedro Jacob Christoffoleti|crop model estim soybean yield|2012|7.0
8|Alexandre Loureiros Rodrigues&DIGGLE, PETER J.|bayesian estim predict inhomogen spatiotempor log gaussian cox process low rank model applic crimin surveil|2012|8.0
9|Luiz Fernando Sommaggio Coletta&Lucas Vendramin&Eduardo Raul Hruschka&Ricardo José Gabrielli Barreto Campello&Witold Pedrycz|collabor fuzzi cluster algorithm refin design guidelin|2012|9.0
13|Diego Mury Gomes de Lima&Carla Delgado&Leonardo Gresta Paulino Murta&Vanessa Braganholo Murta|queri implicit knowledg document|2012|13.0
15|Vanessa Braganholo Murta&MIRANDA, BERNARDO&MATTOSO, MARTA|open sourc web portal|2012|15.0
16|Valencio, Carlos R&Oyama, Fernando T&Scarpelini, Paulo&Colombini, Angelo C&Adriano Mauro Cansian&de Souza, Rogeria C G&Correa, Pedro L P|mr radix data mine algorithm|2012|16.0
17|Hélio M. Salmon&Cláudio M. de Farias&Paula Loureiro&Luci Pirmez&Silvana Rossetto&Paulo H. de A. Rodrigues&Rodrigo Pirmez&Flávia C. Delicato&Luiz F. R. da C. Carmo|intrus detect system wireless sensor network danger theori immun inspir techniqu|2012|17.0
18|Lew Gordeev&Weiermann, Andreas|phase transit iter style order|2012|18.0
19|Dario Vieira Conceição&Cesar Augusto Viana Melo&Ghamri-Doudane, Y.|perform evalu object manag polici approach network|2012|19.0
21|Cesar Augusto Viana Melo&LIBORIO FILHO, J. M.&VIEIRA, DARIO&LIBORIO, JOAO DA MATA&MELO, C.|impact churn object manag polici deploy system|2012|21.0
24|MEREDITH, M. M.&OLIVEIRA, T. Y.&SKOKOS, D.&CASELLAS, R.&NUSSENZWEIG, M. C.&LIU, K.&KAMPHORST, A. O.&IDOYAGA, J.&YAMANE, A.&GUERMONPREZ, P.&RIHN, S.&YAO, K.-H.&Israel Tojal Da Silva|zinc finger transcript factor regul requir prevent activ cell state|2012|24.0
25|GORDO, SHEILA MC&SCHNEIDER, HORACIO&Silva, Wilson A&SAMPAIO, IRACILDA&DARNET, SYLVAIN&Pinheiro, Daniel G&MOREIRA, EDITH CO&RODRIGUES, SIMONE M&POLTRONIERI, MARLI C&DE LEMOS, ORIEL F&Israel Tojal Da Silva&RAMOS, ROMMEL TJ&SILVA, ARTUR|throughput sequenc pepper root|2012|25.0
26|Camila Oliveira Rodini&Oswaldo Keith Okamoto&Fabio Daumas Nunes&Flávia Caló Aquino Xavier&Katiúcia Batista Silva Paiva&Maria Fernanda De Souza Setúbal Destro&Raquel Ajub Moyses&Pedro Michaluarte&Marcos Brasilino Carvalho&Israel Tojal Da Silva&Eloiza Helena Tajara|gene express profil indic candid marker cell carcinoma|2012|26.0
27|Camilla do Nascimento Bernardo&Marcela Cristina Oliveira Nogueira&Érika Pereira de Aquino&Sina Schmidtke&Elizandes Leal de Azeredo&Claire Fernandes Kubelka&Jochen Junker|new diagnost method dengu|2012|27.0
28|Mori, Jones Y.&Arias-Garcia, Janier&Sánchez-Ferreira, Camilo&Muñoz, Daniel M.&Carlos Humberto Llanos Quintero&Motta, J. M. S. T.|base omnidirect vision sensor motion detect mobil robot|2012|28.0
30|Isabel Ferreira&Sílvia Ferreira&Isabel Ramos|relev result research inform system technolog|2012|30.0
31|Ana Cardoso&Isabel Ramos|look past enrich futur reflexion qualiti criteria interpret research|2012|31.0
32|Lieda Amaral de Souza&Josevaldo Amaral Sousa&José de Anchieta Pereira Pinto Jr&Jansênio Alves Araújo Oliveira&Isabel Ramos|risk valu research process|2012|32.0
33|Kelly Rosa Braghetto&João Eduardo Ferreira&Jean-Marc Vincent|perform evalu resourc process automata network|2012|33.0
34|Patavino, Giuseppina Maria&Busch, Michael P.&Sabino, Ester Cerdeira&De Almeida-Neto, Cesar&Liu, Jing&Wright, David J.&Mendrone-Junior, Alfredo&Ferreira, Maria Inês Lopes&de Freitas Carneiro, Anna Bárbara&Custer, Brian&João Eduardo Ferreira|number partner blood donor brazil associ donor demograph donat characterist diseas marker|2012|34.0
35|Goncalez, Thelma T.&Custer, Brian&Sabino, Ester C.&Capuani, Ligia&Liu, Jing&Wright, David J.&Walsh, Judy H.&João Eduardo Ferreira&Chamone, Dalton A.&Busch, Michael P.|blood transfus util recipi surviv hospit das sao brazil|2012|35.0
36|Marcela Ortega Garcia&Kelly Rosa Braghetto&Calton Pu&João Eduardo Ferreira|implement transact model busi process system|2012|36.0
37|João Eduardo Ferreira&Luciano Vieira de Araújo&Kelly Rosa Braghetto&Isabel Cristina Italiano&Marcio Katsumi Oikawa&Pedro Losco Takecian|long live transact process busi process scientif|2012|37.0
38|Sabino, Ester C.&Busch, Michael&FOR THE NHLBI RETROVIRUS EPIDEMIOLOGY DONOR STUDY-II (REDS-I&Gonçalez, Thelma T.&Carneiro-Proietti, Anna Bárbara&Sarr, Moussa&João Eduardo Ferreira&Sampaio, Divaldo A.&Salles, Nanci A.&Wright, David J.&Custer, Brian|virus preval incid risk transmiss transfus epidemiolog donor studi ii blood center brazil|2012|38.0
39|Rodolfo Carneiro Cavalcante&Ig Ibert Bittencourt Santana Pinto&da Silva, Alan Pedro&Silva, Marlos&Costa, Evandro&Santos, Robério|survey secur system|2012|39.0
40|Marcel Seiji Kay&Fábio Iaione&Andréa Teresa Riccio Barbosa&Rodrigo Porfírio da Silva Sacchi&Valguima Victoria Viana Aguiar Odakura|develop low cost programm logic control|2012|40.0
41|Magalhães Neto, Newton&Evangelista, Heitor&Tanizaki-Fonseca, Kenny&Meirelles, Margareth Simões Penello&Garcia, Carlos Eiras&Margareth Simões Penello Meirelles|analysi sea ice|2012|41.0
42|Arvor, Damien&Dubreuil, Vincent&Margareth Simões Penello Meirelles&BÉGUÉ, AGNÈS|map analysi soybean frontier grosso brazil sens data|2012|42.0
43|Marco Aurelio dos Santos Sanfins&VALLE, GLAUCO|copula valu distribut|2012|43.0
44|Fabricio Ferracioli&Maria Angelica de Oliveira Camargo Brunetto|review design base discount usabl engin|2012|44.0
45|Steffen Lewitzka|semant close logic|2012|45.0
46|Steffen Lewitzka|construct model order logic connect refer truth|2012|46.0
47|Marcos Didonet Del Fabro&Eduardo Cunha de Almeida&Fabiano Sluzarski|teach web applic develop case studi comput scienc cours|2012|47.0
48|Silva, Juarez B.&Gruber, Vilson&Roderval Marcelino|new technolog inform communic remot experi g network teach support|2012|48.0
49|Vilmar Bristot&Vilson Bristot&Lirio Schaeffer&Vilson Gruber&Roderval Marcelino&Juarez Bento da Silva|school vs industri relat compet skill|2012|49.0
50|Roderval Marcelino&Juarez Bento da Silva&Vilson Gruber&simone meister sommer bilessimo|world sourc platform integr experiment|2012|50.0
51|Vagner Luiz Gava&Mauro de Mesquita Spinola&Antonio Carlos Tonini&José Manuel Cárdenas Medina|cooper model appli requir analysi|2012|51.0
52|Flavia Peterson&Kazuo Miura&Tiago Cardoso da Fonseca&José Ricardo Pelaquim Mendes&Ivan Rizzo Guilherme&Celso K Morooka|improv safeti well risk assess|2012|52.0
53|Jakelyne Machado Lima Silva&Cerdeira, Louise Teixeira&Bol, Erick&Schneider, Maria Paula Cruz&Silva, Artur&Azevedo, Vasco&Abelém, Antônio Jorge Gomes|schedul algorithm comput grid minim central process genom assembl generat sequenc data|2012|53.0
54|F Porto&C. Moura, Ana Maria&Bernardo Gonçalves&Ramon Gomes Costa&Stefano Spaccapietra|scientif hypothesi conceptu model|2012|54.0
55|Fabíola Gonçalves Pereira Greve&Pierre Sens&Luciana Arantes&Véronique Simon|eventu strong failur detector unknown membership|2012|55.0
56|Glenford Mapp&Katsriku, F.&M Aiash&Chinnam, N.&Lopes, R.&Edson dos Santos Moreira&Porto Vanni, R. M.&Augusto, M.|exploit locat contextu inform develop comprehens framework proactiv environ|2012|56.0
57|Marcone Magnus&Thiago Coelho Prado&Aldo von Wangenheim&Mario Dantas&Douglas Dyllon Jeronimo de Macedo|studi approach high perform medic imag storag|2012|57.0
58|Tiago Steinmetz Soares&Thiago Coelho Prado&Mario Dantas&Douglas Dyllon Jeronimo de Macedo&Michael Bauer|approach parallel architectur storag imag distribut file system|2012|58.0
59|Leandro Balby Marinho&Thomas Sandholm&Cláudio de Souza Baptista&Iury Nunes&Caio Nobrega&Jordão Araujo|extract prefer relat neighbor|2012|59.0
60|Hugo Feitosa de Figueirêdo&Yuri A Lacerda&Anselmo Cardoso de Paiva&Casanova, Marco Antonio&Cláudio de Souza Baptista|photo librari support self annot|2012|60.0
61|MARTINS, ISABEL PAVÃO&MARUTA, CAROLINA&SILVA, CLÁUDIA&RODRIGUES, PEDRO&CHESTER, CATARINA&GINÓ, SANDRA&FREITAS, VANDA&FREITAS, SARA&Antônio Manuel Gouveia de Oliveira|effect educ age relat chang domain cross section studi primari care|2012|61.0
63|BILHIM, TIAGO&Antônio Manuel Gouveia de Oliveira&O'NEILL, JOÃO E.G.&PISCO, JOÃO MARTINS&RIO TINTO, HUGO&FERNANDES, LÚCIA&PINHEIRO, LUÍS CAMPOS&FURTADO, ANDREA&CASAL, DIOGO&DUARTE, MARISA&PEREIRA, JOSÉ|suppli anatom imag find relev select arteri embol|2012|63.0
64|MARTINS, ISABEL PAVÃO&GIL-GOUVEIA, RAQUEL&SILVA, CLAUDIA&MARUTA, CAROLINA&Antônio Manuel Gouveia de Oliveira|migrain headach cognit|2012|64.0
65|CASIMIRO, SANDRA&COSTA, LUIS&LUIS, INÊS&FERNANDES, AFONSO&PIRES, RICARDO&PINTO, ANDREIA&Antônio Manuel Gouveia de Oliveira&FRANCISCO, ANTÓNIO F.&PORTELA, JOSÉ&CORREIA, LURDES|analysi bone metastasi gene express signatur patient bone metastasi tumor|2012|65.0
66|RATO, MAFALDA L.&Antônio Manuel Gouveia de Oliveira&PLANCHA, CARLOS E.|influenc cultur potenti embryo|2012|66.0
67|Cirilo, Elder&Ingrid Oliveira de Nunes&Ingrid Oliveira de Nunes&Uira Kulesza&Lucena, Carlos|product deriv process system product line|2012|67.0
68|GUERRA, EDUARDO&ALVES, FELIPE&Uira Kulesza&FERNANDES, CLOVIS|refer architectur organ intern structur base framework|2012|68.0
69|Lais Neves&Leopoldo Teixeira&Demóstenes Sena&Vander Ramos Alves&Uira Kulesza&Paulo Henrique Monteiro Borba|investig evolut softwar product line|2012|69.0
70|SATO, JOÃO RICARDO&Jane Maryam Rondina&MOURÃO-MIRANDA, JANAINA|measur abnorm brain build normat rule class support vector machin|2012|70.0
71|Janaina Mourao-Miranda&DOODY, G. A.&MURRAY, R. M.&KAPUR, S.&DAZZAN, P.&REINDERS, A. A. T. S.&ROCHA-REGO, V.&LAPPIN, J.&Jane Maryam Rondina&MORGAN, C.&MORGAN, K. D.&FEARON, P.&JONES, P. B.|predict ill cours episod support vector machin studi|2012|71.0
72|Jane Maryam Rondina&John Shawe-Taylor&MOURÃO-MIRANDA, J.|new featur select method base stabil theori explor paramet space evalu classif accuraci data|2012|72.0
73|Patrícia Melo Aguiar&Blície Jennifer Balisa Rocha&Giselle de Carvalho Brito&Giselle de Carvalho Brito&DIVALDO PEREIRA DE LYRA JÚNIOR|pharmaceut care program patient hypertens|2012|73.0
74|AGUIAR, P.M.&Blície Jennifer Balisa Rocha&Brito, Giselle de C.&da Silva, Wellington B.&Machado, Márcio&Lyra, Divaldo P.|pharmaceut care patient literatur review|2012|74.0
75|Blície Jennifer Balisa Rocha&GUIMARÃES, V.G.&MESQUITA, AR&AGUIAR, P. M.&LYRA Jr, DP|enhanc health care type diabet northern brazil pilot studi pharmaceut care communiti pharmaci|2012|75.0
78|Vania Paula de Almeida Neris&Baranauskas, M. Cecília C.|design softwar system user particip|2012|78.0
79|Jucimar Brito de Souza&CARVALHO, ANDRÉ&CRISTO, MARCO&MOURA, EDLENO&CALADO, PAVEL&CHIRITA, PAUL-ALEXANDRU&NEJDL, WOLFGANG|site level connect estim link confid|2012|79.0
80|ROCHA, ATSLANDS R.&DELICATO, FLÁVIA C.&Igor Leão dos Santos&LEMOS, ÉRICO&GOMES, DANIELO G.&PIRMEZ, LUCI&DE SOUZA, JOSÉ NEUMAN|cluster base neighborhood relationship|2012|80.0
82|Edgard Afonso Lamounier Júnior&Kenedy Lopes&Alexandre Cardoso&Alcimar Barbosa Soares|realiti techniqu simul limb prosthes|2012|82.0
83|Daniel Stefany Duarte Caetano&Fernando Eduardo Resende Mattioli&Kenedy Lopes Nogueira&Edgard Afonso Lamounier Júnior&Alexandre Cardoso|comparison neural network virtual upper limb prosthesi control|2012|83.0
84|Kleber Vieira Cardoso&Rezende, José F.|increas throughput network rate adapt improv|2012|84.0
85|Márcia Rosana Cerioli&Daniel Fabio Domingues Posner|split bipartit weak graph|2012|85.0
86|Márcia Rosana Cerioli&Fabiano de Souza Oliveira&Jayme Luiz Szwarcfiter|count graph order survey|2012|86.0
87|Manzan&Shigueo Nomura&Yamanaka&Milena Carneiro&Antônio Veiga|improv iri recognit target vector network|2012|87.0
88|Daniel Gouveia Costa&Guedes, Luiz Affonso|wavelet transform energi effici select retransmiss mechan wireless imag sensor network|2012|88.0
89|Daniel Gouveia Costa&Luis Affonso Guedes|survey transport protocol wireless multimedia sensor network|2012|89.0
90|Tiago Schimitberger&Ferreira, G.R.&Saraiva, M.F.&Andrea Gomes Campos Bianchi&Bianchi, R.F.|x ray dose detector base color chang light emit polym metal materi|2012|90.0
91|USHIZIMA, DANIELA&MOROZOV, DMITRIY&WEBER, GUNTHER H.&Andrea Gomes Campos Bianchi&SETHIAN, JAMES A.&BETHEL, E. WES|augment topolog descriptor pore network materi scienc|2012|91.0
92|Rodrigo Calvo&Janderson Rodrigo de Oliveira&Maurício Figueiredo&Roseli Aparecida Francelin Romero|coordin strategi control multipl robot surveil task|2012|92.0
93|Marcelo Oliveira da Silva&Roseli Aparecida Francelin Romero&Suely P. Oliveira&David Stewart|improv stabil algorithm path plan base valu problem|2012|93.0
94|Ronei Marcos de Moraes&Liliane dos Santos Machado|assess system train base virtual realiti comparison studi|2012|94.0
95|Paulo Vinicius de Farias Paiva&Liliane dos Santos Machado&Jauvane Cavalcante de Oliveira|experiment studi perform evalu|2012|95.0
96|Ronei Marcos de Moraes&Liliane dos Santos Machado|onlin assess medic simul base virtual realiti gaussian naiv|2012|96.0
97|Ronei Marcos de Moraes&Andrea Vanessa Rocha&Liliane dos Santos Machado|assess base beta regress train simul|2012|97.0
98|Ícaro Lins Leitão da Cunha&Ping Jung Xia&Liliane dos Santos Machado&Maria Teresa Restivo&Ronei Marcos de Moraes&Antonio Mendes Lopes|cut sutur support volumetr model framework|2012|98.0
99|Ronei Marcos de Moraes&Liliane dos Santos Machado&Leandro Carlos de Souza|skill assess user medic train base virtual realiti network|2012|99.0
100|Debrah Colucci Cavalcante de Souza&Augusto Hasiak Santo&Emilia Inoue Sato|mortal profil relat system lupus multipl caus death analysi|2012|100.0
101|Augusto Hasiak Santo&Pedro Puech-Leão&Mariana Krutman|trend dissect relat mortal state sao brazil caus death analysi|2012|101.0
103|Bonato Both, Cristiano&Cassales Marquezan, Clarissa&Kunst, Rafael&Zambenedetti Granville, Lisandro&Juergen Rochol|self adapt connect admiss control solut mobil enabl switch admiss control algorithm base network usag profil|2012|103.0
104|Rogerio R. Figueiredo&Antonio A.M. Castro&Fernanda M. Gonzaga Napoleone&Leina Faray&Alderico Rodrigues de Paula Júnior&Rodrigo Aléxis Lazo Osorio|respiratori biofeedback accuraci chronic renal failur patient method comparison|2012|104.0
105|Gilsa Aparecida de Lima Machado&Patricia Mara Danella Zacaro&Alderico Rodrigues de Paula Júnior&Marcelo Lopes de Oliveira e Souza|appli softwar engin methodolog design biomed softwar devot electron instrument|2012|105.0
107|Mauricio Valle&RUZ, GONZALO A.|job perform predict center classifi|2012|107.0
108|Lehilton Lelis Chaves Pedrosa&Vieira Moura, Arnaldo|test state machin|2012|108.0
