|autores|titulo|ano|group
1|Evandro Manara Miletto&Marcelo Soares Pimenta&Bouchet, François&Sansonnet, Jean-Paul&Keller, Damián|principl music creation novic network music environ|2011|1.0
2|Marcelo Soares Pimenta&Evandro Manara Miletto&Luciano Vargas Flores&Aurélio Faustino Hoppe|mechan music|2011|2.0
3|Pinel, Roque Elias AssumpÃ§Ã£o&do Carmo, Filipe Braida&Rodrigo Salvador Monteiro&ZimbrÃ£o, Geraldo|improv test infrastructur model base approach|2011|3.0
4|Gabriel Alves de Albuquerque Junior&Paulo Romero Martins Maciel&Ricardo Massa Ferreira Lima&Fábio Magnani&Adilson de Oliveira Arcoverde Junior|evalu environ busi trade off suppli chain|2011|4.0
6|Carlos Roberto Camello Lima&Marcelo Eloy Fernandes&Juliano Schimiguel|strateg manag technolog case studi center compani|2011|6.0
7|Cordeiro, Ricardo&Donalisio, Maria R&Andrade, Valmir R&Mafra, Ana CN&Nucci, Luciana B&Brown, John C&Celso Stephan|distribut risk dengu fever brazil|2011|7.0
8|Paulo Rogério de Almeida Ribeiro&Fernando Ribeiro&GilM|vision distanc integr sensor autonom robot|2011|8.0
10|Elerson Gaetti Jardim Júnior&Francisco Isaac Nicolas Ciesielski&Fátima Regina Nunes de Sousa&Francisca Nwaokorie&Christiane Marie Schweitzer&Mário J. Avila-Campos|yeast enter bacteria oral caviti patient undergo head neck radiotherapi|2011|10.0
11|Elerson Gaetti Jardim Júnior&Luis Fernando Landucci&Omar Arafat Kidutsi Kalil&Robson Varlei Ranieri&Marcelle Marie Buso Ramos&Christiane Marie Schweitzer&Francisco Isaac Nicolas Ciesielski&Ana Cláudia Okamoto|antimicrobi activ plant extract savanna periodont pathogen|2011|11.0
12|Jeisa P. Oliveira Domingues&Antônio Vicente Lourenço Dâmaso&Rilter Nascimento&Nelson Souto Rosa|energi awar integr wireless sensor network internet|2011|12.0
13|Rafael Elias Escalfoni&Vanessa Braganholo Murta&Marcos R. S. Borges|method captur innov featur group storytel|2011|13.0
15|Fábio Coutinho&Eduardo Soares Ogasawara&Daniel Cardoso Moraes de Oliveira&Vanessa Braganholo Murta&Alexandre Lima&Alberto Dávila&Marta Lima de Queirós Mattoso|task comput gene identif protozoan genom hydra|2011|15.0
16|Carla Amaral de S. Rodrigues&Vanessa Braganholo Murta&Marta Lima de Queirós Mattoso|virtual partit ad hoc queri distribut databas|2011|16.0
17|Miguel Gabriel Prazeres de Carvalho&Linair Maria Campos&Vanessa Braganholo Murta&Maria Luiza Machado Campos&Maria Luiza Almeida Campos|extract relat improv ontolog reus|2011|17.0
19|Egidio Arai&YOSIO EDEMIR SHIMABUKURO&Pereira&vijay|multi resolut multi techniqu detect map deforest brazilian amazon rainforest|2011|19.0
20|Ramon Morais de Freitas&Egidio Arai&ADAMI, MARCOS&Souza, Arley&Sato, Yuzo&YOSIO EDEMIR SHIMABUKURO&Rosa, Reinaldo&Liana Oighenstein Anderson&BERNARDO FRIEDRICH THEODOR RUDORFF|laboratori sens time seri visual data set south america|2011|20.0
22|BRADLEY, ANDREW V.&GERARD, FRANCE F.&Barbier, Nicolas&WEEDON, GRAHAM P.&Anderson, Liana O.&HUNTINGFORD, CHRIS&ARAGÃO, LUIZ E. O. C.&ZELAZOWSKI, PRZEMYSLAW&Egidio Arai|relationship phenolog radiat precipit amazon region|2011|22.0
25|Perna, Juan&Woodcock, Jim&Sampaio, Augusto&Juliano Manabu Iyoda|hardwar synthesi|2011|25.0
26|A F Boing&V Wünsch-Filho&J L Ferreira Antunes&M Brasilino de Carvalho&J Francisco de Góis Filho&L P Kowalski&P Michaluart&Israel Tojal Da Silva&J Eluf-Neto&P Boffetta|smoke alcohol consumpt explain inequ head neck cancer risk|2011|26.0
27|Jochen Junker|filter base structur gener|2011|27.0
28|Jochen Junker|theoret correl base structur discuss|2011|28.0
29|Marília Dias Vieira Braga&Eyla Willing&Stoye, Jens|cut join insert delet|2011|29.0
30|Ková , Jakub&Warren, Robert&Marília Dias Vieira Braga&Stoye, Jens|restrict model rearrang problem chromosom reincorpor|2011|30.0
31|Carlos Humberto Llanos Quintero&Obie, Jonathan&Braga, André L. S.&Hübner, Michael&Llanos, Carlos H.&Becker, Jürgen|explor power perform tradeoff parameter base multiprocessor system|2011|31.0
32|William Augusto Rodrigues de Souza&Luís Alfredo Vidal de Carvalho&Jose Antonio Moreira Xexeo|identif n block cipher|2011|32.0
33|Renato Hidaka Torres&Glaucio Alves de Oliveira&Jose Antonio Moreira Xexeo&William Augusto Rodrigues de Souza&Ricardo Linden|identif key cryptograph algorithm genet algorithm graph theori|2011|33.0
34|Jose Fernandes&Isabel Ramos|web base intellectu properti marketplac survey practic|2011|34.0
35|Hakikur Rahman&Isabel Ramos|empower innov strategi life cycl technolog manag|2011|35.0
36|Daniel Durante Pereira Alves|logic metaphys|2011|36.0
37|Souza, Glaucia Mendes&Sluys, Marie-Anne&Vincentz, Michel&Paterson, Andrew H.&Berges, Helene&Bocs, Stephanie&Casu, Rosanne&D?HONT, ANGELIQUE&João Eduardo Ferreira&Henry, Robert&Ming, Ray&Potier, Bernard|sugarcan genom challeng strategi sequenc highli complex genom|2011|37.0
38|Luciano Vieira de Araújo&Malkowski, Simon&Kelly Rosa Braghetto&Passos-Bueno, Maria R&Zatz, Mayana&Pu, Calton&João Eduardo Ferreira|approach facilit guarante correct test manag inform system|2011|38.0
39|De Almeida-Neto, Cesar&Sabino, Ester Cerdeira&FOR THE NHLBI RETROVIRUS EPIDEMIOLOGY DONOR STUDY-II (REDS-I&Liu, Jing&Wright, David J.&Mendrone-Junior, Alfredo&Takecian, Pedro L.&Sun, Yu&João Eduardo Ferreira&de Alencar Fischer Chamone, Dalton&Busch, Michael P.|characterist preval marker blood donor use unit exclus cue sao brazil implic modif cue polic brazil|2011|39.0
41|Danillo Roberto Pereira&Jorge Stolfi|fit model microscop imag|2011|41.0
42|Steffen Lewitzka|non logic explicit knowledg|2011|42.0
43|Daniel Kikuti&Fabio Gagliardi Cozman&FILHO, RICARDO SHIROTA|decis make partial order prefer|2011|43.0
44|Carlos Eduardo da Silva&Rogério de Lemos|framework automat gener process self adapt softwar system|2011|44.0
45|Ivan Rizzo Guilherme&Marana, Aparecido N.&Papa, João P.&Chiachia, Giovani&Afonso, Luis C.S.&Kazuo Miura&Ferreira, Marcus V.D.&Torres, Francisco|petroleum drill monitor cut imag analysi intellig techniqu|2011|45.0
46|Rodovalho, Cynara M&Ferro, Milene&Fonseca, Fernando PP&Antonio, Erik A&Ivan Rizzo Guilherme&Henrique-Silva, Flávio&Bacci, Maurício|express sequenc tag atta identif candid gene control pest leaf cut ant|2011|46.0
47|Scharcanski, Jacob&Alessandro Bof de Oliveira&Cavalcanti, Pablo G.&Yari, Yessenia|particl filter approach vehicular track adapt occlus|2011|47.0
48|Ana Carolina Salgado&Bernadete Farias Lóscio&Maria da Conceição M. Batista&Rosalie Barreto Belian&Carlos Eduardo Pires&Damires Yluska Souza Fernandes|data integr research group|2011|48.0
49|Fábio Gomes de Andrade&Cláudio de Souza Baptista|semant similar improv inform discoveri spatial data infrastructur|2011|49.0
50|Fabio Gomes de Andrade&Fabio Gomes de Andrade&LEITE JR, FÁBIO LUIS&Cláudio de Souza Baptista|feder catalog improv semant integr spatial data infrastructur|2011|50.0
51|PISCO, JOÃO M.&PINHEIRO, LUIS C.&BILHIM, TIAGO&DUARTE, MARISA&MENDES, JORGE R.&Antônio Manuel Gouveia de Oliveira|arteri embol treat benign prostat hyperplasia|2011|51.0
