autores*|*titulo*|*ano
Márcio Pupin de Mello&VIEIRA, CARLOS A. O.&RUDORFF, BERNARDO F. T.&Paul Aplin&Rafael Duarte Coelho dos Santos&AGUIAR, DANIEL A.*|*STARS: A New Method for Multitemporal Remote Sensing*|*2013
Rafael Duarte Coelho dos Santos&Luiz Alberto Rabelo Correa&Eduardo Martins Guerra&Nandamudi Lankalapalli Vijaykumar*|*A Private Cloud-Based Architecture for the Brazilian Weather and Climate Virtual Observatory*|*2013
Andre Pasquali&Milton Ernesto Romero Romero&Evandro Mazina Martins*|*Mapa denso de disparidade para imagem estereo colorida no dominio de Clifford*|*2013
RIMSA, ANDREI&D'AMORIM, MARCELO&QUINTÃO PEREIRA, FERNANDO MAGNO&Roberto da Silva Bigonha*|*Efficient static checker for tainted variable attacks*|*2013
Ricardo Terra&MIRANDA, LUIS FERNANDO&VALENTE, MARCO TULIO&Roberto da Silva Bigonha*|*Qualitas.class corpus*|*2013
Ricardo Terra Nunes Bueno Villela&Valente, Marco Tulio&CZARNECKI, KRZYSZTOF&Roberto da Silva Bigonha*|*A recommendation system for repairing violations detected by static architecture conformance checking*|*2013
Gabriel Alves Júnior&Paulo Romero Martins Maciel&Ricardo Massa Ferreira Lima&Fábio Magnani*|*Strategic and Tactical Evaluation of Conflicting Environment and Business Goals in Green Supply Chains*|*2013
César Augusto Lins de Oliveira&Natália Cabral Silva&Ricardo Massa Ferreira Lima&Sabat, Cecilia L.*|*Reducing the Gap Between Business and Information Systems Through Complex Event Processing (Qualis B3)*|*2013
Henrique Emanuel Mostaert Rebêlo&Ricardo Massa Ferreira Lima&Uira Kulesza&Márcio de Medeiros Ribeiro&Yuanfang Cai&Roberta de Souza Coelho&Cláudio Sant'Anna&Alexandre Mota*|*Quantifying the Effects of Aspectual Decompositions on Design By Contract Modularization: A Maintenance Study (Qualis B2)*|*2013
Henrique Rebêlo&Ricardo Massa Ferreira Lima&Márcio Lopes Cornélio&Gary T. Leavens&Alexandre Cabral Mota&César Oliveira*|*Optimizing generated aspect-oriented assertion checking code for JML using program transformations: An empirical study (Qualis B1)*|*2013
CALISKANELLI, IPEK&HARBIN, JAMES&Leandro Soares Indrusiak&MITCHELL, PAUL&POLACK, FIONA&CHESMORE, DAVID*|*Bioinspired Load Balancing in Large-Scale WSNs Using Pheromone Signalling*|*2013
Ost, Luciano&ROBERT, MICHEL&Moraes, Fernando&MANDELLI, MARCELO&ALMEIDA, GABRIEL MARCHESAN&MOLLER, LEANDRO&Leandro Soares Indrusiak&SASSATELLI, GILLES&BENOIT, PASCAL&Glesner, Manfred*|*Power-aware dynamic mapping heuristics for NoC-based MPSoCs using a unified model-based approach*|*2013
BURKIMSHER, ANDREW&BATE, IAIN&Leandro Soares Indrusiak*|*A survey of scheduling metrics and an improved ordering policy for list schedulers operating on workloads with dependencies and a wide variation in execution times*|*2013
Arlete Teresinha Beuren&Dr. Jacques Facon*|*Segmentacao de Melanoma*|*2013
Elisio Contini&Marcos Pena Junior&Pedro Abel Vieira Junior*|*Seca norte-americana: precos agricolas e implicacoes para o Brasil*|*2013
Josney Freitas Silva&Juliano Schimiguel*|*O Uso das TICs no Ensino Superior: A Integracao de Diferentes Tecnologias a Educacao Estatistica*|*2013
Juliano Schimiguel&Célia Regina da Silva Rocha&Hélio Rosetti Júnior*|*O Terceiro Setor como Forma de Implementar a Inclusao Social de Jovens e Adultos com Deficiencia*|*2013
Hélio Rosetti Júnior&Rosemary Aparecida Santiago&Juliano Schimiguel*|*ESTUDO CURRICULAR DE CURSOS SUPERIORES DE TECNOLOGIA E A MATEMATICA FINANCEIRA*|*2013
Juliano Schimiguel&Waltrudes Everton Sanches&Marcos Roberto Andreasi&Paulo Henrique de Siqueira*|*A Aplicacao de Animacoes no Ensino de Fisica*|*2013
Fernando Oliveira Borges&Juliano Schimiguel*|*Uma Abordagem a Interoperabilidade Aplicada a Integracao de Sistemas de Redes Sociais usando Web Services*|*2013
Waltrudes Everton Sanches&Mauro Sérgio Teixeira Araújo&Juliano Schimiguel*|*O Uso de Animacoes Interativas na Abordagem dos Conceitos da Energia Mecanica no Ensino Medio*|*2013
Ednor Dias&Carmem Lúcia Costa Amaral&Juliano Schimiguel*|*Avaliacao de Objetos de Aprendizagem para as Aulas de Quimica no Ensino Medio*|*2013
Priscila Campos Pardal&Juliano Schimiguel&Evandro Luís de Oliveira Niero*|*Recurso Ludico em Biologia Celular utilizando como Fixador de Conteudo e como Metodo de Avaliacao*|*2013
Israel Ferreira Alves&Juliano Schimiguel&Mauro Sérgio Teixeira Araújo*|*Vantagens do Uso de Simuladores Graficos no Curso de Programacao em CNC para Alunos de Engenharia Mecanica*|*2013
Adelson de Paula Silva&Hélio Rosetti Júnior&Juliano Schimiguel*|*Estudo de Estrategias para Aproximacao do Relacionamento entre as Organizacoes Empresariais e a Academia*|*2013
