autores*|*titulo*|*ano
Adriano Cerqueira da Silva&Edson Roberto Lopes Lira&Emerson Barbosa de Farias&Paula Francine Eduardo Silva&Renan Coelho Rocha Scarabotto&Juliano Schimiguel*|*Aplicacao da Ferramenta Kaizen para Reducao do Tempo de Setup em uma Linha de Producao de Cosmeticos*|*2016
Wellington Pinto de Oliveira&Juliano Schimiguel*|*O design de software centrado no humano e o contexto organizacional*|*2016
Priscila Bernardo Martins&Juliano Schimiguel&Edda Curi&Carlos Adriano Martins*|*Ambientes virtuais de aprendizagem como mediacao no acompanhamento do estagio curricular na modalidade a distancia*|*2016
Gilmar Ferreira de Aquino Filho&Juliano Schimiguel&Luiz Henrique do Amaral*|*Ambientes Colaborativos para Ensino de Eletronica e Logica de Programacao*|*2016
Cordeiro, Ricardo&Celso Stephan&DONALÍSIO, MARIA RITA*|*AmostraBrasil: um pacote R para amostragem domiciliar em municipios brasileiros*|*2016
Pamela Siegel&Pedro Mourão Roxo da Motta&Luis G. da Silva&Celso Stephan&Carmen Silvia Passos Lima&Nelson Filice de Barros*|*Reiki for Cancer Patients Undergoing Chemotherapy in a Brazilian Hospital: A Pilot Study*|*2016
BISSI, WILSON&Adolfo Gustavo Serra Seca Neto&EMER, MARIA CLAUDIA FIGUEIREDO PEREIRA*|*The Effects of Test Driven Development on Internal Quality, External Quality and Productivity: A systematic review*|*2016
SANTOS, VALDEX DE JESUS&Francisco Bruno Souza Oliveira&PALMEIRA, EDUARDO SILVA*|*CONTRIBUICAO INDIVIDUAL DOS PARAMETROS DE QUALIDADE DA AGUA PARA O IQA DO RIO CACHOEIRA, REGIAO SUL DA BAHIA*|*2016
Mara Abel&Luan Fonseca Garcia&PERRIN, MICHEL&Joel Luis Carbonera*|*Ontologies and data models*|*2016
ABEL, MARA&Joel Luis Carbonera&PERRIN, MICHEL&Luan Fonseca Garcia*|*More on ontologies and databases: modeling wholes and substances*|*2016
ZAMBON, ANTONIO CARLOS&Gisele Busichia Baioco&CHISTE, CRISTIANO&VASQUES, DILDRE GEORGIANA*|*Uma aplicacao pratica de gestao do conhecimento e simulacao na resolucao de problemas complexos empresariais*|*2016
DA SILVA, NÁDIA FELIX FELIPE&Luiz Fernando Sommaggio Coletta&HRUSCHKA, EDUARDO R.&HRUSCHKA JR., ESTEVAM R.*|*Using unsupervised information to improve semi-supervised tweet sentiment classification*|*2016
SILVA, NADIA FELIX F. DA&Luiz Fernando Sommaggio Coletta&HRUSCHKA, EDUARDO R.*|*A Survey and Comparative Study of Tweet Sentiment Analysis via Semi-Supervised Learning*|*2016
Paulo Rogério de Almeida Ribeiro&Lopes, Gil&Ribeiro, Fernando*|*Neural Network in Computer Vision for RoboCup Middle Size League*|*2016
Rafael M. Jesus&Ricardo C. Ferrari&Elerson Gaetti Jardim Jr&Ailton A. Shinoda&Christiane Marie Schweitzer*|*Evaluation of Beacon and Floodlight Drivers with the use of Mininet Emulator Applied in Software Defined Networks*|*2016
Aleciana Vasconcelos Ortega&BOVOLATO, LUIZ FERNANDO&BOVOLATO, MARIÂNGELA CARVALHO&Christiane Marie Schweitzer*|*Properties Analysis of Complex Network Applied to Eletric Energy Network Distribution*|*2016
Ellen Cristina Gaetti Jardim&Elerson Gaetti Jardim Júnior&Christiane Marie Schweitzer&Ana Claudia Okamoto*|*Efeitos da aplicacao de verniz contendo araca (Psidium cattleianum, Sabine) sobre a microbiota cariogenica e a microdureza de superficie do esmalte de ratos submetidos a desafio cariogenico*|*2016
Maria Isabela Lopes Gandolfo&Naara G Monteiro&Marcela Santos Januzzi&Ana Carolina Zucon Bacelar&Marielise Mundin Abrão RODRIGUES&Ana Claudia Okamoto&Christiane Marie Schweitzer&Elerson Gaetti Jardim Júnior*|*Hipersensibilidade aos -lactamicos e outros antibioticos. Bases biologicas*|*2016
Ana Carolina Borsanelli&RAMOS, T. N. M.&GAETTI-JARDIM, E.&Christiane Marie Schweitzer&DUTRA, I. S.*|*Treponema species in the subgingival microflora of ovine periodontitis*|*2016
Gianchetto, L E&Wagner Rafael da Silva&Fábio Bombarda&Ellen Cristina Gaetti-Jardim&Christiane Marie Schweitzer&Elerson Gaetti-Jardim Jr&Nazit Pezati Boer&Adriana Sales Cunha-Correia*|*Estudo de disseminacao de microrganismos superinfectantes e oportunistas na boca e infeccoes respiratorias de pacientes hospitalizados*|*2016
Ricardo C. Ferrari&Rafael M. Jesus&Elerson Gaetti Jardim Jr&SHINODA, AILTON AKIRA&Christiane Marie Schweitzer*|*An Architecture for a Smartgrid Protection Against TCPReplay Attacks Using SDN*|*2016
FONSECA, MARISA G.&ARAG'O, LUIZ EDUARDO O. C.&LIMA, ANDR'&Shimabukuro, Yosio E.&Egidio Arai&Anderson, Liana O.*|*Modelling fire probability in the Brazilian Amazon using the maximum entropy method*|*2016
VEDOVATO, LAURA BARBOSA&FONSECA, MARISA GESTEIRA&Egidio Arai&ANDERSON, LIANA OIGHENSTEIN&ARAGÃO, LUIZ E. O. C.*|*The extent of 2014 forest fragmentation in the Brazilian Amazon*|*2016
SATO, LUCIANE&GOMES, VITOR&SHIMABUKURO, YOSIO&KELLER, MICHAEL&Egidio Arai&DOS-SANTOS, MAIZA&BROWN, IRVING&ARAGÃO, LUIZ*|*Post-Fire Changes in Forest Biomass Retrieved by Airborne LiDAR in Amazonia*|*2016
HORNER, NATHANIEL&Antonio Geraldo de Paula Oliveira&SILBERGLITT, RICHARD&KHALED POPPE, MARCELO&BRESSAN ROCHA, BÁRBARA*|*Energy foresight, scenarios and sustainable energy policy in Brazil*|*2016
Rosângela Silqueira Hickson Rios&Welber da Silva Oliveira*|*Say no To Schistosoma Project Turning virtual results into real-world treatments for schistosoma*|*2016
Douglas Andrey de Oliveira Araújo&ludmilla regina de Souza David&Rosângela Silqueira Hickson Rios&enê Rodrigues Veloso*|*DESCOBERTA DE CONHECIMENTOS SOBRE A ESQUISTOSSOMOSE A PARTIR DE DOCUMENTOS CIENTIFICOS UTILIZANDO TECNICAS DE MINERACAO DE TEXTOS*|*2016
Rosângela Silqueira Hickson Rios*|*IMPLEMENTACAO DE ACOES VOLTADAS AO ENADE A PARTIR*|*2016
Rosângela Silqueira Hickson Rios*|*PRATICAS DE GESTAO DA INFORMACAO E DO CONHECIMENTO*|*2016
Rosângela Silqueira Hickson Rios&Thiago Henrique Roque Real*|*Simulacao computacional aplicada na analise de processo de usinagem e acabamento: estudo de caso*|*2016
COELHO, VITOR N.&COELHO, IGOR M.&COELHO, BRUNO N.&Agnaldo José da Rocha Reis&ENAYATIFAR, RASUL&SOUZA, MARCONE J.F.&GUIMARÃES, FREDERICO G.*|*A self-adaptive evolutionary fuzzy model for load forecasting problems on smart grid environment*|*2016
COELHO, VITOR N.&COELHO, IGOR M.&COELHO, BRUNO N.&COHEN, MIRI WEISS&Agnaldo José da Rocha Reis&SILVA, SIDELMO M.&SOUZA, MARCONE J.F.&FLEMING, PETER J.&GUIMARÃES, FREDERICO G.*|*Multi-objective energy storage power dispatching using plug-in vehicles in a smart-microgrid*|*2016
Vitor Nazário Coelho&GUIMARÃES, FREDERICO G.&COELHO, IGOR M.&RIOS, EYDER&FILHO, ALEXANDRE S.T.&Agnaldo José da Rocha Reis&COELHO, BRUNO N.&ALVES, ALYSSON&NETTO, GUILHERME G.&SOUZA, MARCONE J.F.*|*A Hybrid Deep Learning Forecasting Model Using GPU Disaggregated Function Evaluations Applied for Household Electricity Demand Forecasting*|*2016
André Luís Andrade Menolli&PINTO, H. SOFIA&Sheila Reinehr&Andreia Malucelli*|*SECOL: a semantic environment based on social media to support organisational learning*|*2016
Mara Rosane Noble Tavares&Silvia de Castro Bertagnolli&Josiane Carolina Soares Ramos do Amaral*|*ELABORACAO DE UM REPOSITORIO PARA A DISPONIBILIZACAO DE OBJETOS DE APRENDIZAGEM COM FOCO NOS ANOS INICIAIS DO ENSINO FUNDAMENTAL*|*2016
Cimara Valim de Melo&Silvia de Castro Bertagnolli&Giovanna Hermes Tonello*|*Do livro ao RPG: conexoes entre arte literaria e jogos digitais em educacao*|*2016
REQUIÃO, RODRIGO D.&DE SOUZA, HENRIQUE JOSÉ ARAUJO&Silvana Rossetto&DOMITROVIC, TATIANA&PALHANO, FERNANDO L.*|*Increased ribosome density associated to positively charged residues is evident in ribosome profiling experiments performed in the absence of translation inhibitors*|*2016
VELOSO, LEANDRO JUSTINO PEREIRA&ALFARO VIGO, DANIEL GREGORIO&Silvana Rossetto*|*Melhorando o Desempenho Computacional de um Esquema de Diferencas Finitas para as Equacoes de Maxwell*|*2016
Juliana de V. Cerqueira Braz&Cristiane Mota Oliveira&Isabella Barros Almeida&Lourivânia Oliveira Melo Prado&Chirlaine Cristine Gonçalves*|*INCIDENCIA DE GESTANTES ADMITIDAS COM RUPTURA PREMATURA DE MEMBRANAS EM UMA MATERNIDADE DE ALTO RISCO NO MUNICIPIO DE ARACAJU-SERGIPE*|*2016
Gilberto Clóvis Antonelli&NEITZEL, IVO*|*Artificial neural nets application in the cotton yarn industry*|*2016
QUISPE-CRUZ, MARCELA&HAEUSLER, EDWARD&Lew Gordeev*|*On Strong Normalization in Proof-Graphs for Propositional Logic*|*2016
Cesar Augusto Viana Melo&ARAUJO OLIVEIRA, JHONATHAN&FIGUEIREDO, GUSTAVO BITTENCOURT*|*Towards Peer-assisted Video on Demand System: Building Helpful Overlays*|*2016
Alexandre Cabral Mota&Juliano Manabu Iyoda&MARANHÃO, HEITOR*|*Program Synthesis by Model Finding*|*2016
DAVID, BERNARDO&Dowsley, Rafael&Jeroen Antonius Maria van de Graaf&MARQUES, DAVIDSON&Nascimento, Anderson C. A.&PINTO, ADRIANA C. B.*|*Unconditionally Secure, Universally Composable Privacy Preserving Linear Algebra*|*2016
ROSALES, RAFAEL A.&DRUMMOND, RODRIGO D.&VALIERIS, RENAN&DIAS-NETO, EMMANUEL&Israel Tojal Da Silva*|*signeR: An empirical Bayesian approach to mutational signature discovery*|*2016
BRETON, GAËLLE&ZHENG, SHIWEI&VALIERIS, RENAN&Israel Tojal Da Silva&SATIJA, RAHUL&NUSSENZWEIG, MICHEL C.*|*Human dendritic cells (DCs) are derived from distinct circulating precursors that are precommitted to become CD1c or CD141 DCs*|*2016
