autores*|*titulo*|*ano
RADDICK, M. JORDAN&THAKAR, ANI R.&SZALAY, ALEXANDER S.&Rafael Duarte Coelho dos Santos*|*Ten Years of SkyServer I: Tracking Web and SQL e-Science Usage*|*2014
RADDICK, M. JORDAN&THAKAR, ANI R.&SZALAY, ALEXANDER S.&Rafael Duarte Coelho dos Santos*|*Ten Years of SkyServer II: How Astronomers and the Public Have Embraced e-Science*|*2014
Fernanda Sayuri Yamasaki&NETO, LAURO PAULO SILVA&ROSSI, JOSE OSVALDO&BARROSO, JOAQUIM J.*|*Soliton Generation Using Nonlinear Transmission Lines*|*2014
Ivo Wolff Gersberg&F., NELSON*|*A Simple Strategy to Start Domain Ontology from Scratch*|*2014
Milton Ernesto Romero Romero&MARTINS, EVANDRO MAZINA&RIBEIRO DOS SANTOS, RICARDO&GONZALEZ, MARIO ENRIQUE DUARTE*|*Universal Set of CMOS Gates for the Synthesis of Multiple Valued Logic Digital Circuits*|*2014
COUTO, CESAR&PIRES, PEDRO&VALENTE, MARCO TULIO&Roberto da Silva Bigonha&ANQUETIL, NICOLAS*|*Predicting software defects with causality tests*|*2014
COUTO, CESAR&VALENTE, MARCO TULIO&PIRES, PEDRO&HORA, ANDRE&ANQUETIL, NICOLAS&Roberto da Silva Bigonha*|*BugMaps-Granger: a tool for visualizing and predicting bugs using Granger causality tests*|*2014
REIS, LEONARDO V.S.&Roberto da Silva Bigonha&DI IORIO, VLADIMIR O.&AMORIM, LUIS EDUARDO S.*|*The formalization and implementation of Adaptable Parsing Expression Grammars*|*2014
Leandro Soares Indrusiak*|*End-to-end schedulability tests for multiprocessor embedded systems based on networks-on-chip with priority-preemptive arbitration*|*2014
Karla T L Figueiredo&Marley M B R Vellasco&MArco Aurelio C Pacheco&Flavio Joaquim de Souza*|*Hierarchical Neuro-Fuzzy Models Based on Reinforcement Learning for Autonomous Agents.*|*2014
Márcio Lúcio Dias Pereira&Carlos Fernando de Araújo Jr&Juliano Schimiguel*|*Ensinando a Distribuicao de Probabilidade Normal Utilizando os Recursos do Microsoft Excel*|*2014
Josney Freitas Silva&Juliano Schimiguel*|*Proposta para o Uso das TICs na Construcao de um Ambiente de Aprendizagem Norteado pelos Conceitos da Educacao Estatistica no Ensino Superior*|*2014
