autores*|*titulo*|*ano
Morais, Alessandra Marli M.&Rafael Duarte Coelho dos Santos*|*Visualization of Citizen Science Volunteers' Behaviors with Data from Usage Logs*|*2015
Damián Keller&Evandro Manara Miletto&Luciano Vargas Flores&Marcelo Soares Pimenta*|*Editorial (Special Issue on Ubiquitous Music)*|*2015
Leonardo Vieira dos Santos Reis&Vladimir Oliveira Di Iorio&Roberto da Silva Bigonha*|*An on-the-fly grammar modification mechanism for composing and defining extensible languages*|*2015
Shana Schlottfeldt Santos&WALTER, MARIA EMÍLIA M. T.&DE CARVALHO, ANDRÉ CARLOS P. L. F.&SOARES, THANNYA N.&TELLES, MARIANA P. C.&LOYOLA, RAFAEL D.&DINIZ-FILHO, JOSÉ ALEXANDRE F.*|*Multi-objective optimization for plant germplasm collection conservation of genetic resources based on molecular variability*|*2015
Shana Schlottfeldt Santos&WALTER, M.E.M.T.&L.F. CARVALHO, A.C.P.&SOARES, T.N.&TELLES, M.P.C.&LOYOLA, R.D.&DINIZ-FILHO, J.A.F.*|*Multi-objective optimization in systematic conservation planning and the representation of genetic variability among populations*|*2015
Marcelo Teixeira&Richardson Ribeiro&Cesar Augusto Lins Oliveira&Ricardo Massa Ferreira Lima*|*A quality-driven approach for resources planning in Service-Oriented Architectures (Qualis A1)*|*2015
Leandro Soares Indrusiak&HARBIN, JAMES&DOS SANTOS, OSMAR MARCHI*|*Fast Simulation of Networks-on-Chip with Priority-Preemptive Arbitration*|*2015
Arlete Teresinha Beuren&Dr. Jacques Facon*|*Deteccao de Linha do Horizonte em Imagens Digitais*|*2015
Pedro Abel Vieira Junior&Antonio Marcio Buainain&Danielle Alencar Parente Torres&Elisio Contini*|*Petroleo, a era das commodities e a agricultura brasileira*|*2015
Josney Freitas Silva&Juliano Schimiguel*|*Uso das Tecnologias de Informacao e Comunicacao como Contribuicao a Educacao Estatistica no Ensino Superior*|*2015
Juliano Schimiguel&Eliane Aparecida Cenciarelli&Letícia Castro Nunes&Anamaria Ferreira Lucena&Vitor Nosow*|*O Acolhimento em Pacientes Oncologicos - Uma Revisao Bibliografica*|*2015
Josney Freitas Silva&Juliano Schimiguel*|*A Calculadora Financeira HP-12C como ferramenta para o Ensino de Estatistica em um curso de Administracao*|*2015
Juliano Schimiguel&Rolfi Cintas Gomes&Carlos Adriano Martins&Carlos Fernando Araújo Jr*|*Teorias da Aprendizagem Construtivista e do Modelo Instrucional em uma AVA como subsidios para o Ensino de Logica de Programacao*|*2015
Cecilia Sosa Arias Peixoto&Juliano Schimiguel&Bruno Gonçalves&Cláudio Boghi*|*Desenvolvimento do Ambiente para Edicao de Avaliacoes para AVAs em Conformidade com Padrao SCORM e um Modulo de Mineracao de Dados*|*2015
Gilmar Ferreira de Aquino Filho&Luiz Henrique do Amaral&Juliano Schimiguel*|*A Importancia do Professor na Educacao a Distancia*|*2015
Vilma Gomes Campos&Juliano Schimiguel&Laura Marisa Carnielo Calejon*|*A Avaliacao de Aprendizagem na Educacao a Distancia. Punicao ou Aprendizagem Significativa?*|*2015
Gilmar Ferreira de Aquino Filho&Luiz Henrique do Amaral&Juliano Schimiguel*|*Plataforma Arduino para o Ensino de Logica de Programacao*|*2015
Gilmar Ferreira de Aquino Filho&Luiz Henrique do Amaral&Juliano Schimiguel*|*Utilizacao de Blog para a Construcao de um Ambiente Colaborativo*|*2015
Adelson de Paula Silva&Juliano Schimiguel&Mauro Sérgio Teixeira Araújo*|*Reflexoes acerca da utilizacao da abordagem ciencia, tecnologia e sociedade no contexto da educacao empreendedora*|*2015
Aline Aparecida Oliveira&Juliano Schimiguel*|*Producao enxuta: estudo de caso de uma melhoria kaizen em uma empresa automotiva*|*2015
Juliano Schimiguel&Leandro Palha de Oliveira&Hélio Rosetti Júnior*|*Experiencia do Uso de Objetos de Aprendizagem no Ensino de Matematica Financeira*|*2015
Luiz Enrique Simeone&Juliano Schimiguel*|*Utilizacao de Objeto de Aprendizagem para Facilitar a Compreensao das Operacoes com Numeros Inteiros*|*2015
Juliano Schimiguel&Hélio Rosetti Júnior&Gustavo Perini do Amaral&Carlos Adriano Martins&Carlos Fernando de Araújo Jr*|*O Jogo na Educacao Matematica: Desenvolvimento de um RPG para Trabalhar o Conceito de Moeda no Ensino Fundamental*|*2015
José Miguel Parente&Cláudio Saddy Rodrigues Coy&Viriato Campelo&Míriam Perpétua Palha Dias Parente&Leonardo Araújo Costa&Renata Mendes da Silva&Celso Stephan&José Murilo Robilotta Zeitune*|*Inflammatory bowel disease in an underdeveloped region of Northeastern Brazil*|*2015
SIEGEL, PAMELA&DE BARROS, NELSON FILICE&QUISPE-CABANILLAS, JUAN GUZMÁN&Celso Stephan&LIMA, CARMEN SILVIA PASSOS*|*Acupuncture for cancer patients undergoing chemotherapy in a Brazilian hospital-An exploratory study*|*2015
GÓMEZ LA-ROTTA, EHIDEÉ ISABEL&HIDEO AOKI, FRANCISCO&Celso Stephan&GRONAU LUZ, VERÔNICA&PEREIRA, FRANCISCO&ORTEGA-MORA, GUSTAVO&RODRIGUES CORREA-FILHO, HELENO*|*Conhecimento e adesAo A s precauAAes padrAo: Estudantes diante dos vArus no Brasil e na ColA mbia.*|*2015
Fernando Raul Licapa Contreras&LYRA, P.R.M.&SOUZA, M.R.A.&CARVALHO, D.K.E.*|*A cell-centered multipoint flux approximation method with a diamond stencil coupled with a higher order finite volume method for the simulation of oil-water displacements in heterogeneous and anisotropic petroleum reservoirs*|*2015
Elivaldo Lozer Fracalossi Ribeiro&Henrique Leonardo Maranduba&Luziléa Brito Oliveira&José Adolfo de Almeida Neto&Francisco Bruno Souza Oliveira*|*Relacao energetica e emissao de GEE do biodiesel de pinhao manso: analise sob uma perspectiva dinamica*|*2015
Joel Luis Carbonera&Mara Abel&Claiton Marlon dos Santos Scherer*|*Visual interpretation of events in petroleum exploration: An approach supported by well-founded ontologies*|*2015
ABEL, MARA&PERRIN, MICHEL&Joel Luis Carbonera*|*Ontological analysis for information integration in geomodeling*|*2015
Sandro Rama Fiorini&ABEL, MARA&Joel Luis Carbonera*|*Representation of part-whole similarity in geology*|*2015
Antonio Carlos Zambon&Ana Estela Antunes da Silva&Gisele Busichia Baioco&André Leon Sampaio Gradvohl&Pedro Ivo Garcia Nunes*|*OBSOLESCENCIA ACELERADA DE PRODUTOS TECNOLOGICOS E OS IMPACTOS NA SUSTENTABILIDADE DA PRODUCAO*|*2015
Luiz Fernando Sommaggio Coletta&HRUSCHKA, EDUARDO R.&ACHARYA, AYAN&GHOSH, JOYDEEP*|*Using metaheuristics to optimize the combination of classifier and cluster ensembles*|*2015
Luiz Fernando Sommaggio Coletta&HRUSCHKA, EDUARDO RAUL&ACHARYA, AYAN&GHOSH, JOYDEEP*|*A differential evolution algorithm to optimise the combination of classifier and cluster ensembles*|*2015
GAETTI-JARDIM, ELERSON&PEREIRA, MAURÍCIO FABIANO&VIEIRA, EVANICE MENEZES MARÇAL&Christiane Marie Schweitzer&Ana Cláudia Okamoto&ÁVILA-CAMPOS, MARIO J.*|*Occurrence of Periodontal Pathogens in Ethnic Groups from a Native Brazilian Reservation*|*2015
Elerson Gaetti Jardim Júnior&Adriana Sales Cunha Correia&Katia Gonçalves de Jesus&Christiane Marie Schweitzer*|*Mecanismos de resistencia aos antibioticos e quimioterapicos com atividade antimicrobiana empregados no tratamento das infeccoes de cabeca e pescoco.*|*2015
Ana Carolina Borsanelli&Elerson Gaetti Jardim Júnior&Christiane Marie Schweitzer&Jürgen Döbereiner&Iveraldo Dutra*|*Presence of Porphyromonas and Prevotella species in the oral microflora of cattle with periodontitis*|*2015
Fátima Regina Nunes de Souza&Lívia Buzati Meca&Adriana S. Cunha-Correia&Christiane Marie Schweitzer&Ana Claudia Okamoto&Elerson Gaetti Jardim Júnior*|*Microrganismos oportunistas na boca de pacientes irradiados: avaliacao de 12 meses pos-tratamento*|*2015
Elerson Gaetti Jardim Júnior&Fátima Regina Nunes de Souza&Ana Paula Miranda Vieira&Robson Varlei Ranieri&Christiane Marie Schweitzer*|*XEROSTOMIA E OUTROS EFEITOS COLATERAIS DA RADIOTERA PIA DE CABECA E PESCOCO EM UMA POPULACAO SEM TRATAMENTO ODONTOLOG ICO PREVIO*|*2015
Elerson Gaetti Jardim Júnior&Fátima Regina Nunes de Souza&Nathália Dias&Katia Gonçalves de Jesus&Christiane Marie Schweitzer*|*XEROSTOMIA EM PACIENTES IRRADIADOS*|*2015
Ellen Cristina Gaetti Jardim&Elerson Gaetti Jardim Júnior&Christiane Marie Schweitzer&Ana Claudia Okamoto*|*Atividade inibitoria do verniz de araca (Psidium cattleianum Sabine) sobre amostras de Streptococcus mutans ?in vitro?*|*2015
Aleciana Vasconcelos Ortega&BOVOLATO, LUIZ FERNANDO&BOVOLATO, MARIÂNGELA CARVALHO&Christiane Marie Schweitzer*|*A Complex Network Model Apply to Distribution Networks of Eletricity*|*2015
Alcides Ortega&Ailton Akira Shinoda&Christiane Marie Schweitzer&Fabrizio Granelli*|*Simulation of the DNP3 Communication Protocol over TCP/IP Protocol on a 802.11g Wireless Network in Smart Grid Application*|*2015
Frederico de Oliveira&Vanessa Braganholo Murta&Leonardo Gresta Paulino Murta&Marta Lima de Queirós Mattoso*|*Improving workflow design by mining reusable tasks*|*2015
DE MOURA, YHASMIN MENDES&HILKER, THOMAS&LYAPUSTIN, ALEXEI I.&GALVÃO, LÊNIO SOARES&DOS SANTOS, JOÃO ROBERTO&Anderson, Liana O.&DE SOUSA, CÉLIO HELDER RESENDE&Egidio Arai*|*Seasonality and drought effects of Amazonian forests observed from multi-angle satellite data*|*2015
SAWADA, YOSHITO&CAMPOS, MOACIR ALBERTO ASSIS&HIGUCHI, FRANCISCO GASPARETTO&LIMA, ADRIANO JOSÉ NOGUEIRA&HIGUCHI, NIRO&KAJIMOTO, TAKUYA&ISHIZUKA, MORIYOSHI&SUWA, REMPEI&JINDO, KEIJI&ENDO, TAKAHIRO&OKI, KAZUO&SAWADA, HARUO&Egidio Arai&Shimabukuro, Yosio Edemir&CELES, CARLOS HENRIQUE SOUZA*|*A new 500-m resolution map of canopy height for Amazon forest using spaceborne LiDAR and cloud-free MODIS imagery*|*2015
